TermékNév	Ár	TFT	TFT 3D	CPU	RAM	RAM Slot	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Gyártó	Kategória	Sorozat	Érintőképernyő	Audio	Mikrofon	Kamera	WLAN	BT	HSDPA	Portok	CR	LAN	USB	Méret	Alapszín	Chipset	USB 3	SSD kapacitás	Extra	Képarány	Number of SSDs installed	SSD meghajtó kapacitás	Intel Wireless Display (WiDi)	Tárolókapacitás	Hangrendszer	Processor clock speed	Processszorcsalád	Turbo frequency (max)	Processzor magok száma	Processor number of threads	System bus	L3-gyorsítótár	Alaplapi lapkakészlet	Internal memory	Belső memória-típus	Teljes tárolókapacitás	Storage media	Kártyaolvasó beépítve	Kompatibilis memóriakártyák	Átlós képernyő	Képernyő-felbontás	LED backlight	Teljes HD (Full HD)	On-board graphics adapter mode	Discrete graphics adapter mode	Optikai meghajtó-típus	Fényírás	Beépített mikrofon	Beépített kamera	WLAN-kapcsolat	Vezetéknélküli LAN típus	Ethernet/LAN csatlakozás	Bluetooth verzió	3G network access module	USB 3.0 portok száma	DVI-port	Mikrofon, bemeneti jackdugó	S/PDIF kimeneti port	DC-bemeneti jackdugó	ExpressCard-csatlakozó	CardBus PCMCIA csatlakozó típu	SmartCard csatlakozó	Mutatóeszköz	Numerikus billentyűzet	Biztosított operációs rendszer	Eszköztípus	Termék színe	Külső megjelenés	Market positioning	Akkumulátor-technológia	Akkumulátorcellák száma	Intel My WiFi Technology	Intel Anti-Theft Technology	Intel vPro Technology	Intel visual technologies	Intel Hyper-Threading Technolo	Intel Turbo Boost Technology	Memória bővítőhelyek	Maximális belső memória	Merevlemez kapacitása	Merevlemez forgási sebesség	Merevlemez csatolófelület	Méretarány	Ethernet LAN adatátviteli sebe	Kábelezési technológia	USB 2.0 portok száma	VGA (D-Sub) portok száma	Hangszóró/fejhallgató/kimeneti	Ethernet LAN (RJ-45) portok me	HDMI portok mennyisége	Szélesség	Mélység	Operating system architecture	Telepített merevlemezek száma	Discrete graphics memory	AC adapter mellékelve	Beépített hangszórók száma	Discrete graphics memory type	Magasság (elülső)	magasság (hátulsó)	Dokkoló csatlakozó	Hangszóró teljesítmény	Combo headphone/microphone por	Battery capacity	Magasság	AC adapter eloszlás	Kábelek mellékelve	Akkumulátor élettartam	Energy Star által tanúsított	EPEAT compliance	Full-size keyboard	Spill resistant keyboard	DisplayPorts quantity	Intel Small Business Advantage	SSD meghajtó csatlakozók	Touch technology	Touch screen type	Micro HDMI ports quantity	L2-gyorsítótár	Windows-gombok	Felhasználói kézikönyv	Ráadás szoftver	WiFi által tanúsított	Memory layout	Garanciakártya	Kábelzár csatlakozó	Jelszavas védelem	Billentyűzet billentyűk száma	Memory form factor	Front camera	Intel Identity Protection Tech	Front camera resolution	Intel Smart Connect Technology	Intel Matrix Storage Technolog	Intel HD Audio Technology	Vezetéknélküli LAN adatátvitel	Island-style keyboard	Glossy display	Maximális felbontás	Akkumulátor töltési idő	Keyboard backlit	Near Field Communication (NFC)	4G	Fejhallgató csatlakozhatóság	Mikrofon csatlakoztathatóság	4G WiMAX	Data network	Maximális grafikus adapter mem	Memória órajel	Storage media type	Tápegység	Soros portok száma	Memóriatípus	Hangszórógyártó	Processzor-foglalat	Ujjlenyomat-olvasó	Fényerő	Maximum internal memory (64-bi	Recovery operating system incl	USB Sleep-and-Charge	USB Sleep-and-Charge ports	Meghajtóprogramok mellékelve	Akkumulátor teljesítménye	AC adapter frekvencia	AC adapter bemeneti feszültség	AC adapter kimeneti feszültség	3D kompatibilitás	Merevlemez méret	AC adapter kimeneti áram	Thunderbolt ports quantity	Gyors áttekintő útmutató	Megbízott platform modul (TPM)	Üzemi hőmérséklettartomány (T-	Tárolási hőmérséklettartomány	Beépített TV-tuner	RoHS compliance	Power auto-sensing	Támogatott lemezfajták	Kijelzőszínek	Relatív üzemi páratartalom-tar	Tárolási relatív páratartalmi	Üzemi magasság	Nem üzemeltetési magasság	On-board graphics adapter memo	Wireless Wide Area Network (WW	Telepfeszültség	Üzemi ütődés	Üzemen kívüli ütődés	Üzemi rezgés	Nem üzemi rezgés
Dell Inspiron 3537 Ci5-4200U 4GB 500GB Linux	0 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i5 4200U (1,6 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	AMD Radeon HD 8670M	2,25 kg	Garancialeveles 1 év	6 cellás	DVD+-RW DL	Linux	Dell	Általános	Dell Inspiron	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, MS, MS Pro, SDHC, SDXC, SD	10/100 Mb/s	2 db	376 x 259 x 24,9 / 31,3 mm	Fekete	Intel HM86 Express	2 db																																																																																																																																																																														
Dell Inspiron 3537 Ci5-4200U 4GB 750GB Linux	0 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i5 4200U (1,6 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		750 GB 5400 rpm	AMD Radeon HD 8670M	2,25 kg	Garancialeveles 1 év	6 cellás	DVD+-RW DL	Linux	Dell	Általános	Dell Inspiron	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, MS, MS Pro, SDHC, SDXC, SD	10/100 Mb/s	2 db	376 x 259 x 24,9 / 31,3 mm	Fekete	Intel HM86 Express	2 db																																																																																																																																																																														
Dell Inspiron 3537 Ci5-4200U 6GB 1TB Linux	0 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i5 4200U (1,6 GHz, 3 MB cache)	6 GB DDR III 1600 MHz		1000 GB 5400 rpm	AMD Radeon HD 8670M	2,25 kg	Garancialeveles 1 év	6 cellás	DVD+-RW DL	Linux	Dell	Általános	Dell Inspiron	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, MS, MS Pro, SDHC, SDXC, SD	10/100 Mb/s	2 db	376 x 259 x 24,9 / 31,3 mm	Fekete	Intel HM86 Express	2 db																																																																																																																																																																														
NBK Dell Inspiron 3537 15,6" HD i7-4500U 8GB 1TB H	0 Ft									Garancialeveles 1 év				Dell																																																																																																																																																																																															
NBK DELL Inspiron 5537 15.6" HD Touch Ci5-4200U 4G	0 Ft									Garancialeveles 3 év				Dell																																																																																																																																																																																															
Dell Inspiron 5537 HD Ci3-4010U 4GB 500GB Kék	0 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i3 4010U (1,7 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	AMD Radeon HD 8670M	2,32 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Linux	Dell	Általános	Dell Inspiron	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, MS, MS Pro, XD, SDXC, SD	10/100 Mb/s	2 db	376x24,9/31,3x259 mm	Kék	Intel HM76 Express	2 db								Waves MaxxAudio® 4																																																																																																																																																																						
Dell Inspiron 5537 HD Ci3-4010U 4GB 500GB Lila	0 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i3 4010U (1,7 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	AMD Radeon HD 8670M	2,32 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Linux	Dell	Általános	Dell Inspiron	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, MS, MS Pro, XD, SDXC, SD	10/100 Mb/s	2 db	376x24,9/31,3x259 mm	Lila	Intel HM76 Express	2 db								Waves MaxxAudio® 4																																																																																																																																																																						
Dell Inspiron 5537 HD Ci5-4200U 8GB 1TB Ezüst	0 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i5 4200U (1,6 GHz, 3 MB cache)	8 GB DDR III 1600 MHz		1000 GB 5400 rpm	AMD Radeon HD 8850M	2,32 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Linux	Dell	Általános	Dell Inspiron	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, MS, MS Pro, XD, SDXC, SD	10/100 Mb/s	2 db	376x24,9/31,3x259 mm	Ezüst	Intel HM76 Express	2 db								Waves MaxxAudio® 4																																																																																																																																																																						
Dell Inspiron 5537 HD Ci5-4200U 8GB 1TB Kék	0 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i5 4200U (1,6 GHz, 3 MB cache)	8 GB DDR III 1600 MHz		1000 GB 5400 rpm	AMD Radeon HD 8850M	2,32 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Linux	Dell	Általános	Dell Inspiron	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, MS, MS Pro, XD, SDXC, SD	10/100 Mb/s	2 db	376x24,9/31,3x259 mm	Kék	Intel HM76 Express	2 db								Waves MaxxAudio® 4																																																																																																																																																																						
Dell Inspiron 5537 HD Ci5-4200U 8GB 1TB Lila	0 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i3 4010U (1,7 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	AMD Radeon HD 8670M	2,32 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Linux	Dell	Általános	Dell Inspiron	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, MS, MS Pro, XD, SDXC, SD	10/100 Mb/s	2 db	376x24,9/31,3x259 mm	Lila	Intel HM76 Express	2 db								Waves MaxxAudio® 4																																																																																																																																																																						
Dell Inspiron 5537 HD Ci5-4200U 8GB 1TB Piros	0 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i5 4200U (1,6 GHz, 3 MB cache)	8 GB DDR III 1600 MHz		1000 GB 5400 rpm	AMD Radeon HD 8850M	2,32 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Linux	Dell	Általános	Dell Inspiron	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, MS, MS Pro, XD, SDXC, SD	10/100 Mb/s	2 db	376x24,9/31,3x259 mm	Piros	Intel HM76 Express	2 db								Waves MaxxAudio® 4																																																																																																																																																																						
Dell Inspiron 5537 HD Ci5-4200U 8GB 1TB Rózsaszín	0 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i5 4200U (1,6 GHz, 3 MB cache)	8 GB DDR III 1600 MHz		1000 GB 5400 rpm	AMD Radeon HD 8850M	2,32 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Linux	Dell	Általános	Dell Inspiron	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, MS, MS Pro, XD, SDXC, SD	10/100 Mb/s	2 db	376x24,9/31,3x259 mm	Rózsaszín	Intel HM76 Express	2 db								Waves MaxxAudio® 4																																																																																																																																																																						
Dell Inspiron 5737 HD+ Ci5-4200U 4GB 500GB Lila	0 Ft	17,3 " (1600 x 900 pixel)	Nem	Intel Core i5 4200U (1,6 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	AMD Radeon HD 8870M	2,7 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Linux	Dell	Általános	Dell Inspiron	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, MS, MS Pro, SDHC, XD, SDXC, SD	10/100 Mb/s	2 db	412 x 270 x 28.34 - 35.6 mm	Lila	Intel HM76 Express	2 db								Waves MaxxAudio® 4																																																																																																																																																																						
Dell Inspiron 5737 HD+ Ci5-4200U 4GB 500GB Piros	0 Ft	17,3 " (1600 x 900 pixel)	Nem	Intel Core i5 4200U (1,6 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	AMD Radeon HD 8870M	2,7 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Linux	Dell	Általános	Dell Inspiron	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, MS, MS Pro, SDHC, XD, SDXC, SD	10/100 Mb/s	2 db	412 x 270 x 28.34 - 35.6 mm	Piros	Intel HM76 Express	2 db								Waves MaxxAudio® 4																																																																																																																																																																						
NBK DELL Inspiron 5737 17.3" HD+ Ci7-4500U 8GB 1TB	0 Ft									Garancialeveles 3 év				Dell																																																																																																																																																																																															
NBK Dell Latitude E6540 15,6" FHD Ci7-4800MQ 8GB 2	0 Ft									Garancialeveles 3 év				Dell																																																																																																																																																																																															
NBK DELL Vostro 2521 15.6" HD Ci5-3337U 4GB 750GB	0 Ft									Garancialeveles 3 év				Dell																																																																																																																																																																																															
Dell Vostro 5470 i5-4200U 4GB 500GB GT740 W8 Ezüst	0 Ft	14 " (1366x768 pixel)	Nem	Intel Core i5 4200U (2,6 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	NVIDIA GeForce GT 740M	1,62 kg	Garancialeveles 3 év	3 cellás	Nincs	Windows 8	Dell	Üzleti	Dell Vostro	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, 3,5 Jack	SDHC, SDXC, SD	10/100/1000 Mb/s		337,6 x 233,5 x 19,35 mm	Ezüst	Intel	3 db								Wave MaxxAudio 4.0																																																																																																																																																																						
NBK HP ZBook 15 Mobile Workstation 15,6" FHD i7-47	0 Ft			i7-4700MQ					2820 g	12 hónap saját				HP			N					Y															Y		DTS Studio Sound HD	2.4 GHz	Intel Core i7	3.4 GHz	4	8	5 GT/s		Intel QM87	4 GB	DDR3-SDRAM	500 GB	HDD	Y	SD	15.6 "	1920 x 1080 pixelek	Y	Y	Intel HD Graphics 4600	NVIDIA Quadro K1100M	DVD Super Multi DL	N	Y		Y	802.11a, 802.11b, 802.11g, 802.11n	Y	4.0	N	3	N	N	N	Y	Y	N	Y	TouchPad	Y	Windows 7 Professional	Mobile workstation	Fekete	Clamshell		Lithium-Ion (Li-Ion)	8	Y	Y	N	Intel Clear Video HD, Intel Insider, Intel InTru 3D, Intel Quick Sync Video	Y	2.0	4x SO-DIMM	32 GB	500 GB	7200 RPM	Serial ATA	16:9	10, 100, 1000 Mbit/s		1	1		1		381.5 mm	257 mm	64-bit	1	2048 Mb	Y		GDDR5			Y		Y	75 Wh	30.5 mm				Y			Y	1								Y	HP Recovery Manager\nHP Performance Advisor\nHP Remote Graphics Software\nHP Support Assistant\nHP Client Security\nHP Hotkey Support\nHP Wireless Hotspot\nBuy Office\nMicrosoft Security Essentials\nCyberlink Power DVD\nCyberlink Media Suite\nCyberlink Photo Director\nCyberlink Power Director\nCyberlink Power2Go\nCyberlink YouCam BE		1 x 4 GB	Y	Y			SO-DIMM	Y	Y							N					N	3.5 mm		N			1600 MHz						PGA946	Y			Windows 8 Pro	Y	1									1	Y	Y	0 - 35 °C	10 - 90 °C																	
Acer Aspire V7-581-53334G12AKK_W8 15,6" HD Fekete	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 3337U (1,8 GHz, 3 MB cache)	4 GB DDR III 1600 MHz			Intel HD Graphics	2 kg	Garancialeveles 2 év	4 cellás	Nincs	Windows 8	Acer	Ultrabook	Acer Aspire V	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	SD	10/100/1000 Mb/s	1 db	381x256x20 mm	Fekete		1 db	120 GB							Dolby Home Theater® v4																																																																																																																																																																						
Acer Aspire E1-571G-33118G1TMNKS_LIN_N14MGL2G	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3110M (2,4 GHz, 3 MB cache)	8 GB DDR III 1600 MHz	Nem	1000 GB 5400 rpm	NVIDIA GeForce GT 710M	2,5 kg	Garancialeveles 2 év	6 cellás	DVD+-RW DL	Linux	Acer	Általános	Acer Aspire	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Nem	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, MS Pro, SDHC, XD, SD	10/100/1000 Mb/s	3 db	382 x 253 x 33 mm	Fekete	Intel HM77 Express																																																																																																																																																																															
Acer Aspire V3-772G-54208G1.12TMAKK	0 Ft	17,3 " (1920x1080 pixel)	Nem	Intel Core i5 4200M (2,5 GHz, 3 MB cache)	8 GB DDR III 1600 MHz	Igen	1000 GB 5400 rpm	NVIDIA GeForce GTX 760M	3,2 kg	Garancialeveles 2 év	6 cellás	DVD+-RW DL	Linux	Acer	Multimédia	Acer Aspire	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub		10/100/1000 Mb/s	2 db	414,8 x 275 x 34,6 mm	Fekete		2 db	120 GB																																																																																																																																																																													
Acer V5-171-53334G50ASS_LIN_UMA 11,6"	0 Ft	11,6 " (1366x768 pixel)	Nem	Intel Core i5 3337U (1,8 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Igen	500 GB 5400 rpm	Intel HD Graphics 4000	1,48 kg	Garancialeveles 2 év	4 cellás	Nincs	Linux	Acer	Multimédia	Acer Aspire V	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, SD	10/100/1000 Mb/s	2 db	285x202x27,4 mm	Ezüst		1 db																																																																																																																																																																														
Acer Aspire V5-171-33214G50ASS_LIN_UMA Ezüst	0 Ft	11,6 " (1366x768 pixel)	Nem	Intel Core i3 3217U (1,8 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Igen	500 GB 5400 rpm	Intel HD Graphics 4000	1,48 kg	Garancialeveles 2 év	4 cellás	Nincs	Linux	Acer	Multimédia	Acer Aspire V	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, SD	10/100/1000 Mb/s	2 db	285x202x27,4 mm	Ezüst	Intel H77 Express	1 db																																																																																																																																																																														
NBK ACER Aspire S3-371-53334G50ADD_LIN 13,3" i5-3	0 Ft									Garancialeveles 2 év				Acer																																																																																																																																																																																															
NBK Lenovo IdeaPad S510 Flex Touch 15,6" (59-3907	0 Ft									Garancialeveles 2 év				Lenovo																																																																																																																																																																																															
Toshiba Portégé Z10T-A-103 11,6"	0 Ft	11,6 " (1920 x 1080 pixel)	Nem	Intel Core i5 3339Y (1,5 GHz, 3 MB cache)	4 GB DDR III 1600 MHz			Intel HD Graphics 4000	1,45 kg	24 hónap saját	6 cellás	Nincs	Windows 8 Pro	Toshiba	Ultrabook	Toshiba Portégé	Igen		Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	Micro HDMI, HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	299 x 220,5 x 16,9/19,9 mm	Ezüst		1 db	128 GB																																																																																																																																																																													
Acer Aspire V3-772G-747A161TMAMM 17,3" Arany	0 Ft	17,3 " (1920x1080 pixel)	Nem	Intel Core i7 4702MQ (2,2 GHz, 6 MB cache)	16 GB DDR III 1600 MHz		1000 GB 5400 rpm	NVIDIA GeForce GTX 760M	3,2 kg	Garancialeveles 2 év	6 cellás	DVD+-RW DL	Linux	Acer	Multimédia	Acer Aspire	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub		10/100/1000 Mb/s	2 db	414,8 x 275 x 34,6 mm	Arany		2 db																																																																																																																																																																														
Acer Aspire V5-171-73538G50ASS_LIN_UMA Ezüst	0 Ft	11,6 " (1366x768 pixel)	Nem	Intel Core i7 3537U (2 GHz, 4 MB cache)	8 GB DDR III 1600 MHz	Igen	500 GB 5400 rpm	Intel HD Graphics 4000	1,48 kg	Garancialeveles 2 év	4 cellás	Nincs	Linux	Acer	Multimédia	Acer Aspire V	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, SD	10/100/1000 Mb/s	2 db	285x202x27,4 mm	Ezüst	Intel H77 Express	1 db																																																																																																																																																																														
Lenovo IdeaPad G700 17,3" 59-390402	0 Ft	17,3 " (1600 x 900 pixel)	Nem	Intel Core i7 4702MQ (2,2 GHz, 6 MB cache)	8 GB DDR III 1600 MHz		1000 GB 5400 rpm	NVIDIA GeForce GT 720M	2,9 kg	Garancialeveles 2 év	6 cellás	DVD+-RW DL	Free DOS	Lenovo	Általános	Lenovo IdeaPad G	Nem	HD Audio	Nem	Nem	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, SD	10/100 Mb/s	2 db		Fekete	Intel HM86 Express	1 db	8 GB							Dolby® Advanced Audio™ v2																																																																																																																																																																						
Asus X550CA-XO128D 15,6" Fehér	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 2117U (1,8 GHz, 2 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	Intel HD Graphics	2,3 kg	24 hónap saját	4 cellás	DVD+-RW DL	Free DOS	Asus	Multimédia	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	380x251x24,8 ~31,7 mm	Fehér	Intel HM76 Express	1 db								SonicMaster																																																																																																																																																																						
Dell Inspiron 5537 HD Ci3-4010U 4GB 500GB Ezüst	0 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i3 4010U (1,7 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	AMD Radeon HD 8670M	2,32 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Linux	Dell	Általános	Dell Inspiron	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, MS, MS Pro, XD, SDXC, SD	10/100 Mb/s	2 db	376x24,9/31,3x259 mm	Ezüst	Intel HM76 Express	2 db								Waves MaxxAudio® 4																																																																																																																																																																						
Dell Vostro 3560 HD Ci5-3230M 4GB 500GB Linux	0 Ft	15,6 " (1366X768 pixel)	Nem	Intel Core i5 3230M (2,6 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		500 GB 7200 rpm	Intel HD Graphics 4000	2,57 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Linux	Dell	Üzleti	Dell Vostro	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, ExpressCard 34mm, 3,5 Jack, D-Sub		10/100/1000 Mb/s		375 x 259 x 28,8-32,5 mm	Barna	Intel HM77 Express	4 db																																																																																																																																																																														
Dell Vostro 3460 i7-3632QM 8GB 500GB 32GB W8 Ezüst	0 Ft	14 " (1366x768 pixel)	Nem	Intel Core i7 3632QM (2,2 GHz, 6 MB cache)	8 GB DDR III 1600 MHz		500 GB 5400 rpm	NVIDIA GeForce GT 630M	2,23 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Windows 8	Dell	Üzleti	Dell Vostro	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, 3,5 Jack, D-Sub	MMC, MS, MS Pro, XD, SD	10/100/1000 Mb/s		345,5x244x28-30,1 mm	Ezüst	Intel HM77 Express	4 db	32 GB																																																																																																																																																																													
Lenovo IdeaPad Y510 15,6" 59-390570	0 Ft	15,6 " (1920x1080 pixel)	Nem	Intel Core i5 4200M (2,5 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		1000 GB 5400 rpm	NVIDIA GeForce GT 755M	2,7 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Free DOS	Lenovo	Üzleti	Lenovo IdeaPad Y	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, MS, MS Pro, XD, SD		1 db	387 x 259 x 15,5-36 mm	Fekete	Intel HM86 Express	2 db	8 GB							Dolby ® Home Theater ™																																																																																																																																																																						
NBK Dell Latitude E5430 HD i3-3110M 4GB 500GB Lin	0 Ft									36 hónap saját				Dell																																																																																																																																																																																															
NBK Dell Latitude E5530 15,6" HD i7-3540M 4GB 500	0 Ft									36 hónap saját				Dell																																																																																																																																																																																															
Acer Aspire V5-573-34014G50AMM 15,6" Pezsgő	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 4010U (1,7 GHz, 3 MB cache)	4 GB DDR III 1333 MHz	Nem	500 GB 5400 rpm	Intel HD Graphics	2,1 kg	Garancialeveles 2 év	4 cellás		Linux	Acer	Multimédia	Acer Aspire V	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, SD	10/100/1000 Mb/s	2 db	381,6x20,7x226 mm	Arany		1 db																																																																																																																																																																														
NBK HP ZBook 17 Mobile Workstation 17,3" FHD i7-4	0 Ft			i7-4700MQ					3480 g	12 hónap saját				HP			N					Y															Y		DTS Studio Sound HD	2.4 GHz	Intel Core i7	3.4 GHz	4	8		6 Mb	Intel QM87	4 GB	DDR3-SDRAM	750 GB	HDD	Y	SD, SDHC, SDXC	17.3 "	1920 x 1080 pixelek	Y	Y	Intel HD Graphics 4600	NVIDIA Quadro K3100M	DVD-ROM	N	Y		Y	802.11a, 802.11b, 802.11g, 802.11n	Y	4.0	N	3	N		N	Y	Y	N	Y	TouchPad	Y	Windows 7 Professional	Mobile workstation	Fekete	Clamshell		Lithium-Ion (Li-Ion)	8	Y	Y	N	Intel Clear Video HD, Intel Insider, Intel InTru 3D, Intel Quick Sync Video	Y	Y	4x SO-DIMM	32 GB	750 GB	7200 RPM	Serial ATA	16:9	10, 100, 1000 Mbit/s		1	1	1	1		416 mm	272 mm	64-bit	1	4096 Mb	Y	2	GDDR5			Y		Y	75 Wh	34 mm	200 W			Y	Silver	Y	Y	1	N						Y	Y		Y	2 x 2 GB	Y	Y			SO-DIMM	Y	Y	1280 x 720 pixelek		N	N		Y	N						3.5 mm		N	N		1600 MHz									32 GB	Windows 8 Pro	Y	1			50/60 Hz	100 - 240 V	19 V	N		5.27 A	1	Y		5 - 35 °C	-15 - 60 °C	N	Y	Y	CD, DVD	16.77 m	10 - 80 MHz	10 - 90 MHz	0 - 3050 m	0 - 4570 m	1700 Mb	N						
