TermékNév	Ár	TFT Méret	TFT Felb.	TFT Típus	TFT Jell.	CPU Gyártó	CPU Család	CPU Típus	CPU +	RAM Méret	RAM Frek.	RAM Jell.	HDD Méret	HDD Típus	HDD Jell.	GPU Gyártó	GPU Típus	GPU Jelleg	GPU Jell.	Súly	Gar.	Gar. Típus	Akku	ODD	Chipset	Kategória	Típus	Állapot	Szín	Akció	Háttértár HDD meghajtó méret	Háttértár Tipus	Háttértár Jellemzők	Videókártya Jellemzők	Egyéb technikai paraméretek Billentyűzet	Bill.	Touchpad	Audio	Portok	Portok +	ExpressCard	Tartozék	LAN	LAN +	OS	Egyéb	Méret	Fizikai paraméterek Egyéb leírás	Optikai meghajtó Jellemzők	Operációs rendszer Verzió	Operációs rendszer Nyelv	Videókártya Dedikált memória	Fizikai paraméterek Ajándék kiegészítők	Háttértár SSD / Flash meghajtó méret	OS Jell.
Fujitsu LIFEBOOK U772 Ultrabook™	2.7282661898261E+30 Ft	14,1 "	1366x768 WXGA HD	LED	Tükröződésmentes, keret nélküli kijelző, magnézium, 200:1, 220 cd/m²	Intel®	Core i5	3337U 1.80GHz	3MB cache, max. 2.7GHz	4 GB	DDR3 1600 MHz	max. 8 GB, 1 slot				Intel	HD Graphics 4000	Alaplapi integrált		1.4kg	3 év (1 év az akkura és töltőre)	Szerviz	4 cellás 45Whr (3.150 mAh)max. 10:00 h (Mobile Mark 2007 )	Nincs	Intel QM77G-Sensor	2 kg alatt, Ultrabook™, Üzleti	Notebook / Laptop	Új	Ezüst hátlap	Nem		SSD / Flash	SATA III, 2,5 hüvelykes		Magyar	85 gombos	Multi gesture touchpad	Realtek ALC269sztereo hangszórók1 x Audio: line-out / headphone	Memóriakártya olvasó, Ujjlenyomat olvasó, Dokkolócsatlakozó, USB 3.0, Bluetooth, HDMI	Bluetooth V4.0, HDMI, 2x USB 3.0 (1 anytime charging), 1x USB 2.0, 1 x HDMI	SD, SDHC, SDXC kártyaolvasódokkoló-csatlakozó	HD WebkameraTPM 1.2 modul, Ujjlenyomat olvasó	WLAN, WWAN modem (HSDPA/3G/4G)	3G, UMTS mobil internet modemIntel Centrino Advanced-N 6205 802.11a/b/g/n wifi1 mini LAN 10/100/1000 MBit/s	Windows 7 / 8 Pro	Office 2010 StarterApplication PanelDisplay ManagerShockSensor UtilityPower Saving UtilityPlugfree NetworkNero Essentials SNorton Internet Security 60 napFujitsu RecoveryDeskUpdate Driver managementDeskView Client	327 x 225 x 15.6 mm			64 bit	Magyar, Angol			128 GB	OS Recovery DVDDowngrade lehetőség Win7 Pro-ra(32/64)	
Dell Latitude E7240 Ultrabook	4.6298371895662E+35 Ft	12,5 "	1920x1080 Full HD 1080	LED, Érintőképernyő	Touch Panel	Intel®	Core i7	4600U 2.1GHz	4M Cache, max. 3.30 GHz	8 GB	DDR3 1600 MHz	2x4096MB, Max. 8GB DDR3L - 2 DIMM				Intel	HD graphics 4400	Alaplapi integrált		1,36 kg	3 év (1 év az akkura és töltőre)	Világ, Helyszíni	3 cellás (31 Wh-s) lítiumion akkumulátor ExpressCharge™ funkcióval	Nincs	Integrálva a processzorral (Lynx Point-LP)	Professzionális, Üzleti, 2 kg alatt, Ultrabook™	Notebook / Laptop	Új	Ezüst hátlap	Nem		SSD / Flash	Full Mini card, Félvezető-alapú merevlemez		Háttérvilágításos, Magyar	Háttérvilágítással, antibakteriális		Kombinált sztereó fejhallgató/mikrofon csatlakozó	Ujjlenyomat olvasó, HDMI, Bluetooth, DisplayPort, Webkamera, Dokkolócsatlakozó, USB 3.0	Bluetooth 4.0USB 3.0 (3), mDisplayPort, HDMI	Dokkolócsatlakozó	Full HD kamera mikrofonnalujjlenyomat-olvasó	WLAN, WWAN modem (HSDPA/3G/4G)	Dell Wireless 5570 HSPA+ mobil internet modem Dell 7260 Dual Band Wireless 802.11 ac/a/b/b/g/n 2x2Hálózati csatlakozó (RJ-45)	Windows 7 / 8 Pro		Szélesség: 310,5 mmMagasság: 20 mmMélység: 211 mm			64 bit	Angol, Választható, Magyar			256 GB	ENG/HUN/RUSWindows 7 Pro előtelepítve + Windows 8 Pro licensz	
Toshiba Portégé R930-1KE	9.047618977092E+36 Ft	13,3 "	1366x768 WXGA HD	LED, Matt	Tükröződésmentes, nagy fényerejű Toshiba HD kijelző	Intel®	Core i5	3340M vPro™ 2,70/3,40 Turbo GHz	Elülső busz : 1600 MHz 3. szintű gyorsítótár : 3 MB	4 GB	DDR3 1600 MHz	1x4096, bővíthetőség felső határa : 8,192 MB				Intel	HD Graphics 4000	Alaplapi integrált		min. 1,50 kg	3 év (1 év az akkura és töltőre)	Világ, Szerviz, El- és visszaszállításos	technológia : lítiumionos, 6 cellás maximális üzemidő : akár 9 óra (Mobile Mark™ 2007)	DVD író		Professzionális, 2 kg alatt	Notebook / Laptop	Új	Fekete magnéziumház szálcsiszolt fémes bevonattal, matt fekete billentyűzet	Igen	500 GB	HDD	7,200 fordulat/percMerevlemez-védelem és térbeli gyorsulásérzékelő	memória mennyisége : akár 1696 MB megosztott memória 4 GB telepített rendszermemória mellett (előre telepített 64 bites operációs rendszer esetén) memória típusa : megosztott		billentyűk : 87 Windows billentyűk : Igen speciális szolgáltatások : matt fekete billentyűzet	típus : A kétujjas görgetést, csippentést, tükrözést és forgatást támogató, több érintést érzékelő érintőtábla. A számítógépen az érintőtáblához külön be- és kikapcsológomb is található.	támogatott hangformátum : 24 bites sztereó hangszórók : beépített sztereó hangszórók SRS Premium Sound HD™ hangtechnológiával 1 × külső mikrofon 1 × beépített mikrofon 1 × sztereó fejhallgató	USB 3.0, HDMI, Bluetooth, VGA, Memóriakártya olvasó, Webkamera, Dokkolócsatlakozó	Bluetooth® 4.0 + LE 1 × külső monitor1 (bal) × eSATA/USB 2.0 USB Sleep-and-Charge technológiával1 (bal) × USB 3,0 1 (a jobb oldalon) × USB 3,0 1 × HDMI-kimenet, 1080p jelformátum támogatása	1 × Univerzális kártyaolvasó (legfeljebb 2 GB-os SD™, 2 GB-os, adapterrel ellátott miniSD™/microSD™, 32 GB-os SDHC™, 64 GB-os SDXC™ és 2 GB-os MultiMedia Card™ kártyákhoz)1 × csatlakozó a Toshiba Hi-Speed Port Replicator II porttöbszörözőhöz 1 × csatlakozó a Toshiba nagy sebességű Hi-Speed Port Replicator porttöbszörözőjéhez	A-GPS beépített, 1,3 megapixeles webkamera	WLAN, WWAN modem (HSDPA/3G/4G)	3G mobil szélessáv (Ericsson F5321gw) UMTS/HSPA Wi-Fi™ Intel® Centrino® Advanced-N 6235 802.11a/b/g/n (Intel® Wireless Display technológia )Gigabit Ethernet LAN	Windows 7 / 8 Pro	Infineon TPM Software Professional Package McAfee® Internet Security (30 napos ingyenes előfizetéssel) Microsoft® Office-próbaverzió Skype Toshiba Assist, hozzáférést nyújt a Toshiba Managebility segédprogramokhoz Toshiba Eco Utility™ Toshiba HDD Protection Toshiba HDD/SSD Alert Toshiba Intelligent Display Management Toshiba PC Health Monitor Toshiba Recovery Media Creator Toshiba Security Assist, segít a laptop biztonságának javításában Toshiba Service Station Toshiba Tempro - ellenőrzi, hogy megvannak-e a laptopon a legújabb Toshiba szoftverfrissítések	Sz x H x M : 316,0 x 227,0 x 18,3 (elöl) / 26,6 (hátul) mm	Könnyen javítható összetevőkTartós kialakítás Rázkódás- és ütéselnyelő kialakítás	Univerzális kétrétegű, vékony DVD-meghajtó	64 bit	Magyar				Win 7 Pro előtelepítve és Windows 8 Pro (64 bites kiadás, DVD-n)	
Toshiba Tecra R940-1NR	2.7243261647619E+31 Ft	14,1 "	1600x900 WXGA HD+	Matt, LED	Tükröződésmentes, nagy fényerejű Toshiba kijelző	Intel®	Core i5	3340M vPro™ 2,70/3,40 Turbo GHz	Intel® Turbo Boost 2.0 technológiával Elülső busz : 1600 MHz 3. szintű gyorsítótár : 3 MB	4 GB	DDR3 1600 MHz	1x4GB, bővíthetőség felső határa : 8,192 MB				Intel	HD Graphics 4000	Alaplapi integrált		min. 1,99 kg	3 év (1 év az akkura és töltőre)	Világ, Szerviz, El- és visszaszállításos	technológia : lítiumionos, 6 cellás maximális üzemidő : akár 9 óra (Mobile Mark™ 2007)	DVD író		Professzionális, Üzleti, 2 kg alatt	Notebook / Laptop	Új	Grafitfekete, barázdált borítással, matt fekete billentyűzet	Nem	500 GB	HDD	7,200 fordulat/percMerevlemez-védelem és térbeli gyorsulásérzékelő	akár 1696 MB megosztott memória 4 GB telepített rendszermemória mellett (előre telepített 64 bites operációs rendszer esetén) memória típusa : megosztott	Magyar	Cseppálló billentyűzet billentyűk : 87 Windows billentyűk : Igen speciális szolgáltatások : Matt fekete billentyűzet teljes méretű billentyűkkel	kettős Toshiba mutatóeszköz: Többérintéses vezérlésre is alkalmas érintőtábla és AccuPoint™ egérmutató	támogatott hangformátum : 24 bites sztereó hangszórók : beépített sztereó hangszórók SRS Premium Sound HD™ hangtechnológiával 1 × külső mikrofon 1 × sztereó fejhallgató	VGA, DisplayPort, Memóriakártya olvasó, Bluetooth, ExpressCard, Webkamera, Ujjlenyomat olvasó, Dokkolócsatlakozó, USB 3.0, GPS, A-GPS	Bluetooth® 4.0 + LE 1 × külső monitor1 (bal) × eSATA/USB 2.0 USB Sleep-and-Charge technológiával1 (bal) × USB 3,0 1 (a jobb oldalon) × USB 3,0 1 × DisplayPort	Univerzális kártyaolvasó (legfeljebb 2 GB-os SD™, 2 GB-os, adapterrel ellátott miniSD™/microSD™, 32 GB-os SDHC™, 64 GB-os SDXC™ és 2 GB-os MultiMedia Card™ kártyákhoz)1 × Express Card™ kártyahely (34 mm) 1 × csatlakozó a Toshiba Hi-Speed Port Replicator II porttöbszörözőhöz	1 MP HD webkamera (1280 x 800) mikrofonnalujjlenyomat azonosítás, Assisted GPS	WLAN, WWAN modem (HSDPA/3G/4G)	3G mobil szélessávú kapcsolat (Ericsson F5321gw)Intel® Centrino® Advanced-N 6235 Wi-Fi™, Intel® Wireless Display technológia Gigabit Ethernet LAN	Windows 7 / 8 Pro	Infineon TPM Software Professional Package McAfee® Internet Security (30 napos ingyenes előfizetéssel) Microsoft® Office-próbaverzió Skype Toshiba Assist, hozzáférést nyújt a Toshiba Managebility segédprogramokhoz Toshiba Eco Utility™ Toshiba HDD Protection Toshiba HDD/SSD Alert Toshiba Intelligent Display Management Toshiba PC Health Monitor Toshiba Recovery Media Creator Toshiba Security Assist, segít a laptop biztonságának javításában Toshiba Service Station Toshiba Tempro - ellenőrzi, hogy megvannak-e a laptopon a legújabb Toshiba szoftverfrissítések	Sz x H x M : 341,0 x 239,0 x 19,9 (elöl) / 27,4 (hátul) mm	Könnyen javítható összetevők Rázkódás- és ütéselnyelő kialakítás Számítógép-diagnosztika Tartós kialakítás	Univerzális kétrétegű DVD-meghajtó	64 bit	Magyar				Win 7 Pro előtelepítve és Windows 8 Pro (64 bites kiadás, DVD-n)	
Lenovo ThinkPad T431s	4.2692079898339E+35 Ft	14,1 "	1600x900 WXGA HD+	Matt, LED	Anti-Glare (250 NIT) 400:1	Intel®	Core i7	3687U 2.10 GHz	4M Cache	8 GB	DDR3 1600 MHz	4GB alaplapon + 4GB, 1 SO-DIMM socket, 12GB max.				Intel	HD Graphics 4000	Alaplapi integrált		1.63 kg	3 év (1 év az akkura és töltőre)	Helyszíni, Világ	3 cellás 47Whr Li-PolymerMobileMark® 2007: Windows 7 max. 9h	Nincs	Mobile Intel QM77 Express Chipset	Üzleti, Professzionális	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	SSD / Flash	SATA 6.0Gb/s, 2.5", 7mmShock Mounted Hard Drive, Active Protection System™		Magyar	6 soros, cseppálló, multimedia Fn gombok	TrackPoint és 5-gombos üveg multi-touch TouchPad	Dolby® Home Theater® v4sztereo hangszórók, 1W x 2, dual mikrofon(1) 3.5mm Combo Jack Headphone/MIC csatlakozó	DisplayPort, VGA, Memóriakártya olvasó, Webkamera, Ujjlenyomat olvasó, Dokkolócsatlakozó, USB 3.0, Smart Card olvasó, Bluetooth	Bluetooth 4.0(1) MiniDisplayPort (audio-val)(1) VGA(2) USB 3.0	dokkolható, Smart Card olvasó4 in 1 kártyaolvasó (MMC, SD, SDHC, SDXC)	HD720p Webkamera, fix focusTCG 1.2, AuthenTec ujjlenyomat olvasó	WLAN	WiFi: Intel Centrino Advanced-N 6235 (2x2 ABGN)RJ45 ETHERNET	Windows 7 / 8 Pro	• Lenovo® Message Center Plus• ThinkVantage Product Recovery• Access Connections™• ThinkVantage Power Manager• Lenovo SimpleTap• Adobe® Reader®• Lenovo Solution Center• Password Manager• ThinkVantage System Update• Lenovo Cloud Storage by SugarSync• Microsoft® Office 2013 próbaverzió• PC Device Stage• Evernote	331 mm x 226 mm x 20.6 mm			64 bit	Magyar			240 GB	Windows 7 Professional előtelepítve +Win 8 Pro 64bit Recovery DVD/licensz	
Sony VAIO® Pro	2.7345685388204E+35 Ft	13,3 "	1920x1080 Full HD 1080	Matt, LED, Érintőképernyő	Tükröződésgátló, fényes felülettelFényérzékelő	Intel®	Core i5	4200U 1,6 GHz	3MB L3 cache Turbo Boost technológiával, max. 2,6 GHz	4 GB		A memória nem bővíthető				Intel	HD 4400	Alaplapi integrált			2 év (1 év az akkura és töltőre)	Szerviz	Lítium-ionos polimer akkumulátormax. 8h, Teszt: MobileMark 2007	Nincs		Ultrabook™, 2 kg alatt	Notebook / Laptop	Új	Ház anyaga Karbonszál (lent/fent)	Nem		SSD / Flash	SATA 6 Gb/sSolid state drive				Érintőpanel (kézmozdulat felismerése támogatott)	Beépített hangsugárzókBeépített mikrofon	Memóriakártya olvasó, HDMI, Bluetooth, VGA, Webkamera, USB 3.0	Bluetooth® 4.0 + HS1 db SuperSpeed USB (USB 3.0) port, A típusú csatlakozó töltő funkcióval, 1 db SuperSpeed USB (USB 3.0) port, A típusú csatlakozó töltő funkcióvalHDMI® kimenet, VGA adapter	1 db SD-memóriakártya	Exmor RTM for PC HD webkamera 1280 x 720	WLAN	Vezetéknélküli LAN IEEE 802.11a/b/g/n	Windows 8	VAIO Message CenterPlayMemories Home, VAIO Movie CreatorVAIO Care, VAIO Transfer Support, VAIO Update, VAIO Control CenterMcAfee Internet Security 30 napos előfizetés, McAfee Parental Controls, Intel® Anti-Theft Service 90 napos próbaidő		http://www.youtube.com/watch?feature=player_embedded&v=NLK7ZMxPEUY			Magyar, Angol, Választható			128 GB		
Lenovo ThinkPad X230+UltraBase dokkoló + Ultrabay DVD író	3.9292251360145E+41 Ft	12,5 "	1366x768 WXGA HD	Matt, LED	anti-glare, 200 nit, 16:9, 300:1	Intel®	Core i5	3230M 2,6 GHz		4 GB	DDR3 1600 MHz	(1x4 GB) 16GB max.				Intel	HD Graphics 4000	Alaplapi integrált		1.50kg	3 év (1 év az akkura és töltőre)	Szerviz, Világ	6 cellás 62.4WHr Li-Ion, max. 10.3 óra	DVD író	Mobile Intel QM77 Express Chipset	2 kg alatt, Üzleti, Professzionális	Notebook / Laptop	Új	Fekete hátlap	Igen	500 GB	HDD	7200rpm SATA 3.0Gb/s, 2.5", 7mm, Active Protection System™, Shock Mounted Hard Drive		Magyar	6-soros, 84-gombos, ThinkVantage gomb, cseppálló, multimedia Fn gombok, ThinkLight™ megvilágítás	TrackPoint és UltraNav™ touchpad	High Definition (HD) Audio, Conexant 20672 codec / sztereo hangszórók: 1 watt x 2duál mikrofon, combo audio/mic jack	DisplayPort, VGA, Memóriakártya olvasó, USB 3.0, Dokkolócsatlakozó, Ujjlenyomat olvasó, ExpressCard	2*USB 3.0, 1*powered USB 2.0, VGA DB-15, Mini DisplayPort	4-in-1 kártyaolvasó (SD, SDHC, SDXC, MMC)ExpressCard 34/54	TCG 1.2 Secure Chip, AuthenTec ujjlenyomat-olvasó	WLAN	Intel 6205 AGN 2x2 WiFiGigabit Ethernet	Windows 7 / 8 Pro		305mm x 206.5mm x 19.0-26.6mm		UltraBase dokkolón Ultrabay DVD író	64 bit	Magyar				Windows 7 Professional előtelepítve +Win 8 Pro 64bit Recovery DVD/licensz	
Acer Aspire R7-572G-54208G1.02TASS	2.7581873893047E+31 Ft	15,6 "	1920x1080 Full HD 1080	Fényes, LED, Érintőképernyő, IPS	10 pontos Multi-touch, IPS2	Intel®	Core i5	4200U 1,6GHz	3M Cache, max. 2.60 GHz	8 GB	DDR3 1600 MHz	2 x 4GB DDR3L, max. 16GB				nVidia	GeForce GT 750M 2GB DDR5	Dedikált, saját memóriával		2,50 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	4 cellás Li-polymer, 53 wattóra, 3560 mAhmax. 5.5h	Nincs		Játék/3D grafika	Tablet PC	Új	Ezüst hátlap	Nem	1000 GB	Hibrid (HDD + SSD)	5400 rpm HDD + SSD		Magyar		TouchPad	Sztereó hangszórók, mikrofon	VGA, Memóriakártya olvasó, Webkamera, USB 3.0, Bluetooth, HDMI	Bluetooth 4.0 + HSUSB 2.0, USB 3.0 * 2, HDMI, Acer Converter port	Secure Digital (SD) Memóriakártya olvasó	Webkamera TPM	WLAN	Acer Nplify 802.11a/b/g/n WiFi	Windows 8		76.8 (W) x 254.5 (D) x 20.6/28.5 (H) mm	Video megtekintése ->			Magyar, Választható, Angol	2048 MB	Acer Converter 3in1 kábel (VGA, Ethernet, USB 2.0)Egér, Stylus toll	24 GB		
Asus Zenbook Prime UX21A-K1009H	27589747893221 Ft	11,6 "	1920x1080 Full HD 1080	LED		Intel®	Core i7	3517U - 1,90GHz	4MB cache	4 GB	DDR3 1333 MHz	OnBoard				Intel	HD Graphics 4000	Alaplapi integrált		1,1 kg	2 év (1 év az akkura és töltőre)	Világ, El- és visszaszállításos	6 cella 35 Whr Polymer 4800mAh		Intel® HM76 Express Chipset	2 kg alatt, Ultrabook™	Notebook / Laptop	Új	Ezüst hátlap	Nem		SSD / Flash	SATA III		Magyar			Bang & Olufsen ICEpower® 2.0beépített hangszórók és mikrofon	VGA, HDMI, Bluetooth, USB 3.0, Webkamera	Bluetooth 4.02 x USB 3.0 port 1 x micro HDMI1 x Mini VGA		720p HD Webkamera	WLAN	WLAN 802.11 b/g/n10/100 Mbps Ethernet USB Adapteren keresztül	Windows 8		299 x 196.8 x 3 ~17 mm (WxDxH)				Magyar		Táska	256 GB		
Lenovo Ideapad Yoga 2 Pro	3.249524989771E+30 Ft	13,3 "	3200x1800 QHD	IPS, Érintőképernyő, LED, Fényes	IPS wide-view, 10-pontos Multi Touch	Intel®	Core i7	4500U (1,8/3,0GHz)	4MB cache	8 GB	DDR3 1600 MHz	DDR3L alaplapon				Intel	HD Graphics 4400	Alaplapi integrált		1,4 kg	3 év (1 év az akkura és töltőre)	El- és visszaszállításos	4 cella •max. 9 h Windows 8 Idle mód @ 150 nit fényerő•max. 6 h FHD videolejátszás@ 150 nit fényerő	Nincs		Általános otthoni/irodai, 2 kg alatt	Tablet PC	Új	Sárga hátlap	Nem		SSD / Flash			Magyar	AccuType		Dolby® Home Theater®, sztereo hangszórókAudio Combo Jack (headphone és microphone)	Memóriakártya olvasó, HDMI, Bluetooth, USB 3.0, Webkamera	Bluetooth 4.0, micro HDMI, 1 x USB 3.0, 1 x USB 2.0	2 az 1ben kártyaolvasó	1,0Mpixel 720p HD Webkamera	WLAN	Intel 7260BGN WLAN	Windows 8	•Lenovo® Cloud Storage•CyberLink YouCam•Phone Companion•Yoga Camera Man•Yoga Chef•Yoga Photo Touch•McAfee® Internet Security™ (30 nap trial)•VeriFace® Pro•OneKey® Recovery	330 x 220 x 15,5 mm			64 bit	Magyar, Választható, Angol			256 GB	8.1	
Lenovo ThinkPad S1 Yoga - tablet ultrabook™	3.6865319895662E+30 Ft	12,5 "	1920x1080 Full HD 1080	IPS, Érintőképernyő, Matt, LED	anti-glare,10-pontos touch screen, 400 nit, IPS	Intel®	Core i7	4500U 1.80GHz	4MB Cache, Intel Turbo Boost 2.0 (3.00GHz)	8 GB	DDR3 1600 MHz	alaplapon, nem bővíthető				Intel	HD Graphics 4400	Alaplapi integrált		1.63kg	3 év (1 év az akkura és töltőre)	Helyszíni, Világ	8 cellás Li-polymer 47Whmax. 7h	Nincs		Ultrabook™, Multimédiás, 2 kg alatt, Üzleti	Tablet PC	Új	Fekete hátlap	Nem	500 GB	SSD / Flash	Solid State Drive / SATA 6.0Gb/s, 2.5"Active Protection System™		Háttérvilágításos, Magyar	LED háttérvilágítás6-soros, 83-gombos, cseppálló, multimedia Fn gombok	TrackPoint és UltraNav™ touchpad, integrált 5 gomb, multi-touch	Dolby® Home Theater® v4High Definition (HD) Audio, Conexant CX20751 codec sztereo hangszórók (2 watt x 2) / dual mikrofon, combo audio/mic jack	Bluetooth, HDMI, Webkamera, USB 3.0, Memóriakártya olvasó	Bluetooth 4.0, 2* USB 3.0 (1* powered), mini-HDMI	4-in-1 kártyaolvasó (SD, SDHC, SDXC, MMC)	HD720p Webkamera, Tablet tollTrusted Platform Module, TCG 1.2	WLAN	Intel Dual Band Wireless-AC 7260 Wi-Fi, 2x2	Windows 7 / 8 Pro	• Lenovo Support• Lenovo Companion• Lenovo Cloud Storage• Password Manager• ThinkVantage System Update• Norton™ Internet Security (30 nap)• Skype™	316mm x 221mm x 19.4mm	Magnézium és Aluminum kompozit+ Polyphenylene sulfid (PPS) ház		64 bit	Választható, Angol, Magyar			256 GB	8.1	
HP-Compaq EliteBook 820 G1	3.9054291895662E+30 Ft	12,5 "	1366x768 WXGA HD	Matt, LED	SVA csillogásmentes	Intel®	Core i7	4600U 2,1 GHz	4 MB gyorsítótár, 2 mag	8 GB	DDR3 1600 MHz	(2 x 4 GB) DDR3L, 2 SODIMM hely, max. 16GB				Intel	HD Graphics 4400	Alaplapi integrált		Kezdő súly: 1,33 kg	3 év (1 év az akkura és töltőre)	Világ, Szerviz	HP hosszú üzemidejű 3 cellás (46 Wh)	Nincs	A chipkészlet integrálva van a processzorba	2 kg alatt	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	SSD / Flash	SATA SE SSD HP 3D DriveGuard		Magyar	Folyadékelvezető, cseppálló billentyűzet	Érintőtábla be- és kikapcsológombbal, kétirányú görgetéssel, kézmozdulat-érzékeléssel és két választógombbal; Mutatópálca, két további választógomb	HD Audio DTS Studio Sound technológiával; Beépített kétcsatornás mikrofon; 2 beépített sztereó hangszóró 1 kombinált sztereó fejhallgató- és mikrofoncsatlakozó	Bluetooth, DisplayPort, VGA, Memóriakártya olvasó, Webkamera, Ujjlenyomat olvasó, Dokkolócsatlakozó, USB 3.0	Bluetooth 4.0 2 USB 3.0; 1 USB 3.0 töltéshez; 1 DisplayPort; 1 VGA	1 médiakártya-olvasó1 dokkolócsatlakozó	720p HD webkameraTPM 1.2 biztonsági chip; Ujjlenyomat olvasó	WWAN modem (HSDPA/3G/4G), WLAN	HP lt4112 LTE/HSPA+ mobil szélessávú modulIntel kétsávos 7260AN 802.11a/b/g/n (2x2) WiFi Intel I218-LM Gigabit hálózati csatlakozó (10/100/1000 NIC)	Windows 7 / 8 Pro	HP 3D DriveGuardHP Connection Manager (Windows 7)HP vezeték nélküli hozzáférési pontHP Mobile Connect (csak az EMEA területén)HP PageLiftHP Recovery ManagerHP Support AssistantHP ePrint	31 x 21,53 x 2,1 cm (elöl)			64 bit	Magyar			256 GB	Windows 7 Professional előtelepítve, illetve a Windows 8 Pro szoftver lemeze és licence is jár hozzá	
Dell Latitude E6540	4.1865309896686E+31 Ft	15,6 "	1920x1080 Full HD 1080	Matt, LED	Anti Glare tükröződéscsökkentő bevonattal	Intel®	Core i7	4800MQ 2.70GHz	6MB cache	8 GB	DDR3 1600 MHz	2x4GB, Max. 16GB - 2 DIMM				AMD/ATI	Radeon HD 8790M 2GB GDDR5	Dedikált, saját memóriával		Kezdő tömeg: 2,36 kg	3 év (1 év az akkura és töltőre)	Világ, Helyszíni	6 cellás (60 Wh-s) lítiumion akkumulátor ExpressCharge™ funkcióval	DVD író	Mobil Intel® QM87 Express chipkészlet	Játék/3D grafika, Professzionális, Üzleti	Notebook / Laptop	Új	Ezüst hátlap	Nem	500 GB	SSD / Flash	2.5" SATA merevlemez	128 bites különálló grafikus kártya	Magyar, Háttérvilágításos, Numerikus billentyűzet	háttérvilágítással, antibakteriálisKét mutatóeszközt tartalmazó billentyűzet	többérintéses érintőpad	Sztereó fejhallgató-csatlakozó	Memóriakártya olvasó, Dokkolócsatlakozó, HDMI, Webkamera, USB 3.0, VGA	Bluetooth 4.0, VGA, HDMI, USB 3.0 (4)	memóriakártya-olvasó, dokkolócsatlakozó1 teljes (WWAN) és két fél (WLAN DDPE) kártyabővítőhely	Webkamera fényérzékelővel és zajcsökkentő digitális mikrofonnal	WLAN	Intel 6235 2X2 802.11n Wifi + WiDi	Windows 7 Professional		Szélesség: 379,00 mmMagasság: 33,4 mmMélység: 250,50 mm		8X DVD -ROM Media Bay	64 bit	Magyar	2048 MB		256 GB	(MUI DVD)	
Lenovo ThinkPad T440p	3.566059789826E+31 Ft	14,1 "	1920x1080 Full HD 1080	LED, Matt	anti-glare, 300nit, 700:1	Intel®	Core i7	4700MQ 2,4GHz	6MB cache, Intel Turbo Boost 2.0 (3.40GHz)	8 GB	DDR3 1600 MHz	DDR3L, 16GB max, 2 soDIMM hely				nVidia	GeForce® GT 730M 1GB	Dedikált, saját memóriával		2.14kg	3 év (1 év az akkura és töltőre)	Helyszíni, Világ	9 cellás (99,9Wh), max. 12.7h	DVD író	Mobile Intel QM87 Express Chipset	Üzleti, Professzionális, Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Nem	1000 GB	SSD / Flash	SATA 6.0Gb/s 2.5"Active Protection System™, Shock Mounted Hard Drive	PCI Express® x8NVIDIA® Optimus™ technológia	Magyar, Háttérvilágításos	LED háttérvilágításThinkPad® Precision 6-soros, cseppálló, multimedia Fn gombok	TrackPoint® és Mylar touchpad, 5 integrált gomb, multi-touch	HD Audio, Realtek® ALC3232 codec, Dolby® Advanced Audio™ v2 / sztereo hangszórók, 1W x 2 /dual mikrofon, combo audio/microphone jack	Bluetooth, USB 3.0, DisplayPort, Dokkolócsatlakozó, Ujjlenyomat olvasó, Webkamera, Memóriakártya olvasó, VGA	Bluetooth 4.0, 2* USB 3.0, 1* USB 2.0 (Always On), VGA, Mini DisplayPort	4-in-1 kártyaolvasó: MMC, SD, SDHC, SDXCDokkoló csatlakozó	HD720p Webkamera TPM modul, Ujjlenyomat olvasó	WLAN	Intel Dual Band Wireless-AC 7260, 2x2, Wi-FiIntel Ethernet I217-LM (Clarkville)	Windows 7 / 8 Pro	• Lenovo Solution Center• Lenovo Support• Lenovo Companion• ThinkVantage System Update• Lenovo Cloud Storage• Intel AppUp®• PC Device Stage• Evernote®• Skype™• Norton Studio, Norton™ Internet Security (30nap)• Cyberlink PowerDVD• Cyberlink Power2Go • Cyberlink PowerProducer	335mm x 229.1mm x 27.9–29.95mm		DVD-RW, 9.5mm Ultrabay slim	64 bit	Magyar, Angol, Választható	1024 MB		256 GB	Windows 7 Pro előtelepítve + Windows 8 Pro licensz	
