TermékNév	Ár	TFT Méret	TFT Felb.	CPU Típus	CPU Frek.	RAM Méret	RAM Típus	HDD Méret	HDD Seb.	GPU Típus	GPU RAM	Súly	Gar.	Akku	ODD	OS	Beépített tárhely	Audio	LAN	WLAN	Modem	Portok	CR	Méret	Bill.	Egyéb	Állapot	Ajándék	2. Merevlemez mérete	2. Merevlemez sebessége
HP G6-2230SH Notebook	159390 Ft	15.60 inch	WXGA (1366x768)	Intel® Core™ i5 processzor 3210M	2500 MHz	6144 MB	DDR3 1333MHz	750 GB	5400 rpm	AMD Radeon™ HD 7670M	2048 MB		2 év	6 mAh	DVD+-RW	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó, ExpressCard(54mm)		magyar	Webcamera	új				
Gigabyte Q1742N Notebook	159835 Ft	17.30 inch	HD+ WUGA (1600x900) LED	Intel® Core™ i5 processzor 3210M	2500 MHz	4096 MB	DDR3 SDRAM	750 GB	5400 rpm	NVIDIA® GeForce® GT 640M	2048 MB	3.00 Kg	2 év	6 mAh	DVD+-RW	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, 1xUSB 3.0, eSATA	Memóriakártya-olvasó, SD, MMC, SDHC, SDXC		magyar	Webcamera	új				
HP G6-2304SH Notebook	159835 Ft	15.60 inch	WXGA (1366x768)	Intel® Core™ i5 processzor 3230M	2600 MHz	8192 MB	DDR3 1333MHz	1000 GB	5400 rpm	AMD Radeon™ HD 7670M	2048 MB	2.48 Kg	2 év	6 mAh	DVD+-RW	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Sony Vaio SVF1521H1EW Fit15 Notebook	159835 Ft	15.50 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 3227U	1900 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	NVIDIA® GeForce® GT 740M	1024 MB	2.50 Kg	2 év		DVD-RW SuperMulti DL	Windows 8 Professional 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Acer TMP633-M-53234G50tkk Notebook	160622 Ft	13.30 inch	WXGA (1366x768) LED	Intel® Core™ i5 processzor 3230	3200 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	Intel HD Graphics 4000	- MB	1.90 Kg	3 év	4 mAh	opció	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, HDMI, 3xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Acer V5-572-53338G50amm_Lin Notebook	160622 Ft	15.60 inch	WXGA (1366x768)	Intel® Core™ i5 processzor 3337U	2700 MHz	8192 MB	DDR3 SDRAM	500 GB	5400 rpm	Intel® HD Graphics	- MB	2.10 Kg	2 év	4 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	Billentyűzet megvilágítás, HD Webcamera	új				
Acer Iconia W511-27602G03ass 3G + Office 2013 H&S + KB dock Notebook	161409 Ft	10.10 inch	Multi-Touch (1366x768) LED	Intel® Atom processzor Z2760 Dual Core	1800 MHz	2048 MB	DDR2 800MHz			-	- MB	1.26 Kg	1 év	3540 mAh	-	Windows 8 ML	64 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, Mini HDMI, Micro USB	micro SD, Memóriakártya-olvasó	258.5x167.5x18.7 mm	magyar	Érintőképernyő, Front Camera, Back Camera, Flash memória, 64GB, GPS	új	Extra akkumulátor			
Acer Iconia W511-27602G06ass Notebook	165346 Ft	10.00 inch	Multi-Touch (1366x768) LED	Intel® Atom processzor Z2760 Dual Core	1800 MHz	2048 MB	DDR2 800MHz			-	- MB	1.26 Kg	1 év	3540 mAh	-	Windows 8 ML	64 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, HDMI, Micro USB	micro SD, Memóriakártya-olvasó	258.5x167.5x18.7 mm	magyar	Érintőképernyő, Front Camera, Back Camera, Flash memória, 64GB, GPS	új				
Acer TMP633-M-53234G50tkk_LIN Notebook	169283 Ft	13.30 inch	WXGA (1366x768) LED	Intel® Core™ i5 processzor 3230	3200 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	Intel HD Graphics 4000	- MB	1.90 Kg	3 év	4 mAh	opció	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, HDMI, 3xUSB 3.0, Bluetooth	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Lenovo Coltrane ThinkPad 2 3G Notebook	177157 Ft	10.10 inch	Multi-Touch (1366x768) LED	Intel® Atom processzor Z2760	1800 MHz	2048 MB	DDR2 800MHz			Intel® HD Graphics	- MB	0.60 Kg	1 év	4400 mAh	-	Windows 8 32bit	64 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, USB 2.0	micro SD, Memóriakártya-olvasó	262.6 x 164 x 9.8 mm	magyar	Back Camera, Érintőképernyő, Front Camera, Flash memória, 64GB, GPS	új				
Toshiba Satellite P770-12R Notebook	177540 Ft	17.30 inch	HD+ WUGA (1600x900) LED	Intel® Core™ i5 processzor 2450M	2500 - 3100 MHz	8192 MB	DDR3 1333MHz	750 GB	5400 rpm	NVIDIA® GeForce® GT 555M	2048 MB	3.00 Kg	2 év	6 mAh	CD-RW	Windows 7 Home Premium		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Toshiba Satellite L850-1MK Notebook	177945 Ft	15.60 inch	WXGA (1366x768)	Intel® Core™ i7 processzor 3630QM	1 MHz	4096 MB	DDR3 1600MHz	750 GB	5400 rpm	AMD Radeon™ HD7670	- MB	2.30 Kg	2 év	6 mAh	DVD+-RW Dual Layer	Windows 8 Professional 64bit HUN		igen	WLAN a/b/g/n, 10/100Mbps	802.11b/g/n	opció	USB 2.0, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Toshiba Satellite U940-10F Notebook	179190 Ft	14.00 inch	WXGA (1366x768)	Intel® Core™ i5 processzor 3317U	1700 MHz	8192 MB	DDR3 1600MHz	500 GB	5400 rpm	Intel® GMA HD	- MB		2 év	4 mAh	-	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
HP G6-2240SH Notebook	180290 Ft	15.60 inch	WXGA (1366x768)	Intel® Core™ Quad i7 processzor 3632Q	2200 MHz	6144 MB	DDR3 1333MHz	750 GB	5400 rpm	AMD Radeon™ HD 7670M	2048 MB			6 mAh	DVD+-RW	FreeDOS		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó, ExpressCard(54mm)		magyar	Webcamera	új				
Samsung NP530U3C Notebook	180290 Ft	14.00 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 3317UM	1700 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	Intel® HD Graphics	- MB		2 év	4 mAh	-	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó	333 x 229.5 x 20.9mm mm	magyar	Webcamera	új				
Acer TMP653-MG-53234G50Mtkk_LIN Notebook	181882 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 3230	3200 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	NVIDIA® GeForce® GT 640M	1024 MB	1.90 Kg	3 év	6 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, HDMI, 3xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera, Ujjlenyomat olvasó	új				
Dell Inspiron 7720 Notebook	183590 Ft		HD+ WUGA (1600x900) LED	Intel® Core™ i5 processzor 3210M	2500 - 3100 MHz	4096 MB	DDR3 1600MHz	10000 GB	5400 rpm	NVIDIA® GeForce® GT 650M	2048 MB		3 év	6 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	VGA, Bluetooth, HDMI, 4xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Sony Vaio VPCSB4L1E/W Notebook	187110 Ft	13.30 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 2350M	2300 MHz	4096 MB	DDR3 1333MHz	500 GB		AMD Mobility Radeon™ HD6470M	512 MB	1.72 Kg	2 év	6 mAh	DVD+-RW	Windows 7 Home Premium 64bit		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	SD, MS Pro, SDHC, SDXC	331 x 23.9 x 224.5 mm	magyar	Webcamera, Rázkodás elleni merevlemezvédele, Gyorsulásmérő	új				
Toshiba Satellite L870-160 Notebook	188100 Ft	17.30 inch	HD+ WUGA (1600x900) LED	Intel® Core™ i5 processzor		6144 MB	DDR3 1333MHz	750 GB	5400 rpm	AMD Radeon™ HD7670	- MB		2 év	6 mAh	CD-RW	Windows 8 Professional 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Samsung NP350V5C Notebook	188650 Ft	15.60 inch	WXGA (1366x768) LED	Intel® Core™ i7 processzor 3630QM	3400 MHz	6000 MB	DDR3 1600MHz	10000 GB	5400 rpm	AMD Radeon™ HD7670	2048 MB	2.50 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	igen	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó	372.5 x 243 x 33mm mm	magyar	Webcamera	új				
Acer V5-571P-53338G1TMass_W8 Notebook	190543 Ft	15.60 inch	WXGA (1366x768)	Intel® Core™ i5 processzor 3337UB	1800 MHz	8192 MB	DDR3 SDRAM	1000 GB	5400 rpm	Intel® GMA HD	- MB	2.10 Kg	2 év	4 mAh	DVD-RW SuperMulti DL	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Fujitsu Lifebook UH552 Notebook	209420 Ft	13.30 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 3317U	1700 - 2500 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	Intel HD Graphics 4000	- MB	1.60 Kg	2 év	4 mAh	opció	Windows 7 Professional 64bit		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	HSDPA	USB 2.0, Bluetooth, HDMI, 2xUSB 3.0	SD, MS, MS Pro, SDHC	323 x 234 x 18.0 mm	magyar	HD Webcamera	új				
Acer V5-471PG-53338G50Mass Notebook	198417 Ft	14.00 inch	Multi-Touch (1366x768) LED	Intel® Core™ i5 processzor 3337UB	1800 MHz	8196 MB	DDR3 SDRAM	500 GB	5400 rpm	nVidia GT 710	2048 MB	2.10 Kg	2 év	4 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN b/g	802.11b/g	opció	2xUSB 2.0, VGA, HDMI, 1xUSB 3.0, Bluetooth	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Acer V5-571PG-53338G1TMass Notebook	198417 Ft	15.60 inch	Multi-Touch (1366x768) LED	Intel® Core™ i5 processzor 3337UB	1800 MHz	8192 MB	DDR3 SDRAM	1000 GB	5400 rpm	nVidia GT 710	2048 MB	2.10 Kg	2 év	4 mAh	DVD-RW SuperMulti DL	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera, Érintőképernyő	új				
Sony Vaio SVF1521V1EB.EE2 Notebook	202354 Ft	15.50 inch	WXGA (1366x768) LED	Intel® Core™ i5 processzor 3337U	1800 - 2700 MHz	6144 MB	DDR3 SDRAM	1000 GB	5400 rpm	NVIDIA® GeForce® GT 740M	- MB	2.50 Kg	2 év		DVD+-RW Dual Layer	Windows 8 Professional 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Dell Latitude 10 Notebook	205504 Ft	10.10 inch	Multi-Touch (1366x768) LED	Intel® Atom processzor Z2760 Dual Core	1800 MHz	2048 MB	DDR2 800MHz			-	- MB	0.65 Kg	3 év	3880 mAh	-	Windows 8 32bit	64 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, Micro USB	micro SD, Memóriakártya-olvasó	274 x 176.6 x 10.5 mm	egyéb	Érintőképernyő, Front Camera, Back Camera, Flash memória, 64GB	új				
Asus Zenbook-U32VM-RO006X Notebook	206910 Ft	13.30 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 3210M	2500 - 3100 MHz	4096 MB	DDR3 1600MHz	750 GB	5400 rpm	Intel HD Graphics 4000	- MB	1.84 Kg	2 év	8 mAh	-	Windows 7 Professional 64bit		igen	WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, 1xUSB 3.0, Micro HDMI	Memóriakártya-olvasó	328 x 238 x 13,4-26,1 mm	magyar	HD Webcamera	új	Táska + Egér			
Dell Vostro 3560 FHD Notebook	207570 Ft	15.60 inch	FULL HD (1920x1080) LED	Intel® Core™ i5 processzor 3210M	2500 MHz	4096 MB	DDR3 1600MHz	500 GB	7200 rpm	AMD Radeon™ HD7670	1024 MB	2.57 Kg	3 év	6 mAh	Blue-Ray Combo	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	VGA, Bluetooth, Express Card, HDMI, 4xUSB 3.0	Memóriakártya-olvasó		magyar	Ujjlenyomat olvasó, Billentyűzet megvilágítás, HD Webcamera	új				
Samsung NP700Z3C Notebook	213070 Ft	14.00 inch	HD+ WUGA (1600x900) LED	Intel® Core™ i5 processzor 3210M	3100 MHz	6000 MB	DDR3 1600MHz	10000 GB	5400 rpm	Intel Centrino Advanced-N 6235	- MB		2 év	6 mAh	DVD-RW SuperMulti DL	FreeDOS		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, DVI, HDMI, 1xUSB 3.0	Memóriakártya-olvasó	325 x 226 x 23.7mm mm	magyar	Billentyűzet megvilágítás, HD Webcamera	új				
Samsung NP700Z5C Notebook	215070 Ft		HD+ WUGA (1600x900) LED	Intel® Core™ i5 processzor 3210M	3100 MHz	6000 MB	DDR3 1600MHz	10000 GB	5400 rpm	NVIDIA® GeForce® GT 640M	1024 MB		2 év	8 mAh	DVD-RW SuperMulti DL	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó	362.1 x 238.5 x 23.9mm mm	magyar	Billentyűzet megvilágítás, HD Webcamera	új				
Acer Iconia W701-53334G06as Notebook	229126 Ft	11.60 inch	WUXGA (1920x1080) Full HD	Intel® Core™ i3 processzor 3227U	1800 MHz	4096 MB	DDR3 SDRAM			Intel HD Graphics 4000	- MB	1.26 Kg	1 év	4850 mAh	-	Windows 8 64bit HUN	60 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 3.0, Bluetooth, HDMI	micro SD, Memóriakártya-olvasó	295x191x11.9 mm	magyar	Érintőképernyő, Front Camera, Back Camera	új	Bőrtok + BTH keyboard ENG			
Sony Vaio VPCSB4S9E/B Notebook	235293 Ft	13.30 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 2450M	2500 - 3100 MHz	4096 MB	DDR3 1333MHz	640 GB		AMD Mobility Radeon™ HD6470M	512 MB	1.79 Kg	2 év	6 mAh	DVD+-RW	Windows 7 Professional 64bit		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	SD, MS Pro, SDHC, SDXC	331 x 23.9 x 224.5 mm	magyar	Webcamera, Ujjlenyomat olvasó, Rázkodás elleni merevlemezvédele, Gyorsulásmérő, Billentyűzet megvilágítás	új				
Fujitsu Lifebook S752 Notebook	240724 Ft	14.00 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 3210M	2500 - 3100 MHz	4096 MB	DDR3 1333MHz	500 GB	7200 rpm	Intel HD Graphics 3000	- MB	2.30 Kg	3 év	6 mAh	DVD-RW SuperMulti DL	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	HSDPA foglalat	2xUSB 2.0, VGA, Bluetooth, 2xUSB 3.0, Display Port, USB 2.0 E-SATA, Power Share funkcióval	SD	340 x 245 x 35 mm	magyar	Rázkodás elleni merevlemezvédele, HD Webcamera	új				
Toshiba Satellite P755-12G Notebook	249203 Ft	15.60 inch	HD WXGA (1366x768) 3D	Intel® Core™ i7 processzor 2670QM	2200 - 3100 MHz	8192 MB	DDR3 1333MHz	500 GB	7200 rpm	NVIDIA® GeForce® GT 540M	2048 MB	2.60 Kg	2 év	6 mAh	Blue-Ray Combo	Windows 7 Home Premium 64bit		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	SD, MS, MS Pro, MMC, XD, mini SD, micro SD, SDHC, SDXC	380,5 x 254 x 37,6 mm	magyar	Billentyűzet megvilágítás, HD Webcamera, Flash Memória, 4 GB	új	NVIDIA® 3D Vision			
Samsung NP900X3D Notebook	262792 Ft		HD+ WUGA (1600x900) LED	Intel® Core™ i5 processzor 3317U	1700 MHz	4000 MB	DDR3 1600MHz	128 GB		Intel HD Graphics 4000	- MB		3 év	4 mAh	-	Windows 8 Professional 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó	313.8 x 218.5 x 13.2mm mm	magyar	SSD drive, HD Webcamera	új				
Fujitsu Lifebook UH572 Notebook	265441 Ft	13.30 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 3317U	1700 - 2400 MHz	4096 MB	DDR3 1600MHz	128 GB		Intel HD Graphics 4000	- MB	1.60 Kg	3 év	4 mAh	opció	Windows 7 Professional 64bit		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	HSDPA	USB 2.0, Bluetooth, HDMI, 2xUSB 3.0	SD, MS, MS Pro, SDHC		magyar	SSD drive, HD Webcamera	új				
Lenovo IdeaPad Y510p Notebook	272433 Ft	15.60 inch	FULL HD (1920x1080) LED	Intel® Core™ i7 processzor 4700QM	3400 MHz	8192 MB	DDR3 1600MHz	1024 GB	5400 rpm	nVIDIA GeForce GT 755M	2048 MB	2.90 Kg	3 év	6 mAh	opció	FreeDOS		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera, Billentyűzet megvilágítás	új				
Samsung Ativ Book 8 NP870Z5E Notebook	287394 Ft	15.60 inch	FULL HD (1920x1080) LED	Intel® Core™ i7 processzor 3635QM	2400 - 3400 MHz	8192 MB	DDR3 1066MHz	1024 GB	5400 rpm	AMD Radeon HD 8870M	2048 MB	2.35 Kg	2 év	8 mAh	opció	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	SD, SDHC, SDXC, Memóriakártya-olvasó	376 x 249.9 x 20.9 mm	magyar	HD Webcamera	új				
Asus FHD LED UX31A-R4003H WIDI Notebook	310193 Ft		WUXGA (1920x1080) Full HD	Intel® Core™ i7 processzor 3517U	1900 - 3000 MHz	4096 MB	DDR3 1600MHz	256 GB		Intel HD Graphics 4000	- MB		1 év	4 mAh	-	Windows 8 Professional 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, HDMI, 2xUSB 3.0	SD, Memóriakártya-olvasó	325 x 223 x 3-18 mm mm	magyar	HD Webcamera	új				
Fujitsu Lifebook U772 Notebook	317075 Ft	14.00 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 3317U	1700 - 2400 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	Intel HD Graphics 4000	- MB	1.40 Kg	3 év	4 mAh	opció	Windows 7 Professional 64bit		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, HDMI, 2xUSB 3.0, Dock	SD, SDHC, SDXC	327 x 225 x 15.6 mm	magyar	Ujjlenyomat olvasó, Rázkodás elleni merevlemezvédele, SSD drive, Gyorsulásmérő, HD Webcamera	új		32 GB		
HP EliteBook 9470m Notebook	335425 Ft	14.00 inch	WXGA (1366x768)	Intel® Core™ i5 processzor 3437U	1900 MHz	8192 MB	DDR3 SDRAM	500 GB	5400 rpm	Intel HD Graphics 4000	- MB	1.61 Kg	3 év	4 mAh	opció	Windows 8 Professional 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, Dock, Bluetooth, Display Port	Memóriakártya-olvasó		magyar	Ujjlenyomat olvasó, Billentyűzet megvilágítás, Dokkoló, Webcamera	új				
Dell Latitude E6230 Notebook	367709 Ft	12.50 inch	HD WXGA (1366x768) LED	Intel® Core™ i7 processzor 3540M	3000 MHz	4096 MB	DDR3 1600MHz	256 GB		Intel HD Graphics 4000	- MB	1.60 Kg	3 év	6 mAh	opció	Windows 7 Professional		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, eSATA, 2xUSB 3.0, Dock, Firewire	Memóriakártya-olvasó		magyar	Billentyűzet megvilágítás, SSD drive, HD Webcamera	új				
Fujitsu Lifebook T902 Notebook	373890 Ft	13.30 inch	HD+ WUGA (1600x900) LED	Intel® Core™ i5 processzor 3320M	2600 - 3300 MHz	4096 MB	DDR3 1600MHz	500 GB	7200 rpm	Intel HD Graphics 4000	- MB	1.89 Kg	3 év	6 mAh	DVD-RW SuperMulti DL	Windows 7 Professional 64bit		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	HSDPA foglalat	2xUSB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0, Dock	Memóriakártya-olvasó	326 x 244 x 27.1 mm	magyar	Ujjlenyomat olvasó, SIM kártya adapter, Érintőképernyő, HD Webcamera	új				
Dell Tablet XPS 18 Notebook	410228 Ft	18.40 inch	WUXGA (1920x1080) Full HD	Intel® Core™ i7 processzor 3537U	3100 MHz	8096 MB	DDR3 SDRAM	500 GB	5400 rpm	Intel HD Graphics 4000	- MB	2.10 Kg	3 év	4200 mAh	-	Windows 8 64bit HUN		igen	WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, 2xUSB 3.0, USB 1.1		463,5 x 283,7 x 17,5 mm	angol	Érintőképernyő, Front Camera	új		32 GB		
Lenovo ThinkPad W530 Notebook	403909 Ft	15.60 inch	FULL HD (1920x1080) LED	Intel® Core™ i7 processzor 3820QM	2700 MHz	4096 MB	DDR3 1600MHz	500 GB	7200 rpm	NVIDIA® Quadro 1000M	- MB	2.70 Kg	3 év	6 mAh	DVD+-RW Dual Layer	Windows 7 Professional 64bit		igen	WLAN a/b/g/n, 10/100Mbps	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, Express Card, 2xUSB 3.0, Mini Display Port, Dock	Memóriakártya-olvasó		magyar	HD Webcamera, Ujjlenyomat olvasó, Billentyűzet megvilágítás	új				
Lenovo ThinkPad Helix 36983ZG Notebook	416528 Ft	11.60 inch	WUXGA (1920x1080) Full HD	Intel® Core™ i5 processzor 3317U	1700 MHz	4096 MB	DDR3 1600MHz			Intel® HD Graphics	- MB	1.60 Kg	3 év	4850 mAh	-	Windows 8 32bit	180 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth	micro SD, Memóriakártya-olvasó	296,1 x 226 x 20,4 mm	egyéb	Érintőképernyő, Front Camera, Back Camera	új				
HP EliteBook 2760P Notebook	419012 Ft	12.10 inch	WXGA (1280x800)	Intel® Core™ i5 processzor 2540M	2600 MHz	4096 MB	DDR3 1333MHz	128 GB		Intel® HD Graphics 3000	- MB	1.80 Kg	3 év	6 mAh	opció	Windows 7 Professional 64bit		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	HSDPA	3xUSB 2.0, VGA, Bluetooth, Express Card	SD, MMC	290 x 212 x 32.3 mm	magyar	Ujjlenyomat olvasó, Érintőképernyő, SSD drive, Dokkoló, HD Webcamera, Cseppálló billentyűzet	új				
Lenovo ThinkPad Helix 369845G Notebook	527551 Ft	11.60 inch	WUXGA (1920x1080) Full HD	Intel® Core™ i7 processzor 3667U	2000 MHz	8096 MB	DDR3 1600MHz			Intel® HD Graphics	- MB	1.60 Kg	3 év	4850 mAh	-	Windows 8 32bit	256 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth	micro SD, Memóriakártya-olvasó	296,1 x 226 x 20,4 mm	egyéb	Érintőképernyő, Front Camera, Back Camera	új				
