TermékNév	Ár	TFT Méret	TFT Típus	TFT Felb.	CPU	RAM	RAM Típus	HDD	GPU	Súly	Gar.	Akku	ODD	OS	LAN	WLAN	Modem	USB	USB 3	FP	CR	BT	FW	Audio	Kamera	TV in	VGA ki	Portok	HSDPA	Szín	Dokk	Szoftverek	Tartozék	Backlit KB	Info	Mely típushoz	Méret	Foglalat típusa	Kiszerelés	Magszám	Valós frekvencia	Szorzó	Cache	L1 Cache	L2 Cache	L3 Cache	FSB	Egyéb képességek	FDD	Busz
DELL NB Inspiron 5520 15.6" 1366x768, Intel Core i5-3210M 2.5GHz, 4GB, 1TB, DVD-RW, Radeon 7670, Linux, 6cell, ezüst	146848 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	1000	AMD Radeon HD 7670M	2,9	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított szervizgara	6 cella	DVD-RW +/-	Linux	10/100/1000	802.11b/g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Kék	USB porton	Nincs rajta Numpad	CSERÉLHETŐ FEDLAPOS	Nem	http																
DELL NB Inspiron 5520 15.6" 1366x768, Intel Core i5-3210M 2.5GHz, 4GB, 1TB, DVD-RW, Radeon 7670, Linux, 6cell, fehér	146848 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	1000	AMD Radeon HD 7670M	2,9	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított szervizgara	6 cella	DVD-RW +/-	Linux	10/100/1000	802.11b/g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Kék	USB porton	Nincs rajta Numpad	CSERÉLHETŐ FEDLAPOS	Nem	http																
DELL NB XPS L702x 17.3" HD+ TL, Intel Core i5-2450M 2.50GHz 4GB 750GB DVD-RW, GeForce GT 550M, Win 7 HPrem 64bit, 9cell, Ezüst	237016 Ft	17,3	Fényes	1600 x 900 (WUGA) 16	Intel Core i5	4096	DDRIII	750	nVIDIA GeForce GT 550	3,53	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított helyszíni g	9 cella	DVD-RW +/-	MS W. 7 Home Premium 64bit HU	10/100/1000	802.11b/g/n	Nem	2	2	Nem	Igen	3.0		Igen	2	Nem	HDMI + Mini-Display Port	eSATA	Nincs	Ezüst	USB porton		Creative Soundblaster X-FI MB 1.2	Nem	http																
TOSHIBA NB Tecra R850-17C, 15.6" 1366x768, Intel Core i5-2520M 2.5GHz, 4GB, 500GB, Radeon HD 6450M, DVD-RW DL, Win7 Prof, 6 cell, -	239200 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	500	AMD Radeon Integrated Graphics	2,49	2 év szervizben	6 cella	DVD-RW	MS W. 7 Professional 64bit HU	10/100/1000	802.11b/g/n		3	1		Igen	3.0		Igen	1		HDMI	n.a.	n.a.	Ezüst-fekete		n.a.	n.a.	n.a.	http																
TOSHIBA NB Satellite U840-113, 14.0" 1366x768, Intel Core i3-2377M 1.5GHz, 4GB, 500GB, Intel GMA HD, DVD-RW DL, Win7 Hprem, 6 cell, Ezüst	182312 Ft	14	Fényes	1366 x 768 (WXGA) 16	Intel Core i3	4096	DDRIII	500	Intel GMA HD	1,58	2 év szervizben	6 cella	DVD-RW	MS W. 7 Home Premium 64bit HU	10/100/1000	802.11b/g/n		2	1		Igen	4.0		Igen	1		HDMI	n.a.	n.a.	Ezüst		n.a.	n.a.	Igen	http																
TOSHIBA NB Satellite U840W-108, 14.4" 1366x768, Intel Core i5-3317U 1.7GHz, 4GB, 320GB, Intel GMA HD, DVD-RW DL, Win7 Hprem, 6 cell, Ezüst	234520 Ft	14,4	Fényes	1920 x 1200 (WUXGA) 16	Intel Core i5	4096	DDRIII	352	Intel GMA HD	1,68	2 év szervizben	6 cella	DVD-RW	MS W. 7 Home Premium 64bit HU	10/100/1000	802.11b/g/n			3		Igen	4.0		Igen			HDMI	n.a.	n.a.	Ezüst-fekete		n.a.	n.a.	Igen	http																
TOSHIBA NB Qosmio X870-11J, 17.3" 1366x768, Intel Core i7-3610QM 2.3GHz, 12GB, 2x750GB Hybrid, nV GF GTX 670M, BRAY DRIVE, Win7 Hprem, 6 cell, Ezüst	459576 Ft	17,3	Fényes	1920 x 1080 (HD1080) 16	Intel Core i7	12288	DDRIII	1500	nVIDIA GeForce GTX 675M	3,6	3 év szervizben	6 cella	BLU-RAY DRIVE	MS W. 7 Home Premium 64bit HU	10/100/1000	802.11a/b/g/n		2	2		Igen	4.0		Igen	1		HDMI	n.a.	n.a.	n.a.		n.a.	n.a.	Igen	http																
LENOVO NB IdeaPad Z585A, A6-4400M, 15.6" HD, AMD Radeon? Dual HD 7670M 2G, 4GB, 1TB, DVDąRW, DOS, Metál szürke, 6 Cell	136448 Ft	15,6	n.a.	1360 x 768 (WXGA) HD Ready	AMD Trinity	4096	DDRIII	1000	AMD Radeon HD 7670M		2 év szervizben	6 cella	DVD-RW +/-	DOS	10/100	802.11g/n	Nem	4		Nem	Igen	2.1			1		HDMI	n.a.	n.a.	n.a.		n.a.	n.a.	n.a.	http																
DELL NB Inspiron 5520 15.6" 1366x768, Intel Core i7-3632 2.2GHz, 6GB, 1TB, DVD-RW, Intel HD, Linux, 6cell, Piros	164528 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i7	6144	DDRIII	1000	Intel HD Graphics 4000	2,9	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított szervizgara	6 cella	DVD-RW +/-	Linux	10/100/1000	802.11b/g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Piros	USB porton	Nincs rajta Numpad	CSERÉLHETŐ FEDLAPOS	Nem	http																
DELL NB Inspiron 5720 17.3" HD+, Intel Core i3-3110M 2.30GHz 4GB, 500GB, DVD-RW, Intel HD 4000, Linux, 6cell, Ezüst	132392 Ft	17,3	Fényes	1600 x 900 (WUGA) 16	Intel Core i3	4096	DDRIII	500	Intel HD Graphics 4000	3,28	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított szervizgara	6 cella	DVD-RW +/-	Ubuntu Linux	10/100	802.11b/g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Ezüst	USB porton			Nem	http																
DELL NB Inspiron 3520 15.6" HD, Intel Core i3-2370 2.40GHz, 4GB, 750GB, DVD-RW, Intel HD 3000, Linux, 6cell, Fekete	109096 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i3	4096	DDRIII	750	Intel HD Graphics 3000	2,37	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított szervizgara	6 cella	DVD-RW +/-	Ubuntu Linux	10/100	802.11b/g/n	Nem	3		Nem	3-1	3.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Fekete	USB porton			Nem	http																
ACER NB V3-571G-736b8G1TMakk_Lin 15.6" WXGA Core i7 3630QM (2,4-3,4 GHz, 6 MB), 8GB, 1TB HDD, nvidia GT640M-2Gb, DVD-RW, BT 4.0, Linux, 6cell, Fényes Fekete	201448 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i7	8192	DDRIII	1000	nVIDIA GeForce GT 640M	2,4	2 év el- és visszaszállításos garancia	6 cella	DVD-RW SUPERMULTI DL	Linux	10/100/1000	802.11a/b/g/n	Nem	2	1	Nem	5-1	4.0		Igen	1,3	Nem	D-Sub + HDMI	n.a.	Nincs	Szürke	USB porton			Nem	http																
