TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	ODD	Gar.	Akku	OS	Család	Modell	Szín	LAN	USB	WLAN	Bill.	Touchpad	Állapot	Bill. Num	Kamera	Portok	BT	CR	HDMI	Külső táskaméret	eSata	FP	ExpressCard	3G kártyahely	Dokk	RS232	FW	Modem	Távirányító	TV ki	PCMCIA	LPT
Dell Inspiron N5110 Black i5 M NV 3914579 Win7	157402 Ft	15.6ʺ HD LED TL (1366x768)	Core i5 2450M (2500)	4096 (DDR3) MB	500 GB	1024 MB NVIDIA GF GT 525M	DVDRW SM	3 év	6 cellás	Windows7 HomePrem 64 HUN	Inspiron		fekete	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	4 in 1	van		van												
Lenovo IdeaPad S300 Silver 59-350170 W7	157402 Ft	13.3ʺ HD LED (1366x768)	Core i5 3317U (1700)	4096 (DDR3) MB	500 + 24 SSD GB	Intel HD Graphics 4000	nincs optikai meghajtó	2 év	2200 mAh (Li-ion)	Windows7 HomePrem 64 HUN	IdeaPad	IdeaPad S	ezüst	10/100	1x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új		van		van	2 in 1	van														
Lenovo. IdeaPad Z580G White 59-348042 FD	157402 Ft	15.6ʺ HD LED (1366x768)	Core i5 3210M (2500)	8192 (DDR3) MB	1000 GB	2048 MB NVIDIA GF GT630M	DVDRW SM	2 év	6 cellás	nincs (F)	IdeaPad		fehér	10/100	2x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	van	van														
Dell Inspiron 5520 White i7 S LX 3014616	157402 Ft	15.6ʺ HD LED (1366x768)	Core i7 3632QM (2200)	6144 (DDR3) MB	750 GB	Intel HD Graphics 4000	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		fehér	10/100	4 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	4.0	8 in 1	van														
Samsung NP350V5C-S02HU Silver W7	157402 Ft	15.6ʺ HD LED (1366x768)	Core i5 3210M (2500)	6144 (DDR3) MB	750 GB	1024 MB AMD Radeon HD 7670M	DVDRW SM	2 év	4400 mAh (Li-ion)	Windows7 HomePrem 64 HUN	Samsung	Samsung N	ezüst	10/100/1000	2x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	4.0	SD card	van														
Samsung NP300E5C-S01HU Silver Blue W7	157402 Ft	15.6ʺ HD LED (1366x768)	Core i5 3210M (2500)	6144 (DDR3) MB	1000 GB	1024 MB NVIDIA GF 610M	DVDRW SM	2 év	4400 mAh (Li-ion)	Windows7 HomePrem 64 HUN	Samsung	Samsung N	kék	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	4.0	SD card	van														
Dell. Inspiron 5720 i3 Silver LX 3014324	159764 Ft	17.3ʺ LED HD+ TL (1600x900)	Core i3 2370M (2400)	4096 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		ezüst	10/100	4 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	4.0	8 in 1	van														
Packard Bell EasyNote LS11HR-465HG W7	160622 Ft	17.3ʺ HD+ (1600x900)	Core i5 2430M (2400)	4096 (DDR3) MB	640 GB	1024 MB AMD Radeon HD 6650	DVDRW SM	1 év	4400 mAh (Li-ion)	Windows7 HomePrem 64 HUN			fekete	10/100/1000	1x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	3.0	5 in 1	van														
Dell Vostro 3560 Red i3 LX 3214222	161339 Ft	15.6ʺ HD LED anti-glare	Core i3 2370M (2400)	4096 (DDR3) MB	500 (7200 rpm) GB	Intel HD Graphics 3000	DVDRW +/-	3 év	6 cellás	nincs (L)	Vostro	Vostro 35xx	piros	10/100/1000	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	4.0	8 in 1	van														
Dell Vostro 3460 Coffee i3 LX 3414199	161339 Ft	14ʺ HD LED AntiGlare	Core i3 2370M (2400)	4096 (DDR3) MB	500 (7200 rpm) GB	1024 MB NVIDIA GF GT630M	DVDRW +/-	3 év	6 cellás	nincs (L)	Vostro		barna	10/100/1000	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	4.0	8 in 1	van			van											
Dell Vostro 3560 Coffee i3 LX 3414236	161339 Ft	15.6ʺ HD LED anti-glare	Core i3 2370M (2400)	4096 (DDR3) MB	500 (7200 rpm) GB	Intel HD Graphics 3000	DVDRW +/-	3 év	6 cellás	nincs (L)	Vostro	Vostro 35xx	barna	10/100/1000	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	4.0	8 in 1	van			nincs											
Dell Vostro 3460 Red i3 LX 3514199	161339 Ft	14ʺ HD LED AntiGlare	Core i3 2370M (2400)	4096 (DDR3) MB	500 (7200 rpm) GB	1024 MB NVIDIA GF GT630M	DVDRW +/-	3 év	6 cellás	nincs (L)	Vostro		piros	10/100/1000	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	4.0	8 in 1	van			van											
Dell Vostro 3460 Silver i3 LX 3314199	161339 Ft	14ʺ HD LED AntiGlare	Core i3 2370M (2400)	4096 (DDR3) MB	500 (7200 rpm) GB	1024 MB NVIDIA GF GT630M	DVDRW +/-	3 év	6 cellás	nincs (L)	Vostro		ezüst	10/100/1000	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	4.0	8 in 1	van			van											
Lenovo IdeaPad V570A Silver 59-070644 W7	161339 Ft	15.6ʺ HD LED (1366x768)	Core i3 2310M (2100)	4096 (DDR3) MB	500 GB	1024 MB NVIDIA GF GT 525M	DVDRW SM	2 év	6 cellás	Windows7 Prof 64Bit HUN	IdeaPad	IdeaPad V	ezüst	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	6 in 1	van		e-SATA/USB	van											
Dell Latitude E5520 i3 Metal Grey 3814177	162126 Ft	15.6ʺ HD LED (1366x768)	Core i3 2350M (2300)	2048 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW +/-	3 év	6 cellás	nincs (F)	Latitude	Latitude E55xx	szürke	10/100/1000	3 db	b/g/n 300mbps	magyar	Track point + Touch pad	Új	van	van	VGA	3.0	SD card	van		e-SATA/USB	van	van		van		van						
Lenovo IdeaPad UltraBook U310 Pink 59-336503 W7	163701 Ft	13.3ʺ HD LED (1366x768)	Core i3 2367M (1400)	4096 (DDR3) MB	320 GB	Intel HD Graphics	nincs optikai meghajtó	2 év	3 cellás (extended)	Windows7 HomePrem 64 HUN	IdeaPad	IdeaPad U	rózsaszín	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új		van		3.0	2 in 1	van														
Dell Vostro 3360 Silver i5 LX 3414198	164488 Ft	13.3ʺ HD LED AntiGlare	Core i5 3317U (1700)	4096 (DDR3) MB	320 (7200) GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év	4 cellás	nincs (L)	Vostro	Vostro 33xx	ezüst	10/100/1000	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	4.0	8 in 1	van			van											
Dell Vostro 3360 Red i5 LX 3614198	164488 Ft	13.3ʺ HD LED AntiGlare	Core i5 3317U (1700)	4096 (DDR3) MB	320 (7200) GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év	4 cellás	nincs (L)	Vostro	Vostro 33xx	piros	10/100/1000	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	4.0	8 in 1	van			van											
Dell Vostro 3360 Coffee i5 LX 3514198	164488 Ft	13.3ʺ HD LED AntiGlare	Core i5 3317U (1700)	4096 (DDR3) MB	320 (7200) GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év	4 cellás	nincs (L)	Vostro	Vostro 33xx	barna	10/100/1000	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	4.0	8 in 1	van			van											
Dell Inspiron N5110 Black i5 M NV 3914579 8GB Win7	165276 Ft	15.6ʺ HD LED TL (1366x768)	Core i5 2450M (2500)	8192 (DDR3) MB	500 GB	1024 MB NVIDIA GF GT 525M	DVDRW SM	3 év	6 cellás	Windows7 HomePrem 64 HUN	Inspiron		fekete	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	4 in 1	van		van												
Dell. Inspiron 5520 White i3 S RD LX 3914179	165276 Ft	15.6ʺ HD LED (1366x768)	Core i3 2370M (2400)	4096 (DDR3) MB	500 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		fehér	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Dell. Inspiron 5520 Pink i3 S RD LX 3214174	165276 Ft	15.6ʺ HD LED (1366x768)	Core i3 2370M (2400)	4096 (DDR3) MB	500 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		rózsaszín	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Dell. Inspiron 5520 Red i3 S RD LX 3914173	165276 Ft	15.6ʺ HD LED (1366x768)	Core i3 2370M (2400)	4096 (DDR3) MB	500 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		piros	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Fujitsu Lifebook UH552-SH Silver NoOs	165276 Ft	13.3ʺ HD LED AntiGlare	Core i5 3317U (1700)	4096 (DDR3) MB	500 GB	Intel HD Graphics	nincs optikai meghajtó	2 év	4 cellás	nincs op. rsz.	Lifebook		ezüst		2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új		van		4.0	4 in 1	van					Előkészítés modem nélkül									
Dell. Inspiron 5520 Orange i3 S RD LX 3414174	165276 Ft	15.6ʺ HD LED (1366x768)	Core i3 2370M (2400)	4096 (DDR3) MB	500 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		narancssárga	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Dell. Inspiron 5520 Blue i3 S RD LX 3014174	165276 Ft	15.6ʺ HD LED (1366x768)	Core i3 2370M (2400)	4096 (DDR3) MB	500 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		kék	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Lenovo IdeaPad U410 Red 59-336506 W7	165276 Ft	14ʺ HD LED (1366x768)	Intel Core i3-2367M	4096 (DDR3) MB	750 GB	1024 MB NVIDIA GF 610M	nincs optikai meghajtó	2 év	4 cellás	Windows7 HomePrem 64 HUN	IdeaPad	IdeaPad U	piros	10/100	2x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új		van		3.0	2 in 1	van														
Dell. Inspiron 5520 Silver i3 S RD LX 3114167	165276 Ft	15.6ʺ HD LED (1366x768)	Core i3 2370M (2400)	4096 (DDR3) MB	500 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		ezüst	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
ThinkPad Edge E530 NZQA5HV	165276 Ft	15.6ʺ HD LED TL (1366x768)	Core i5 2520M (2500)	4096 (DDR3) MB	750 GB	1024 MB NVIDIA GF 610M	DVDRW +/-	1 év	6 cellás	nincs op. rsz.	ThinkPad	ThinkPad Edge	szürke	10/100/1000	3x3.0.1x2.0	b/g/n 300mbps	magyar	Track point + Touch pad	Új	nincs	van	VGA	4.0	4 in 1	van			van											
Sony Vaio VPCCA4S1E/D Orange W7	165346 Ft	14ʺ WXGA (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	640 GB	512 MB AMD Radeon HD 6470M	DVDRW SM	2 év	5300mAh (Li-ion)	Windows7 HomePrem 64 HUN	VAIO		narancssárga	10/100/1000	3x2.0.1x3.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	4 in 1	van														
Sony Vaio VPCCA4S1E/G Green W7	165346 Ft	14ʺ WXGA (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	640 GB	512 MB AMD Radeon HD 6470M	DVDRW SM	2 év	5300mAh (Li-ion)	Windows7 HomePrem 64 HUN	VAIO		zöld	10/100/1000	3x2.0.1x3.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	4 in 1	van														
Toshiba Satellite L855-12V Silver NoOs	166063 Ft	15.6ʺ HD LED (1366x768)	Core i7 3610QM (2300)	4096 (DDR3) MB	640 GB	2048 MB AMD Radeon HD 7670M	DVDRW SM	2 év	4200 mAh (Li-ion)	nincs op. rsz.	Satellite	Satellite L	ezüst	10/100/1000	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	4.0	SD card	van														
Dell. Vostro 3560 Red i5 LX 3814236	167638 Ft	15.6ʺ HD LED anti-glare	Core i5 3210M (2500)	4096 (DDR3) MB	500 (7200 rpm) GB	Intel HD Graphics 4000	DVDRW +/-	3 év	6 cellás	nincs (L)	Vostro	Vostro 35xx	piros	10/100/1000	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	4.0	8 in 1	van			van											
Dell Vostro 3560 Silver i5 LX 3714236	167638 Ft	15.6ʺ HD LED anti-glare	Core i5 3210M (2500)	4096 (DDR3) MB	500 (7200 rpm) GB	Intel HD Graphics 4000	DVDRW +/-	3 év	6 cellás	nincs (L)	Vostro	Vostro 35xx	ezüst	10/100/1000	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	4.0	8 in 1	van														
Dell Vostro 3560 Coffee i5 LX 3414226	167638 Ft	15.6ʺ HD LED anti-glare	Core i5 3210M (2500)	4096 (DDR3) MB	500 (7200 rpm) GB	Intel HD Graphics 4000	DVDRW +/-	3 év	6 cellás	nincs (L)	Vostro	Vostro 35xx	barna	10/100/1000	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	4.0	8 in 1	van														
Dell. Inspiron 5520 Blue M RD LX 3214180	169213 Ft	15.6ʺ HD LED (1366x768)	Core i3 2370M (2400)	4096 (DDR3) MB	1000 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		kék	10/100	4 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Dell. Inspiron 5520 White M RD LX 3314180	169213 Ft	15.6ʺ HD LED (1366x768)	Core i3 2370M (2400)	4096 (DDR3) MB	1000 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		fehér	10/100	4 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Fujitsu LifeBook AH552-R5 Red NoOs 2Y	169213 Ft	15.6ʺ HD LED (1366x768)	Core i5 3210M (2500)	4096 (DDR3) MB	500 (7200 rpm) GB	Intel HD Graphics	DVDRW SM	2 év	8 cellás	nincs op. rsz.	Lifebook	Lifebook AH	piros	10/100/1000	3x2.0.1x3.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	3 in 1	van														
Dell. Inspiron 5520 Red M RD LX 3114180	169213 Ft	15.6ʺ HD LED (1366x768)	Core i3 2370M (2400)	4096 (DDR3) MB	1000 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		piros	10/100	4 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Fujitsu LifeBook AH552-B5 Black NoOs 2Y	169213 Ft	15.6ʺ HD LED (1366x768)	Core i5 3210M (2500)	4096 (DDR3) MB	500 (7200 rpm) GB	Intel HD Graphics	DVDRW SM	2 év	8 cellás	nincs op. rsz.	Lifebook	Lifebook AH	fekete	10/100/1000	3x2.0.1x3.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	3 in 1	van														
Lenovo IdeaPad Z570Am 59-310375 Grey W7	169900 Ft	15.6ʺ HD LED (1366x768)	Core i5 2430M (2400)	4096 (DDR3) MB	750 GB	2048 MB NVIDIA GF GT540M	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN	IdeaPad		szürke	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	5 in 1	van		e-SATA/USB												
Dell. Inspiron 5720 i5 Silver LX 3114324	171575 Ft	17.3ʺ LED HD+ TL (1600x900)	Core i5 3210M (2500)	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		ezüst	10/100	4 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	4.0	8 in 1	van														
Fujitsu Lifebook UH552-SH Silver NoOs 8GB	173150 Ft	13.3ʺ HD LED AntiGlare	Core i5 3317U (1700)	8192 (DDR3) MB	500 GB	Intel HD Graphics	nincs optikai meghajtó	2 év	4 cellás	nincs op. rsz.	Lifebook		ezüst		2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új		van		4.0	4 in 1	van					Előkészítés modem nélkül									
Dell. Inspiron 5520 Silver i3 M RD LX 3514174	173150 Ft	15.6ʺ HD LED (1366x768)	Core i3 2370M (2400)	4096 (DDR3) MB	1000 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		ezüst	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Samsung NP530U3C-A01HU Brown W7	173150 Ft	13.3ʺ HD LED (1366x768)	Core i3 2377M (1500)	4096 (DDR3) MB	500 + 24 SSD GB	Intel HD Graphics 4000	No ODD	2 év	4 cellás	Windows7 HomePrem 64 HUN	Samsung	Samsung N	barna	10/100/1000	1x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	4.0	SD card	van														
Dell. Inspiron 5520 White i3 M RD LX 3714174	173150 Ft	15.6ʺ HD LED (1366x768)	Core i3 2370M (2400)	4096 (DDR3) MB	1000 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		fehér	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Dell. Inspiron 5520 Red i3 M RD LX 3614179	173150 Ft	15.6ʺ HD LED (1366x768)	Core i3 2370M (2400)	4096 (DDR3) MB	1000 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		piros	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Toshiba Satellite L855-12V Silver NoOs 8GB	173937 Ft	15.6ʺ HD LED (1366x768)	Core i7 3610QM (2300)	8192 (DDR3) MB	640 GB	2048 MB AMD Radeon HD 7670M	DVDRW SM	2 év	4200 mAh (Li-ion)	nincs op. rsz.	Satellite	Satellite L	ezüst	10/100/1000	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	4.0	SD card	van														
Dell Vostro 3560 Red i5 RD LX 3514222	175512 Ft	15.6ʺ HD LED anti-glare	Core i5 3210M (2500)	4096 (DDR3) MB	500 (7200 rpm) GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)	Vostro	Vostro 35xx	piros	10/100/1000	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	4.0	8 in 1	van														
Dell Vostro 3560 Silver i5 RD LX 3314226	175512 Ft	15.6ʺ HD LED anti-glare	Core i5 3210M (2500)	4096 (DDR3) MB	500 (7200 rpm) GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)	Vostro	Vostro 35xx	ezüst	10/100/1000	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	4.0	8 in 1	van														
Fujitsu LifeBook AH552-B5 Black NoOs 2Y 8GB	177087 Ft	15.6ʺ HD LED (1366x768)	Core i5 3210M (2500)	8192 (DDR3) MB	500 (7200 rpm) GB	Intel HD Graphics	DVDRW SM	2 év	8 cellás	nincs op. rsz.	Lifebook	Lifebook AH	fekete	10/100/1000	3x2.0.1x3.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	3 in 1	van														
HP ProBook 4530s Silver B0X69EA_TC W7	177087 Ft	15.6ʺ HD LED (1366x768)	Core i5 2450M (2500)	8192 (DDR3) MB	750 GB	1024 MB AMD Radeon HD 6490M	DVDRW +/-	3 év	6 cellás	Windows7 HomePrem 64 HUN	ProBook	ProBook	ezüst	10/100/1000	3x2.0.1x3.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	3.0	4 in 1	van	Ajándék táska		van	van										
Fujitsu LifeBook AH552-R5 Red NoOs 2Y 8GB	177087 Ft	15.6ʺ HD LED (1366x768)	Core i5 3210M (2500)	8192 (DDR3) MB	500 (7200 rpm) GB	Intel HD Graphics	DVDRW SM	2 év	8 cellás	nincs op. rsz.	Lifebook	Lifebook AH	piros	10/100/1000	3x2.0.1x3.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	3 in 1	van														
Dell Inspiron 5520 Silver i7/750 RD LX	177874 Ft	15.6ʺ HD LED (1366x768)	Core i7 3632QM (2200)	8192 (DDR3) MB	750 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)			ezüst	10/100	4 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Dell Vostro 3460 Coffee i5 LX 3714199	179449 Ft	14ʺ HD LED AntiGlare	Core i5 3210M (2500)	4096 (DDR3) MB	500 (7200 rpm) GB	Intel HD Graphics 4000	DVDRW +/-	3 év	6 cellás	nincs (L)	Vostro		barna	10/100/1000	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	4.0	8 in 1	van			van											
Dell Vostro 3460 Red i5 LX 3814199	179449 Ft	14ʺ HD LED AntiGlare	Core i5 3210M (2500)	4096 (DDR3) MB	500 (7200 rpm) GB	Intel HD Graphics 4000	DVDRW +/-	3 év	6 cellás	nincs (L)	Vostro		piros	10/100/1000	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	4.0	8 in 1	van			van											
Dell Inspiron 7520 i7 S TL 3814618 3Y	181024 Ft	15.6ʺ HD LED TL (1366x768)	Core i7 3612QM (2100)	6144 (DDR3) MB	1000 GB	2048 MB AMD Radeon HD 7730M	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		fekete	10/100/1000	4 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	4.0	8 in 1	van														
Dell Vostro 3560 Red i5 F LX 3414222	181024 Ft	15.6ʺ Full HD LED AntiGlare	Core i5 3210M (2500)	4096 (DDR3) MB	500 (7200 rpm) GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)	Vostro	Vostro 35xx	piros	10/100/1000	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	4.0	8 in 1	van														
Dell Vostro 3560 Silver i5 F LX 3514236	181024 Ft	15.6ʺ Full HD LED AntiGlare	Core i5 3210M (2500)	4096 (DDR3) MB	500 (7200 rpm) GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)	Vostro	Vostro 35xx	ezüst	10/100/1000	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	4.0	8 in 1	van														
ThinkPad Edge E220S NWE2BHV FD D	181024 Ft	12.5ʺ HD LED	Core i5 2537M (1400)	2048 (DDR3) MB	320 GB	Intel HD Graphics	nincs optikai meghajtó	1 év	8 cellás	nincs (F)	ThinkPad	ThinkPad Edge	fekete	10/100/1000	2 db	b/g/n 300mbps	magyar	Track point + Touch pad	Új		van	VGA	van	4 in 1	van		e-SATA/USB	van											
Lenovo IdeaPad Z580 59-348003 NV W7	181024 Ft	15.6ʺ HD (1366x768)	Core i5 3210M (2500)	4096 (DDR3) MB	1000 GB	2048 MB NVIDIA GF GT630M	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN	IdeaPad		ezüstszürke	10/100	2x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	4.0	5 in 1	van														
Dell Vostro 3560 Coffee i5 F LX 3214226	181024 Ft	15.6ʺ Full HD LED AntiGlare	Core i5 3210M (2500)	4096 (DDR3) MB	500 (7200 rpm) GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)	Vostro	Vostro 35xx	barna	10/100/1000	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	4.0	8 in 1	van														
Dell Latitude E5520 i5 S FD Metal Grey 3713813	181024 Ft	15.6ʺ HD LED (1366x768)	Core i5 2430M (2400)	4096 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW +/-	3 év	6 cellás	nincs (F)	Latitude	Latitude E55xx	szürke	10/100/1000	3 db	b/g/n 300mbps	magyar	Track point + Touch pad	Új	van	van	VGA	3.0	SD card	van		e-SATA/USB	van	van		van		van						
Dell Vostro 3350 i3 Coffee 3513829 W7	181024 Ft	13.3ʺ HD (1366x768)	Core i3 2350M (2300)	2048 (DDR3) MB	500 (7200 rpm) GB	Intel HD Graphics	DVDRW SM	3 év	4 cellás	Windows7 HomePrem 64 HUN	Vostro	Vostro 33xx	barna	10/100/1000	2 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	3 in 1	van		van	van											
Sony Vaio SVE14A1S1EB Black W7	181094 Ft	14ʺ HD LED (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	500 GB	1024 MB AMD Radeon HD 7670M	DVDRW SM	2 év	5300mAh (Li-ion)	Windows7 HomePrem 64 HUN	VAIO	VAIO E	fekete	10/100/1000	2x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	4.0	3 in 1	van														
Dell. Inspiron 5520 White i7 N RD LX 3214426	183386 Ft	15.6ʺ HD LED (1366x768)	Core i7 3612QM (2100)	8192 (DDR3) MB	1000 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		fehér	10/100	4 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	nincs	van	VGA	4.0	8 in 1	van														
Dell. Inspiron 7720 Silver i5 AG 3114618	183386 Ft	17.3ʺ Full HD WLED AG	Core i5 3210M (2500)	4096 (DDR3) MB	750 GB	2048 MB NVIDIA GF GT650M	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		ezüst	10/100	4 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	4.0	8 in 1	van														
