TermékNév	Ár	TFT	CPU	RAM	HDD	HDD +	GPU	Súly	Gar.	Akku	ODD	OS	LAN	Portok	Kamera	Audio	Egyéb	Szín
Toshiba Satellite C855-12J Notebook	127900 Ft	15,6" HD LED, 1366x768, 16:9	Intel DualCore, B960 2.2GHz / 2MB L3 cache	4 GB, DDR3 1066MHz		500 GB, SATA-2	ATI Radeon HD 7610M 1GB DDR3	2,3Kg, 380.0 x 242.0 x 33.52 mm	2 év garancia	Lithium-ion, 4,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Lenovo ThinkPad EDGE E530(NZQ5SHV) Notebook	127900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2370M 2,4GHz /3MB Cache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	Intel Graphics 3000 HD	2,5 kg, 377 x 245mm x 29.5-35.3mm	1 év garancia	6 cella, 8 óra átlagos üzemidő, 62.4WHr	DVD +/- RW, Dual Layer	FreeDos	10/100/1000, Intel WiFi Link 2x2 BGN	3 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, HDMI out	Camera 2.0 Mp				
Asus Asus Eee Pad Transformer Prime TF201 64GB Tablet	128900 Ft	10,1 képátló, 1280x800	NVIDIA® Tegra™ 3 Quad Core	1GB RAM	64GB		nVidia ULP GeForce	1,2 Kg	2 év (1 év az akkura és töltőre)	2 cellás, 3800 mAh, 9 óra		Android 3.2 Honeycomb	802.11b, g, n, Bluetooth 2.1	mini HDMI 1.3, 2-in-1 audio aljzat (fejhallgató/mikrofonbemenet), Micro SD	1.2Mpixel elöl / 8Mpixel hátul + vaku	sztereó hangszóró, mikrofon		Lila	
Lenovo Ideapad G580 (59-346857) Notebook	128900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	2,6 kg, 376x245x34.3	2 év garancia	6 cella, 5 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, 2 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Fujitsu Lifebook LH532 (VFY:LH532MF015HU/KIT) Notebook	128900 Ft	14.0", 1366x768, 16:9	Intel Core i3, -2370M 2,4GHz, 3MB Cache	4 GB, DDR3 1600MHz		320 GB, SATA-2	Intel GMA HD	2 kg, 335 x 240 x 33.5 mm	2 év garancia	6 cella, 6,5 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi		10/100/1000, 802.11.b/g/n WLAN	3 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, express card 34 mm, HDMI out	HD Webkamera				
Samsung NP300E5A-S01HU Notebook	129900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2310M 2.10 GHz / 3MB Cache	4 GB, DDR3 1066MHz		500 GB, SATA-2	Nvidia GeForce GT520MX 512MB GDDR3	2,4 kg, 367.9 x 243 x 27.6 ~ 33.2mm	2 év garancia	6 cella, 4400 mAh	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 3.0 High Speed , 4 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Lenovo ideaPad Z580G (59-334233) Notebook	129900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2350M 2.3GHz / 3MB SmartCache	4 GB, DDR3 1066MHz		500 GB, SATA-2	Intel GMA HD	2,6 kg, 376.8mm x249.8mm x17.3~34.9 mm	2 év garancia	6 cella, 3,5 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Dual Layer	FreeDos	10/100, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 4.0 (low energy), 5 in 1 kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Toshiba Satellite C870-168 Notebook	129900 Ft	17,3", 1600*900, 16:9	Intel DualCore, B950 - 2,1GHz / 2MB L2 Cache	4 GB, DDR3 1333MHz		500 GB, SATA-2	ATI Radeon HD 7610M 1GB DDR3	2,3Kg, 380.0 x 242.0 x 33.52 mm	2 év garancia	Lithium-ion, 4,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer		10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 5520 (5520_141795) Notebook	132900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2370M 2,4GHz, 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel Graphics 3000 HD	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer		10/100, 802.11.b/g/n WLAN	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD		eSATA		
Dell Inspiron 5520 (DI5520A-2370M-4GH50D6MS) Notebook	132900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2370M 2,4GHz, 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	ATI Radeon HD 7670M 1GB DDR3	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Fujitsu Lifebook A532-M (VFY:A5320MPAA5HU) Notebook	133900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		320 GB, SATA-2	Intel GMA HD	2,4 kg, 378 x 252 x 34.2 mm	2 év garancia	6 cella, 6,5 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi		10/100/1000, 802.11.b/g/n WLAN	3 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, express card 34 mm, HDMI out	HD Webkamera				
Dell Inspiron N5110 (INSPN5110-53) Notebook	134900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2350M 2.3GHz / 3MB SmartCache	2 GB, DDR3 1333MHz		500 GB, SATA-2	Intel Graphics 3000 HD	2,4 kg, 376,0 mm x 260,2 mm x (29,7 mm)/ hátul (33,8 mm)	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100, Intel WiFi 1030	2x USB 3.0 - 2x USB 2.0, Bluetooth 3.0 High Speed , 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD		eSATA		
Dell Latitude E5520 (E5520-45) Notebook	134900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, B840 1.90GHz / 2MB L3 Cache / 35W	2 GB, DDR3 1333MHz		320 GB, SATA-2	Intel Graphics 3000 HD	2,3Kg, 388 mm x 251 mm x 30,2 mm elöl / 33,2 mm hátul	3 év garancia	4 cella, 4000 mAh	DVD +/- RW, Dual Layer	FreeDos	10/100/1000, Intel Centrino Advanced-N 6205	4 db USB 2.0 port, Bluetooth 3.0 High Speed , 3 in 1 kártyaolvasó, IEEE1394 firewire , DSUB, Dokkolható, ExpressCard, HDMI out	HD-minőségű webkamera (1280x800)		eSATA		
Samsung NP300E5C-S03HU Notebook	134900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2370M 2,4GHz, 3MB Cache	4 GB, DDR3 1333MHz		750GB, SATA-2	Nvidia Geforce GT 610M 1GB	2,3Kg, 367.9 x 243 x 27.6 ~ 33.2mm	2 év garancia	6 cella, 4800 mAh	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Toshiba Satellite L850-11D Notebook	135900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2350M 2.3GHz / 3MB SmartCache	4 GB, DDR3 1333MHz		640 GB, SATA-2	ATI Radeon HD 7670M 1GB DDR3	2,3Kg, 380.0 x 242.0 x 33.52 mm	2 év garancia	6 cella, 4,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 5720 (DI5720I-2370M-4GH50D6MS) Notebook	136900 Ft	17,3", 1600*900, 16:9	Intel Core i3, -2370M 2,4GHz, 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel Graphics 3000 HD	3,3 kg, 416,8 mm x 276 mm x elöl 31,9 mm / hátul 37,37 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 5720 (5720_146166) Notebook	136900 Ft	17,3", 1600*900, 16:9	Intel Core i3, -3110M / 2.4 GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	3,3 kg, 416,8 mm x 276 mm x elöl 31,9 mm / hátul 37,37 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Acer Aspire 5750G-32354G75Mn (NX.RXLEU.006) Notebook	137900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2350M 2.3GHz / 3MB SmartCache	4 GB, DDR3 1066MHz		750GB, SATA-2	Nvidia Geforce GT 610M 1GB	2,6 kg, 381.6 x 253 x 25.2/33.2 mm	1 év garancia	6 cella, 3 óra átlagos üzemidő, 48Wh	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Fujitsu Lifebook AH552-R3 (VFY:AH552MF015HU) Notebook	138900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2350M 2.3GHz / 3MB SmartCache	4 GB, DDR3 1333MHz		500 GB/7200rpm, SATA-2	Intel GMA HD	2,2 kg, 378 x 252 x 25,4 mm	2 év garancia	8 cella	DVD +/- RW, Super Multi		10/100/1000, 802.11.b/g/n WLAN	3 USB 2.0, 1 USB 3.0, Bluetooth 2.1, 4 in 1 kártyaolvasó, DSUB, express card 34 mm, HDMI out	HD-minőségű webkamera (1280x800)		eSATA		
Fujitsu Lifebook AH552-B3 (VFY:AH552MF065HU) Notebook	138900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2350M 2.3GHz / 3MB SmartCache	4 GB, DDR3 1333MHz		500 GB/7200rpm, SATA-2	Intel GMA HD	2,2 kg, 378 x 252 x 25,4 mm	2 év garancia	8 cella	DVD +/- RW, Super Multi		10/100/1000, 802.11.b/g/n WLAN	3 USB 2.0, 1 USB 3.0, Bluetooth 2.1, 4 in 1 kártyaolvasó, DSUB, express card 34 mm, HDMI out	HD-minőségű webkamera (1280x800)		eSATA		
Lenovo Ideapad B580 (59-340058) Notebook	139900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	2,6 kg, 376x245x34.3	2 év garancia	6 cella, 5 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 2.1, 4 in 1 kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Dell Inspiron 5520 (DI5520A-2370M-6GH1TD6MS) Notebook	139900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2370M 2,4GHz, 3MB Cache	6 GB, DDR3 1600MHz		1 TB, SATA-2	ATI Radeon HD 7670M 1GB DDR3	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Hewlett Packard HP ProBook 4540s (B0Y54EA) Notebook	139900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2370M 2,4GHz, 3MB Cache	2 GB, DDR3 1333MHz		320 GB, SATA-2	Intel GMA HD	2,4 kg, 37,5 x 25,6 x 2,8 cm	3 év garancia	6 cella, 3 óra átlagos üzemidő, 47Wh	DVD +/- RW, Super Multi	Linux	10/100/1000, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 4.0 (low energy), Médiakártya-olvasó , DSUB, HDMI out	Camera 1.3MPix				
Lenovo ideaPad Z585A (59-348854) Notebook	140900 Ft	15,6", 1366x768, 16:9	AMD , A6-4400M 3,2/2,7 GHz 1MB L2 cache	4 GB, DDR3 1333MHz		1 TB, SATA-2	ATI Radeon HD 7670M 2GB DDR3	2,6 kg, 376.8mm x249.8mm x17.3~34.9 mm	2 év garancia	6 cella, 3,5 óra átlagos üzemidő, 4800 mAh	DVD +/- RW, Dual Layer	FreeDos	10/100, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 2.1, 5 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Lenovo Ideapad G580AH (59-346897) Notebook	140900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		750GB, SATA-2	Nvidia Geforce GT 610M 1GB	2,6 kg, 376x245x34.3	2 év garancia	6 cella, 5 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, 2 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Dell Latitude E5420 (L035420101E_SPL) Notebook	141900 Ft	14,1'', 1366x768, 16:9	Intel Core i3, -2350M 2.3GHz / 3MB SmartCache	2 GB, DDR3 1333MHz		500 GB, SATA-2	Intel Graphics 3000 HD	2 kg, 350 mm x 240 mm x 29,9 mm elöl / 32,5 mm hátul	3 év garancia	6 cella, 60 Wh-s	DVD +/- RW, Dual Layer	FreeDos	10/100/1000, Intel Centrino Advanced-N 6205	4 db USB 2.0 port, Bluetooth 3.0 High Speed , 3 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, Dokkolható, ExpressCard, HDMI out	HD-minőségű webkamera (1280x800)		eSATA		
Dell Inspiron 5520 (5520_141671) Notebook	142900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2370M 2,4GHz, 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	ATI Radeon HD 7670M 1GB DDR3	2,9 kg	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD		eSATA		
Fujitsu Lifebook UH552-SM (VFY:UH552MF045HU) Notebook	142900 Ft	13,3", 1366x768, 16:9	Intel Core i3, 3217U 1.8GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	1,6 kg, 323 x 234 x 18,0 mm	2 év garancia	4 cella, 7,5 óra átlagos üzemidő, 42 Wh			10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, HDMI out	HD Webkamera				
Fujitsu Lifebook AH552-R5 (VFY:AH552MF025HU) Notebook	143900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -2450M (2.5GHz / 3.1 Turbo GHz / DMI 5GT/s / 3MB L2 Cache)	4 GB, DDR3 1333MHz		500 GB/7200rpm, SATA-2	Intel GMA HD	2,2 kg, 378 x 252 x 25,4 mm	2 év garancia	8 cella	DVD +/- RW, Super Multi		10/100/1000, 802.11.b/g/n WLAN	3 USB 2.0, 1 USB 3.0, Bluetooth 2.1, 4 in 1 kártyaolvasó, DSUB, express card 34 mm, HDMI out	HD-minőségű webkamera (1280x800)		eSATA		
Dell Inspiron 5720 (5720_146168) Notebook	143900 Ft	17,3", 1600*900, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB/5400rpm, SATA-2	Intel GMA HD Graphics 4000	3,3 kg, 416,8 mm x 276 mm x elöl 31,9 mm / hátul 37,37 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Fujitsu Lifebook UH552-SMH (VFY:UH552M2302HU) Notebook	143900 Ft	13,3", 1366x768, 16:9	Intel Core i3, 3217U 1.8GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	1,6 kg, 323 x 234 x 18,0 mm	2 év garancia	4 cella, 7,5 óra átlagos üzemidő, 42 Wh		Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, HDMI out	HD Webkamera				
Toshiba Satellite C870-13N Notebook	144900 Ft	17,3", 1600*900, 16:9	Intel Core i3, -2370M 2,4GHz /3MB Cache	4 GB, DDR3 1333MHz		640 GB, SATA-2	ATI Radeon HD 7610M 1GB DDR3	2,3Kg, 380.0 x 242.0 x 33.52 mm	2 év garancia	Lithium-ion, 4,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer		10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 5520 (INSP5520-7) Notebook	144900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, lntel WiFi 2230 802.11a/g/n	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 5520 (INSP5520-8) Notebook	144900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, lntel WiFi 2230 802.11a/g/n	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 5520 (INSP5520-9) Notebook	144900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, lntel WiFi 2230 802.11a/g/n	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 5520 (INSP5520-10) Notebook	144900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, lntel WiFi 2230 802.11a/g/n	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Hewlett Packard HP ProBook 4540s (B7A50EA) Notebook	145900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2370M 2,4GHz, 3MB Cache	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD	2,4 kg, 37,5 x 25,6 x 2,8 cm	3 év garancia	6 cella, 3 óra átlagos üzemidő, 47Wh	DVD +/- RW, Super Multi	Linux	10/100/1000, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 4.0 (low energy), Médiakártya-olvasó , DSUB, HDMI out	Camera 1.3MPix				
Dell Inspiron 5520 (5520_141745) Notebook	147900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2370M 2,4GHz, 3MB Cache	4 GB, DDR3 1600MHz		1 TB, SATA-2	ATI Radeon HD 7670M 1GB DDR3	2,9 kg	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD		eSATA		
Hewlett Packard HP Pavilion G6-2030SH (B4H59EA) Notebook	147900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2350M 2.3GHz / 3MB SmartCache	4 GB, DDR3 1333MHz		640 GB, SATA-2	Intel GMA HD Graphics 4000	2,5 kg, 37,4 x 24,5 x 3,63 cm	1 év garancia	6 cella, 3 óra átlagos üzemidő	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 2.1, Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Dell Inspiron 5720 (DI5720N-2370M-4GH50D6MS) Notebook	147900 Ft	17,3", 1600*900, 16:9	Intel Core i3, -2370M 2,4GHz, 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Nvidia GeForce GT 630M 1GB	3,3 kg, 416,8 mm x 276 mm x elöl 31,9 mm / hátul 37,37 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Samsung NP300E5C-S02HU Notebook	148900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1333MHz		750GB, SATA-2	Nvidia Geforce GT 610M 1GB	2,4 kg, 367.9 x 243 x 27.6 ~ 33.2mm	2 év garancia	6 cella, 4800 mAh	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Dell Inspiron N5110 (INSPN5110-58) Notebook	148900 Ft	15,6" HD LED, 1366x768, 16:9	Intel Core i3, -2350M 2.3GHz / 3MB SmartCache	4 GB, DDR3 1333MHz		750GB, SATA-2	Nvidia GeForce GT 525M 1GB	2,4 kg, 376,0 mm x 260,2 mm x (29,7 mm)/ hátul (33,8 mm)	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	FreeDos	10/100, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 3.0 High Speed , 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD		eSATA		
Lenovo ThinkPad EDGE E530(NZQAKHV) Notebook	148900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB/5400rpm, SATA-2	Intel GMA HD	2,5 kg, 377 x 245mm x 29.5-35.3mm	1 év garancia	6 cella, 8 óra átlagos üzemidő, 62.4WHr	DVD +/- RW, Dual Layer	FreeDos	10/100/1000, Intel WiFi Link 2x2 BGN	3 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, HDMI out	Camera 2.0 Mp				
Lenovo ideaPad S400 (59-350220) Notebook	149900 Ft	14.0", 1366x768, 16:9	Intel Core i3, -2365M 1.4GHz / 3MB Cache /17W	4 GB, DDR3 1333MHz		24GB SSD + 500GB HDD, SATA-2	Intel Graphics 3000 HD	1,8 kg, 336.6x241.2x21.9 (LxWxH) mm	2 év garancia	4 cella, 5 óra átlagos üzemidő		Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , 2 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 5520 (INSP5520-1) Notebook	149900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3110M / 2.4 GHz / 3MB Cache	4 GB, DDR3 1600MHz		1 TB, SATA-2	ATI Radeon HD 7670M 1GB DDR3	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, lntel WiFi 2230 802.11a/g/n	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 5520 (INSP5520-2) Notebook	149900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3110M / 2.4 GHz / 3MB Cache	4 GB, DDR3 1600MHz		1 TB, SATA-2	ATI Radeon HD 7670M 1GB DDR3	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, lntel WiFi 2230 802.11a/g/n	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 5520 (INSP5520-3) Notebook	149900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3110M / 2.4 GHz / 3MB Cache	4 GB, DDR3 1600MHz		1 TB, SATA-2	ATI Radeon HD 7670M 1GB DDR3	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, lntel WiFi 2230 802.11a/g/n	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
