TermékNév	Ár	TFT Méret	TFT Felb.	TFT Jell	CPU	RAM	HDD	SSD	GPU	Súly	Gar.	Akku	ODD	OS	VGA Típusa	LAN	Portok	Bill.	Softver	Bemeneti/Kimeneti csatlkozók	Billentyűzet/Touchpad	Súly/Méretek
acer Aspire V3-571G-736b4G1TMakk Fekete - Már 2 év garanciával!	163714 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i7-3630QM (3M Cache, 2.40 - 3.40 GHz, 35W, HyperThreading, Turbo Boost)	4GB DDR3 memória	1TB SATA HDD		NVIDIA® GeForce® GT 640M 2GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Windows 8		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+HS (Bluetooth® 2.1+EDR konfigurációtól függően)	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire V3-571G-736A4G1TMAII8 - Szürke - Már 2 év garanciával!	165826 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i7-3612QM (6M Cache, 2.1 GHz up to 3.1 GHz)	4GB DDR3 memória	1TB SATA HDD		NVIDIA® GeForce® GT 640M 2GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Windows 8		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+HS	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire Timeline Ultra M5-481PTG-53314G52Mass ultrabook ezüst -érintőkijelzős - Már 2 év garanciával!	223195 Ft	14"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD Super-Slim design, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i5-3317U (1.7GHz, 3MB cache, Turbo-Boost, HyperThreading)	4GB DDR3 memória	20GB SSD + 500 GB HDD		NVIDIA® GeForce® GT 640M LE 1GB	376.4 x 253 x 19.7/20.7 mm2.25 kg HDD-vel	2 év	54 W 4850 mAh 3-cellás Li-ion akkumulátor, akár 8 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Windows 8		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+HSAcer Crystal Eye webkamera 1.3Mpix	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 3.0 1x HDMI™ port HDCP támogatással 1x fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1x Ethernet (RJ-45) csatlakozó 1x hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő					
acer Aspire V5-531-987B4G50MABB - Kék Már 2 év garanciával	97367 Ft	15,6"	1366*768	14" 1366*768 (WXGA) pixel felbontás, magas-fényerejű (200-nit) LED-háttérvilágítású TFT LCD	Intel® Mobile Celeron 987 (1,5GHz, 2MB cache, 17W)	4GB DDR3	500GB S-ATA merevelemez		Intel® HD Graphics			6-cellás akkumulátor	DVD-Super Multi duplarétegű meghajtó	Windows 8		Acer Crystal Eye webkamera 1280 x 1024 felbontás, továbbfejlesztett Acer PrimaLite technológia™ Acer Video Conference Manager szoftver: Video Quality Enhancement (VQE) technológia, 640 x 480 felbontású online videohívás támogatása Bluetooth®4.0+HS (Bluetooth® 2.1+EDRWLAN:Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ Acer SignalUp™ vezeték nélküli technológia LAN: 10/100 Mbps Fast Ethernet				Multi-in-1 kártyaolvasó 1 USB 3.0 port3 USB 2.0 port Csatlakozó külső kijelzőhöz (VGA) HDMIFejhallgató-/hangszóró-/vonalkimenet-csatlakozó Mikrofon csatlakozó Ethernet (RJ-45) port Hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés	382 x 253 x 21-23 mm/ 2.35kg 6 cellás akkumulátorral	
acer Aspire V5-531-987B4G50MAKK - Fekete Már 2 év garanciával	97367 Ft	15,6"	1366*768	14" 1366*768 (WXGA) pixel felbontás, magas-fényerejű (200-nit) LED-háttérvilágítású TFT LCD	Intel® Mobile Celeron 987 (1,5GHz, 2MB cache, 17W)	4GB DDR3	500GB S-ATA merevelemez		Intel® HD Graphics			6-cellás akkumulátor	DVD-Super Multi duplarétegű meghajtó	Windows 8		Acer Crystal Eye webkamera 1280 x 1024 felbontás, továbbfejlesztett Acer PrimaLite technológia™ Acer Video Conference Manager szoftver: Video Quality Enhancement (VQE) technológia, 640 x 480 felbontású online videohívás támogatása Bluetooth®4.0+HS (Bluetooth® 2.1+EDRWLAN:Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ Acer SignalUp™ vezeték nélküli technológia LAN: 10/100 Mbps Fast Ethernet				Multi-in-1 kártyaolvasó 1 USB 3.0 port3 USB 2.0 port Csatlakozó külső kijelzőhöz (VGA) HDMIFejhallgató-/hangszóró-/vonalkimenet-csatlakozó Mikrofon csatlakozó Ethernet (RJ-45) port Hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés	382 x 253 x 21-23 mm/ 2.35kg 6 cellás akkumulátorral	
acer Aspire V5-531-987B4G50MASS - Ezüst Már 2 év garanciával	97367 Ft	15,6"	1366*768	14" 1366*768 (WXGA) pixel felbontás, magas-fényerejű (200-nit) LED-háttérvilágítású TFT LCD	Intel® Mobile Celeron 987 (1,4GHz, 2MB cache, 17W)	4GB DDR3	500GB S-ATA merevelemez		Intel® HD Graphics			6-cellás akkumulátor	DVD-Super Multi duplarétegű meghajtó	Windows 8		Acer Crystal Eye webkamera 1280 x 1024 felbontás, továbbfejlesztett Acer PrimaLite technológia™ Acer Video Conference Manager szoftver: Video Quality Enhancement (VQE) technológia, 640 x 480 felbontású online videohívás támogatása Bluetooth®4.0+HS (Bluetooth® 2.1+EDRWLAN:Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ Acer SignalUp™ vezeték nélküli technológia LAN: 10/100 Mbps Fast Ethernet				Multi-in-1 kártyaolvasó 1 USB 3.0 port3 USB 2.0 port Csatlakozó külső kijelzőhöz (VGA) HDMIFejhallgató-/hangszóró-/vonalkimenet-csatlakozó Mikrofon csatlakozó Ethernet (RJ-45) port Hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés	382 x 253 x 21-23 mm/ 2.35kg 6 cellás akkumulátorral	
acer Aspire V5-531G-987B4G50Mabb - Kék - Már 2 év garanciával!	112926 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Pentium Dual-Core B987 (2M Cache, 1.5GHz)	4GB DDR3 memória	500GB SATA HDD		NVIDIA® GeForce® GT 620M 1GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Windows 8		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire V5-531G-987B4G50Makk - Fekete - Már 2 év garanciával!	112926 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Pentium Dual-Core B987 (2M Cache, 1.5GHz)	4GB DDR3 memória	500GB SATA HDD		NVIDIA® GeForce® GT 620M 1GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Windows 8		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire V3-471-33114G50Makk Fekete - Már 2 év garanciával!	108831 Ft	14"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i3-3310M (3M Cache, 2.40 , HyperThreading,)	4GB DDR3 memória	500GB SATA HDD		Intel HD Grpahics	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Windows 8		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+EDR	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő					
acer Ultrabook Aspire S5-391-73514G25akk Ultrabook 2 év Garanciával!	283431 Ft	13.3"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i5-3517U (3M Cache, 1.7 - 2.6 GHz, 17W, HyperThreading,TurboBoost)	4GB DDR3 memória, mely 8GB-ig bővíthető	-----	256GB	Intel®HD Graphics 4000	323 x 218 x 13.1/17.5 mm1.33 kg	3 év	3 cellás Li-ion akkumulátor, 7 óra üzemidő		Operációs rendszer Windows 7 Home Premium (Ingyenes frissítés Windows 8 Pro verzióra!)		Intel® Wireless WiFi Link 5100/5300 (kétcsatornás,négyfunkciós 802.11a/b/g/Draft-N) Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatAcer Crystal Eye webkamera 1.3mpixBluetooth®4.0+HS	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 3.0 csatlakozó1x Thunderbolt 1x HDMI™ (High-Definition Multimedia Interface) HDCP (High-bandwidth Digital Content Protection) támogatással 1x fejhallgató/hangszóró kimenet 1x hálózati tápegység csatlakozó	86-/87-/91 gombos billentyűzet; fordított "T" kurzorelrendezés Multi-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókat10 funkcióbillentyű, 4 kurzor gomb, két Windows® gomb, gyorsgombok; beágyazott numerikus billentyűzet; nemzetközi nyelv támogatásaAcer PowerSmart gombGyorsindító gombok: Acer Backup, Communication®, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő					
acer Aspire V3-571G-736b8G1 Fekete - Már 2 év garanciával!	171559 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i7-3630QM (3M Cache, 2.40 - 3.40 GHz, 35W, HyperThreading, Turbo Boost)	8GB DDR3 memória	1TB SATA HDD		NVIDIA® GeForce® GT 640M 2GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Windows 8		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+HS (Bluetooth® 2.1+EDR konfigurációtól függően)	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire V3-571G-736b8G1TMaii - Szürke - Már 2 év garanciával!	163696 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i7-3610QM (6M Cache, 2.3 GHz up to 3.30 GHz)	8GB DDR3 memória	1TB SATA HDD		NVIDIA® GeForce® GT 640M 1GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Windows 8		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+HS	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
