TermékNév	Ár	TFT	TFT 3D	CPU	RAM	RAM Slot	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Kategória	Chipset	Audio	Mikrofon	Kamera	WLAN	BT	HSDPA	Portok	CR	LAN	USB	Méret	USB 3	SSD	Extra
Toshiba Satellite P755-12G	248661 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i7 2670QM (2,2 GHz, 6 MB cache)	8192 MB DDR III 1333 MHz	Nem	500 GB 7200 rpm SATA	NVIDIA GeForce GT 540M	2,62 kg	2 év		Blu-Ray író	Windows 7 Home Premium 64 bit	Multimédia		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100/1000 Mb/s	3 db	380,5 x 254,0 x 30,0 / 37,6 mm	1 db			
Acer Aspire AS5560G-63424G75Mnkk	102913 Ft	15,6 " (1366x768 pixel)	Nem	AMD A Series A6-3420 (1,5 GHz, 4 MB cache)	4096 MB DDR III MHz	Nem	750 GB 5400 rpm SATA	AMD Radeon HD 7670M	2,6 kg	2 év	6 cellás	DVD+-RW DL	Linux	Általános		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC	10/100/1000 Mb/s	2 db	381 x 253 x 34 mm				
Apple MacBook Pro 15 Ci7 8GB 750GB GT650M magyar	550709 Ft	15,4 " (1440x900 pixel)	Nem	Intel Core i7 (2,6 GHz, 6 MB cache)	8192 MB DDR III 1600 MHz	Nem	750 GB 5400 rpm SATA	NVIDIA GeForce GT 650M	2,54 kg	1 év		DVD+-RW DL	Mac OS X 10.7 Lion	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	Thunderbolt port, USB 3.0, FireWire	SDXC	10/100/1000 Mb/s		364 x 249 x 24,1 mm	2 db			
Acer Aspire E1-571-33114G50Mnks_Lin	102913 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3110 (2,4 GHz, MB cache)	4096 MB DDR III MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 4000	2,4 kg	2 év	6 cellás	DVD+-RW DL	Linux	Általános		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, USB, USB 3.0, HDMI		10/100/1000 Mb/s	2 db		1 db			
Lenovo IdeaPad Y580 (59-349188) 15,6"	277953 Ft	15,6 " (1920x1080 pixel)	Nem	Intel Core i7 3630QM (2,4 GHz, 6 MB cache)	8192 MB DDR III 1333 MHz	Nem	1000 GB 5400 rpm SATA	NVIDIA GeForce GTX 660M	2,8 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Multimédia	Mobile Intel® HM76 Express	Dolby HomeTheater 2.0 V4	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, XD, MS, MS Pro	10/100 Mb/s	4 db	385 x 255 x 35,7 mm			+ 32GB SSD	
Dell Inspiron N5040 15,6" HD P6200 4GB 500GB DOS	91024 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core P6200 (2,13 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics	2,37 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Általános	Mobile Intel HM57	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC, MMC	10/100 Mb/s	3 db	376 x 260 x 31,52-34,53 mm				
Dell Inspiron 17R SE HD+ Ci5-3210M 4GB 1TB GT650M	201811 Ft	17,3 " (1600x900 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	1000 GB 5400 rpm SATA	NVIDIA GeForce GT 650M	3,28 kg	3 év	6 cellás	DVD+-RW DL	Linux	Multimédia		Waves MaxxAudio 4	Igen	Igen	802.11 h, 802.11 n, 802.11 b	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100/1000 Mb/s		416,8 x 276 x 37,37 mm	4 db			
Asus B53E-SO268X	195748 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 2450M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	750 GB 5400 rpm SATA	Intel HD Graphics 3000	2,69 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti	Intel ® HM65 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Display Port, E-SATA, USB, USB 3.0, HDMI	SD, SDHC, XD, MMC, MS, MS Pro	10/100/1000 Mb/s	2 db	384 x 263 x 33-35 mm	1 db			
Sony Vaio VPC-SE2F1E 15,5" Ezüst	237953 Ft	15,6 " (1920 x 1080 pixel)	Nem	Intel Core i5 2450M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	640 GB 5400 rpm SATA	AMD Radeon HD 6630M	1,96 kg	2 év		DVD+-RW DL	Windows 7 Home Premium 64 bit	Multimédia	Intel® HM67 Express	Dolby® Home Theater® v4	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, SDXC, MS Pro	10/100/1000 Mb/s	2 db	255x380x24,5 mm	1 db			
Lenovo ThinkPad Tablet X230 12,5" i7-3520M 4GB	266850 Ft	12,5 " (1366x768 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics	1,34 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti		Dolby® Advanced Audio™ 2.0	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	Display Port, D-Sub, USB, USB 3.0	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	2 db	305x206.5x19-26.6 mm	1 db			
Acer Aspire V3-571G-736B78G1TMAKK	199449 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i7 3630QM (2,4 GHz, 6 MB cache)	8192 MB DDR III MHz	Nem	1000 GB 5400 rpm SATA	NVIDIA GeForce GT 640M	2 kg	2 év	6 cellás	DVD+-RW DL	Linux	Ultrabook		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem			10/100 Mb/s						
Asus X53SD-SX394D 15,6" Rózsaszín	124724 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core B960 (2,2 GHz, 2 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	NVIDIA GeForce 610M	2,6 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Általános	Intel ® HM65 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, MMC, MS, MS Pro	10/100 Mb/s	2 db	378x253x33,1~34,9 mm	1 db			
Dell Vostro 3460 Ci3-2370 4GB 500GB Linux Piros	162756 Ft	14 " (1366x768 pixel)	Nem	Intel Core i3 2370M (2,4 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	NVIDIA GeForce GT 630M	2,23 kg	3 év	6 cellás	DVD+-RW DL	Linux	Üzleti	Intel® Mobile HM77 Panther Point Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, XD, MMC, MS, MS Pro	10/100/1000 Mb/s		345,5x244x28-30,1 mm	4 db			
Asus EEE PC 1015BX-WHI043W 10,1" Fehér	56205 Ft	10,1 " (1024x600 pixel)	Nem	AMD C Series C-60 (1 GHz, 1 MB cache)	2048 MB DDR III 1066 MHz	Nem	320 GB 5400 rpm SATA	AMD Radeon HD 6250	1,29 kg	2 év	3 cellás	Nincs	OP. rendszer nélkül	Multimédia	AMD A50M (Hudson M1) Fusion	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC, MMC	10/100 Mb/s	2 db	262 x 178 x 23,6 ~ 36,4 mm				
Acer V3-471G-53214G50Madd 14" Arany	169055 Ft	14 " (1366 x 768 pixel)	Nem	Intel Core i5 3210M (2.5 GHz, 3 MB cache)	4096 MB DDR III 1066 MHz	Igen	500 GB 5400 rpm SATA	NVIDIA GeForce GT 640M	2.4 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Multimédia		Dolby® Home Theater® v4	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, XD, MMC, MS Pro	10/100/1000 Mb/s	2 db	378 x 259 x 24.8/29.7 mm	1 db			
Dell Vostro 3460 Ci7-3612 8GB 750GB Linux Ezüst	214409 Ft	14 " (1366x768 pixel)	Nem	Intel Core i7 3612 (2,1 GHz, 6 MB cache)	8192 MB DDR III 1600 MHz	Nem	750 GB 7200 rpm SATA	NVIDIA GeForce GT 630M	2,23 kg	3 év	6 cellás	DVD+-RW DL	Linux	Üzleti	Intel® Mobile HM77 Panther Point Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, XD, MMC, MS, MS Pro	10/100/1000 Mb/s		345,5x244x28-30,1 mm	4 db			
Asus X55VD-SX029D	108346 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2350M (2,3 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	NVIDIA GeForce 610M	2,53 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Általános	Intel ® HM76	Altec Lansing® 2.0	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, MMC	10/100/1000 Mb/s	1 db	378x253x26,2~35,8 mm	1 db			
Fujitsu Lifebook AH531 B960 2GB 320GB NoOS	84961 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core B960 (2,2 GHz, 2 MB cache)	2048 MB DDR III 1333 MHz	Nem	320 GB 5400 rpm SATA	Intel HD Graphics 3000	2,5 kg	3 év		DVD+-RW DL	OP. rendszer nélkül	Általános	Intel HM65	Realtek ALC269 HD	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, ExpressCard 34mm, USB, ExpressCard 54mm, HDMI	SD, SDHC, MS, MS Pro	10/100/1000 Mb/s	3 db	378 x 252 x 36.5 mm				
HP EliteBook 2170p B6Q15EA 11,6"	290630 Ft	11,6 " (1366x768 pixel)	Nem	Intel Core i5 3427U (1,8 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics 4000	1,31 kg	3 év	6 cellás	Nincs	Windows 7 Professional 64 bit	Üzleti	Mobil Intel® QM77 Express	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Igen	3,5 Jack, Display Port, D-Sub, USB 3.0	SD, MMC	10/100/1000 Mb/s		292x192x26,5 mm	2 db			
Asus X55A-SX044D	72835 Ft	15,6 " (136x768 pixel)	Nem	Intel Celeron Dual-Core B820 (1,7 GHz, 2 MB cache)	2048 MB DDR III 1333 MHz	Igen	320 GB 5400 rpm SATA	Intel HD Graphics	2,52 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Multimédia	Mobile Intel® HM65 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, MMC, MS, MS Pro	10/100 Mb/s	1 db	251 x 378 x 25,5-31,9 mm	1 db			
Acer Aspire E1-571G-33114G75MNKS fekete	109843 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3110M (2,4 GHz, MB cache)	4096 MB DDR III MHz	Nem	750 GB 5400 rpm SATA	NVIDIA GeForce GT 610M	2,4 kg	2 év	6 cellás	DVD+-RW DL	Linux	Általános		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, USB, USB 3.0, HDMI		10/100/1000 Mb/s	2 db		1 db			
Dell Inspiron 5520 HD Ci3-2370M 4GB 500GB Ezüst	117874 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2370M (2,4 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 3000	2,74 kg	3 év	6 cellás	DVD+-RW DL	Linux	Általános	Intel HM77	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100/1000 Mb/s		378 x 252 x 30-34 mm	4 db			
Samsung NP700Z5A-S02HU 15,6" i5 W7 Alu	222047 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 2450M (2,5 GHz, 3 MB cache)	6144 MB DDR III 1333 MHz	Nem	1024 GB 5400 rpm SATA	AMD Radeon HD 6750M	2,29 kg	2 év	8 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Multimédia	Intel HM65 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	1 db	362.1 x 238.5 x 23.9 mm	2 db			
Dell Latitude E5520 Ci3-2350M 2GB 320GB W7P	200787 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i3 2350M (2,3 GHz, 3 MB cache)	2048 MB DDR III 1333 MHz	Nem	320 GB 7200 rpm SATA	Intel HD Graphics 3000	2,33 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Professional	Üzleti	Mobile Intel® HM65 Express	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, E-SATA, USB, ExpressCard 54mm, FireWire, HDMI	SD	10/100/1000 Mb/s	4 db	388x251x30,20–33,20 mm				
Asus X54HR-SO205D 15.6"	117480 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2350M (2,3 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 7470M	2,6 kg	2 év	4 cellás	DVD+-RW DL	Free DOS	Általános	Intel® HM65 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, MMC, MS, MS Pro	10/100/1000 Mb/s	1 db	378 x 253 x 35,6 ~37,2 mm	1 db			
Dell Latitude E6520 HD+ 2520M 4GB 500GB W7Prof64	256142 Ft	15,6 " (1600x900 pixel)	Nem	Intel Core i5 2520M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Igen	500 GB 7200 rpm SATA	Intel HD Graphics 3000	2,5 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti	Mobile Intel® QM67 Express	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, E-SATA, ExpressCard 34mm, USB, ExpressCard 54mm, FireWire, HDMI	SD, SDHC	10/100/1000 Mb/s	4 db	384 x 258 x 28,3-34,2 mm				
Lenovo ThinkPad T530 15,6" FHD i7-3610QM 8GB 500GB	336772 Ft	15,6 " (1920x1080 pixel)	Nem	Intel Core i7 3610QM (2,3 GHz, 6 MB cache)	8192 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics 3000	2,5 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti		Dolby® Advanced Audio® 2.0	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, ExpressCard 34mm, Mini Display Port, USB, USB 3.0	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	1 db	245.1x372.8x31.8-35.6 mm	2 db			
Acer V5-471G-323a4G50Mabb 14" Kék NX.M1DEU.003	147559 Ft	14 " (1366x768 pixel)	Nem	Intel Core i3 2377M (1,5 GHz, 3 MB cache)	4096 MB DDR III 1066 MHz	Nem	500 GB 5400 rpm SATA	NVIDIA GeForce GT 620M	2,1 kg	2 év	4 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Multimédia		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI		10/100/1000 Mb/s	2 db	342 x 245 x 20-23 mm	1 db			
Toshiba Satellite C855-12K	96772 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core B960 (2,2 GHz, 2 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 7610M	2,3 kg	2 év		DVD+-RW DL	OP. rendszer nélkül	Általános		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, SDXC, MMC, Micro SD	10/100 Mb/s	2 db	380,0 x 242,0 x 33,52 mm	1 db			
Lenovo Thinkpad Edge E525 NZ63KHV_TS	82283 Ft	15,6 " (1366x768 pixel)	Nem	AMD E Series E2-3000M (1,8 GHz, 2 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 3000	2,36 kg	1 év	6 cellás	DVD+-RW DL	Free DOS	Általános		HD Audio	Igen	Nem	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, E-SATA, USB, HDMI		10/100/1000 Mb/s	4 db					
Apple MacBook Pro 15,4" (MD322MG/A)	576535 Ft	15,4 " (1440x900 pixel)	Nem	Intel Core i7 2760QM (2,4 GHz, 6 MB cache)	4096 MB DDR III 1066 MHz	Nem	750 GB 5400 rpm SATA	NVIDIA GeForce GT 330M	2,54 kg	1 év	6 cellás	Super Drive	Mac OS X 10.6 Snow Leopard	Üzleti		HD Audio	Igen	Igen	802.11 n	Igen	Nem	3,5 Jack, Mini Display Port, USB, FireWire	SD	10/100/1000 Mb/s	2 db	364 x 249 x 24,1 mm				
Dell Inspiron 7520 FHD Ci7-3632QM 8GB 1TB W7HP64	216220 Ft	15,6 " (1920x1080 pixel)	Nem	Intel Core i7 3632QM (3,2 GHz, 6 MB cache)	8192 MB DDR III MHz	Nem	1000 GB 5400 rpm SATA	AMD Radeon HD 7730M	2,3 kg	3 év	6 cellás	Blu-Ray olvasó + DVD SuperMulti	Windows 7 Home Premium 64 bit	Multimédia	Intel HM77 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100/1000 Mb/s		378 x 252 x 34,1 mm	4 db			
HP ProBook 4540s 15,6" B7A50EA	138346 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i3 2370M (2,4 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics	2,33 kg	1 év	6 cellás	DVD+-RW DL	Linux	Üzleti	Mobil Intel® HM76 Express	SRS Premium Sound PRO	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI		10/100/1000 Mb/s	2 db	375x256x28 mm	2 db			
Asus Eee PC X101CH-BLK004U Fekete	54465 Ft	10,1 " (1024x600 pixel)	Nem	Intel Atom Dual-Core N2600 (1,6 GHz, 1 MB cache)	2048 MB DDR III MHz	Nem	320 GB 5400 rpm SATA	Intel GMA 3150	1 kg	2 év		Nincs	OP. rendszer nélkül	Netbook	Mobile Intel® NM10 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC, MMC	10/100 Mb/s	2 db	262 x 180 x 22 mm				
NBK Asus U36SG-RX008D 13,3"	140945 Ft																													
Dell Inspiron 5520 HD Ci7-3632 8GB 1TB HD7670	173071 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i7 3632QM (2,2 GHz, MB cache)	8192 MB DDR III 1600 MHz	Nem	1000 GB 5400 rpm SATA	AMD Radeon HD 7670M	2,74 kg	3 év	6 cellás	DVD+-RW DL	Linux	Általános		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100/1000 Mb/s		378 x 252 x 30-34 mm	4 db			
Asus EEE PC 1015BX-BLK054W 10,1" Fekete	56559 Ft	10,1 " (1024x600 pixel)	Nem	AMD C Series C-60 (1 GHz, 1 MB cache)	2048 MB DDR III 1066 MHz	Nem	320 GB 5400 rpm SATA	AMD Radeon HD 6250	1,17 kg	2 év	3 cellás	Nincs	OP. rendszer nélkül	Netbook	AMD (Hudson M1) Fusion	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC, MMC	10/100 Mb/s	2 db	262 x 178 x 23.6 ~36.4 mm				
Dell Latitude E5420 HD Ci3-2350M 2GB 500G DOS	136693 Ft	14 " (1366×768 pixel)	Nem	Intel Core i3 2350M (2,3 GHz, 3 MB cache)	2048 MB DDR III 1333 MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics 3000	2,04 kg	3 év	6 cellás	DVD+-RW DL	Free DOS	Üzleti	Mobile Intel® HM65 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, E-SATA, USB, ExpressCard 54mm, FireWire, HDMI	SD	10/100/1000 Mb/s	4 db	350x240x29,9-32,5 mm				
Toshiba Satellite C870-13N 17,3" Fekete	139764 Ft	17,3 " (1600x900 pixel)	Nem	Intel Core i3 2370M (2,4 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	640 GB 5400 rpm SATA	AMD Radeon HD 7610M	2,7 kg	2 év		DVD+-RW DL	OP. rendszer nélkül	Általános		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, USB, USB 3.0, HDMI	SD, SDHC, SDXC	10/100 Mb/s	2 db	413x268x33 mm	1 db			
Acer Aspire M3-581TG-72636G25MNKK	296535 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i7 2637M (1,7 GHz, 4 MB cache)	4096 MB DDR III 1066 MHz	Nem	256 GB Nincs rpm SSD	NVIDIA GeForce GT 640M	2,16 kg	3 év	3 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Ultrabook		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, USB, USB 3.0, HDMI	SD, SDHC, MMC	10/100 Mb/s	2 db	376.4 x 253 x 19.7/20.7 mm	1 db			
Dell Vostro 3460 Ci5-3210 4GB 500GB Linux Ezüst	181024 Ft	14 " (1366x768 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics 4000	2,232 kg	3 év	6 cellás	DVD+-RW DL	Linux	Üzleti	Intel® Mobile HM77 Panther Point Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, ExpressCard 34mm, USB 3.0, HDMI		10/100/1000 Mb/s		345,5 x 244 x 28-30,1 mm	4 db			
Asus Eee PC X101CH-WHI062S Fehér	58102 Ft	10,1 " (1024x600 pixel)	Nem	Intel Atom Dual-Core N2600 (1,6 GHz, 1 MB cache)	1024 MB DDR III MHz	Nem	320 GB 5400 rpm SATA	Intel GMA 3150	1 kg	2 év	3 cellás	Nincs	Windows 7 Starter Edition	Netbook		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB	SD, SDHC, SDXC, MMC	10/100 Mb/s	2 db	262 x 180 x 22 mm				
Asus Eee PC 1225B-WHI047M Fehér	87480 Ft	11,6 " (1366x768 pixel)	Nem	AMD C Series C60 (1 GHz, 1 MB cache)	2048 MB DDR III MHz	Nem	320 GB 5400 rpm SATA	AMD Radeon HD 6290	1,44 kg	2 év	6 cellás	Nincs	Windows 7 Home Premium 64 bit	Netbook		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, SDXC, MMC	10/100 Mb/s	2 db	296 x 200 x 28 ~35 mm	1 db			
Asus X54HY-SO120D	116378 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2330M (2,2 GHz, 3 MB cache)	2048 MB DDR III 1333 MHz	Igen	320 GB 5400 rpm SATA	AMD Radeon HD 6470M	2,6 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Általános	Intel® HM65 Express	HD Audio	Igen	Nem	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, USB, USB 3.0, HDMI	SD, SDHC, MMC, MS, MS Pro	10/100/1000 Mb/s	2 db	378 x 253 x 35,6-37,2 mm	1 db			
Lenovo IdeaPad U310 13,3" (59-349012) + 24GB SSD	158740 Ft	13,3 " (1366x768 pixel)	Nem	Intel Core i3 3217U (1,8 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 4000	1,7 kg	2 év	3 cellás	Nincs	Windows 7 Home Premium 64 bit	Ultrabook	Mobile Intel® HM77 Express	Dolby ® Home Theater ® v4	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, USB, USB 3.0, HDMI	SD, MMC	10/100 Mb/s	1 db	333x225x18 mm	2 db		+24GB SSD	
Fujitsu Lifebook AH531 i3-2328M 2GB 320GB NoOS	94567 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2328M (2,2 GHz, 3 MB cache)	2048 MB DDR III 1333 MHz	Nem	320 GB 5400 rpm SATA	Intel HD Graphics 3000	2,5 kg	3 év		DVD+-RW DL	OP. rendszer nélkül	Általános	Intel HM65	Realtek ALC269 HD	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, ExpressCard 34mm, USB, ExpressCard 54mm, HDMI	SD, SDHC, MS, MS Pro	10/100/1000 Mb/s	3 db	378 x 252 x 36.5 mm				
