TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	Audio	Bill.	Portok	Multimédia	Méret	Szállítás		Biztonság	Mobil internet modul
Dell Vostro 3560 142364 Bronz Notebook	151890 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i3-2370M (3M Cache, 2.40 GHz)		500GB SATA 7200rpm	Intel® HD Graphics 3000	2,57 kg	3 év helyszíni garancia	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), Express card kártyahely, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	375 x 259 x 28,8 - 32,5 mm	nincs raktáron		ujjlenyomat olvasó		
Dell Vostro 3560 142222 Piros Notebook	151890 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i3-2370M (3M Cache, 2.40 GHz)		500GB SATA 7200rpm	Intel® HD Graphics 3000	2,57 kg	3 év helyszíni garancia	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), Express card kártyahely, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	375 x 259 x 28,8 - 32,5 mm	nincs raktáron		ujjlenyomat olvasó		
Dell Latitude E5520 L035520102E_NOOSSPL Notebook	151890 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i3-2350M (3M Cache, 2.30 GHz)		500GB SATA 7200rpm	Intel® HD Graphics 3000	2,33 kg	3 év helyszíni garancia	6cellás (60WHr) lithium-ion	DVD író / olvasó (supermulti)		Intel® HM65 Express /Sandy Bridge	Beépített sztereó hangszórók	magyar, LED háttérvilágítású	VGA monitor kimenet, FireWire I-link IEEE1394, Gigabit LAN (10/100/1000), USB 2.0 (4db), Express card kártyahely, Docking port ( dokkolható ), HDMI csatlakozó, kombinált eSATA/USB 2.0, Wireless LAN 802.11 a/b/g/n (WiFi), Bluetooth v3.0 + HS	SD/SDHC kártyahely, beépített HD webkamera	388 x 251 x 30,2 - 33,2 mm	nincs raktáron			Beépített 3G/HSDPA modem 44450Ft	
Dell Vostro 3360 141979 Ezüst Notebook	157402 Ft	13,3" HD WXGA LED Anti-glare TFT (1366 x 768)	Intel® Core™ i3-2367M (3 MB Cache, 1.40 GHz)		320GB SATA 7200rpm	Intel® HD Graphics 3000	1,670 kg	3 év helyszíni garancia	4 cellás (49WHr) lithium-ion	opcionális külső író (nem tartozék)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (3db), Bluetooth v4.0 + HS	8 az 1-ben kártyaolvasó, beépített HD webkamera	332 x 232 x 18,6 - 19,2 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Dell Vostro 3360 141980 Bronz Notebook	152677 Ft	13,3" HD WXGA LED Anti-glare TFT (1366 x 768)	Intel® Core™ i3-2367M (3 MB Cache, 1.40 GHz)		320GB SATA 7200rpm	Intel® HD Graphics 3000	1,670 kg	3 év helyszíni garancia	4 cellás (49WHr) lithium-ion	opcionális külső író (nem tartozék)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (3db), Bluetooth v4.0 + HS	8 az 1-ben kártyaolvasó, beépített HD webkamera	332 x 232 x 18,6 - 19,2 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Dell Vostro 3360 141981 Piros Notebook	152677 Ft	13,3" HD WXGA LED Anti-glare TFT (1366 x 768)	Intel® Core™ i3-2367M (3 MB Cache, 1.40 GHz)		320GB SATA 7200rpm	Intel® HD Graphics 3000	1,670 kg	3 év helyszíni garancia	4 cellás (49WHr) lithium-ion	opcionális külső író (nem tartozék)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (3db), Bluetooth v4.0 + HS	8 az 1-ben kártyaolvasó, beépített HD webkamera	332 x 232 x 18,6 - 19,2 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Samsung Series 3 NP300E5C-S01HU Ezüst Notebook	152677 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)		1000GB SATA 5400rpm	NVIDIA® GeForce® 610M 1GB DDR3	367,9 x 243 x 27,1 ~ 33 mm	nincs raktáron	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Mobile Intel® HM70 Express Chipset	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS	4 az 1-ben kártyaolvasó, beépített webkamera 1.3Mpixel	2 év					
Fujitsu Lifebook LH532 LKN:LH532M0001HU Notebook	155512 Ft	14" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i3-2370M (3M Cache, 2.40 GHz)		320GB SATA 5400rpm	NVIDIA® GeForce® GT 620M 2GB DDR3	2 kg	2 év	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM76 Express Chipset	Realtek ALC269 VC2 HD, Sztereó, DTS Boost™	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (3db), Bluetooth v4.0 + HS	4 az 1-ben kártyaolvasó, beépített HD webkamera	335 x 240 x 33.5 mm	nincs raktáron				
Fujitsu Lifebook AH552 VFY:AH552MF055HU Slimbook	160551 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-2450M (3M Cache, 2.50 GHz)		500GB SATA 7200rpm	Intel® HD Graphics 3000	2.2 kg	2 év	8 cellás lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM76 Express Chipset	Beépített sztereó hangszórók	magyar, csepálló	Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS	4 az 1-ben kártyaolvasó, beépített HD webkamera	378 x 252 x 25.4 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Acer V3-571G-53218G75Maii NX.RZMEU.002 Notebook	162913 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)	8GB DDR3 1333MHz	750GB SATA 5400rpm	NVIDIA® GeForce® GT 630M 2GB DDR3	2,60 kg		6cellás 4400 mAh (Lithium-ion)	DVD író / olvasó (supermulti)		Mobile Intel® HM77 Express Chipset	Dolby® Home Theater® v4 hangrendszer	magyar teljes méretű, numerikus billentyűkkel	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 a/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS	Multi az 1-ben kártyaolvasó, beépített HD webkamera	382,0 - 253,0 - 33,2 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Lenovo IdeaPad Z580A 59-348042 Notebook	0 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)	8GB DDR3 1333MHz	1TB SATA 5400rpm	NVIDIA® GeForce® GT 630M 2GB DDR3	2,65 kg	2 év	6 cellás lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM76 Express Chipset	Dolby® Home Theater® v4 hangrendszer	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v3.0 + HS	5 az 1-ben kártyaolvasó, beépített HD webkamera	376 x 250 x 32.9 mm	következő munkanapon				
Dell Inspiron 17R 5720 INSP5720-1 Notebook	158976 Ft	17,3" HD+ LED fényes TFT 16:9 (1600 x 900)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)		500GB SATA 5400rpm	NVIDIA® GeForce® GT 630M 1GB DDR3	3,28 kg	3 év	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)		Mobile Intel® HM77 Express Chipset	2.1 hangszórók, Waves MaxxAudio® 3	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	416,8 x 276 x 31,9 - 37,37 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Acer V5-471G-32364G50Mabb NX.M1DEU.002 Kék	156299 Ft	14" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-2367M (3 MB Cache, 1.40 GHz)		500GB SATA 5400rpm	NVIDIA® GeForce® GT 620M 1GB DDR3	342 x 245 x 20 - 23 mm	nincs raktáron	4 cellás lítiumion (Li-Ion)	DVD író / olvasó (supermulti)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Mobile Intel® HM77 Express Chipset	Dolby® Advanced Audio™ v2	magyar	USB 2.0 (2db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS, kombinált LAN/VGA csatlakozó	Multi az 1-ben kártyaolvasó, beépített HD webkamera						
Dell Inspiron 15R 5520 146157 Ezüst Notebook	155827 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i7-3632QM (6M Cache, 2.2 - 3.2 GHz)		750GB SATA 5400rpm	Intel® HD Graphics 4000	2,74 kg	3 év	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	378 x 252 x 30,03 - 34,1 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Dell Inspiron 15R 5520 146158 Piros Notebook	155827 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i7-3632QM (6M Cache, 2.2 - 3.2 GHz)		750GB SATA 5400rpm	Intel® HD Graphics 4000	2,74 kg	3 év	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	378 x 252 x 30,03 - 34,1 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Dell Inspiron 15R 5520 146159 Kék Notebook	155827 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i7-3632QM (6M Cache, 2.2 - 3.2 GHz)		750GB SATA 5400rpm	Intel® HD Graphics 4000	2,74 kg	3 év	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	378 x 252 x 30,03 - 34,1 mm	nincs raktáron				
Dell Inspiron 15R 5520 146160 Fehér Notebook	155827 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i7-3632QM (6M Cache, 2.2 - 3.2 GHz)		750GB SATA 5400rpm	Intel® HD Graphics 4000	2,74 kg	3 év	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	378 x 252 x 30,03 - 34,1 mm	nincs raktáron				
Toshiba Satellite L750-1N3 Notebook	159764 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i7-2670QM (6M Cache, 2.20 - 3.1 GHz)		640GB SATA 5400rpm	NVIDIA® GeForce® GT 520M 1GB DDR3	2,50 kg		6cellás 4400 mAh (Lithium-ion)	DVD író / olvasó (supermulti)		Intel® HM65 Express /Sandy Bridge	Conexant 24 bites sztereó	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v3.0 + HS	beépített 0,3Mpixel webkamera, Univerzális kártyaolvasó	380,0 x 250,0 x 27,7 / 37,5 mm	nincs raktáron				
HP ProBook 4540s B6M06EA Notebook (5 év gar., 6GB)	0 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i5-2450M (3M Cache, 2.50 GHz)		750GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.33 kg	5 év	6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM76 Express Chipset	SRS Premium Surround Sound	magyar teljes méretű, numerikus billentyűkkel	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS	beépített HD webkamera, médiakártya-olvasó	37,5 x 25,6 x 2,8 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Dell Latitude E5530 L065530101E_SPL Notebook	157402 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i3-2350M (3M Cache, 2.30 GHz)		500GB SATA 7200rpm	Intel® HD Graphics 3000	2,38 kg	3 év helyszíni garancia	6cellás (60WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar, LED háttérvilágítású	VGA monitor kimenet, FireWire I-link IEEE1394, Gigabit LAN (10/100/1000), USB 2.0 (1db), Express card kártyahely, Docking port ( dokkolható ), HDMI csatlakozó, USB 3.0 (2db), kombinált eSATA/USB 2.0, Wireless LAN 802.11 a/b/g/n (WiFi), Bluetooth v4.0 + HS	SD/SDHC kártyahely, beépített HD webkamera	388 x 251 x 30,20 – 33,20 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)		ujjlenyomat olvasó	Beépített 3G/HSDPA modem 44450Ft	
Fujitsu Lifebook UH552 VFY:UH552MPZB5HU 3G	0 Ft	13,3" HD WXGA LED Anti-glare TFT (1366 x 768)	Intel® Core™ i3-3217U (3M Cache, 1.80 GHz)		128GB SSD SATA (memóriadisk)	Intel® HD Graphics 4000	1.57 kg	2 év	4 cellás (42WHr) lithium-ion	opcionális külső író (nem tartozék)		Mobile Intel® HM76 Express Chipset	Beépített sztereó hangszórók	magyar	USB 2.0 (1db), HDMI csatlakozó, beépített 3G mobil internet modem, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS	4 az 1-ben kártyaolvasó, beépített HD webkamera	323 x 234 x 18.0 mm	következő munkanapon				
Fujitsu Lifebook UH552 VFY:UH552MPZE5HU Slimbook	0 Ft	13,3" HD WXGA LED Anti-glare TFT (1366 x 768)	Intel® Core™ i5-3317U (3M Cache, 1.70 - 2.60 GHz)		128GB SSD SATA (memóriadisk)	Intel® HD Graphics 4000	1.57 kg	2 év	4 cellás (42WHr) lithium-ion	opcionális külső író (nem tartozék)		Mobile Intel® HM76 Express Chipset	Beépített sztereó hangszórók	magyar	USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS	4 az 1-ben kártyaolvasó, beépített HD webkamera	323 x 234 x 18.0 mm	következő munkanapon				
HP ProBook 4540s B7A47EA Notebook	157402 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i3-2370M (3M Cache, 2.40 GHz)		500GB SATA 7200rpm	AMD Radeon™ HD 7650M 1GB DDR3	2.33 kg	3 év	6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM76 Express Chipset	SRS Premium Surround Sound	magyar teljes méretű, numerikus billentyűkkel	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS	beépített HD webkamera, médiakártya-olvasó	37,5 x 25,6 x 2,8 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Lenovo IdeaPad S300 59-350170 Ezüst Sleekbook	157402 Ft	13,3" WXGA fényes HD LED (1366 x 768)	Intel® Core™ i5-3317U (3M Cache, 1.70 - 2.60 GHz)	4GB DDR3 1600MHz	500GB SATA 5400rpm + 24GB ExpressCache™	Intel® HD Graphics 4000	330 x 230.2 x 22.4 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	4 cellás lítiumion (Li-Ion)	opcionális külső író (nem tartozék)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Mobile Intel® HM77 Express Chipset	Dolby® Advanced Audio™ v2	magyar	USB 2.0 (2db), Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS	2 az 1-ben kártyaolvasó, beépített HD webkamera	2 év					
Fujitsu Lifebook P701 HM65 i3-2330M Notebook	0 Ft	12,1" WXGA LED matt TFT 16:9 (1280x800)	Intel® Core™ i3-2330M processor 2.2GHz		320GB SATA 5400rpm	Intel® HD Graphics 3000	283 x 215 x 26 - 33 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	6cellás (67WHr) lithium-ion	opcionális külső író (nem tartozék)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Intel® HM65 Express /Sandy Bridge	Realtek ALC269 HD, Sztereó	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), Express card kártyahely, Docking port ( dokkolható ), Wireless LAN 802.11 a/b/g/n (WiFi), DisplayPort, Bluetooth v3.0 + HS	SD/SDHC kártyahely, beépített webkamera 1.3Mpixel, Smart kártya olvasó	3 év				Panda Antivirus Pro 2012 1 éves 1 gépre 1990Ft	
ASUS K55VD-SX179D Barna Notebook	166850 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i7-3610QM (6M Cache, 2.3 - 3.3 GHz)		1TB SATA 5400rpm	NVIDIA® GeForce® 610M 2GB DDR3	2.52 kg		6cellás (50WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM76 Express Chipset	Altec Lansing® hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	25.1 x 37.8 x 2.55 ~ 3.19 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Acer V3-571G-53216G50MAKK NX.RZJEU.015 Notebook	157402 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)		500GB SATA 5400rpm	NVIDIA® GeForce® GT 630M 1GB DDR3	2,60 kg		6cellás 4400 mAh (Lithium-ion)	DVD író / olvasó (supermulti)	Windows® 8	Mobile Intel® HM77 Express Chipset	Dolby® Home Theater® v4 hangrendszer	magyar teljes méretű, numerikus billentyűkkel	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS	Multi az 1-ben kártyaolvasó, beépített HD webkamera	382,0 - 253,0 - 33,2 mm	nincs raktáron				
Acer AS7560G-6324G75MN NX.RWCEU.001	162913 Ft	17,3" HD+ LED fényes TFT 16:9 (1600 x 900)	AMD® Llano A6-3420M Quad-Core (4M Cache, 1.5 - 2.4 GHz)		750GB SATA 5400rpm	AMD Radeon™ HD 6320M + HD 7470M 1GB VRAM	415.0 x 275.0 x 34.6 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	6cellás 4400 mAh (Lithium-ion)	DVD író / olvasó (supermulti)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	AMD® A70M Fusion™	Dolby® Home Theater® v4 hangrendszer	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS	beépített webkamera 1.3Mpixel, Multi az 1-ben kártyaolvasó						
Samsung Series 3 NP350V5C-S02HU Ezüst Notebook	158976 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)		750GB SATA 5400rpm	AMD Radeon™ HD 7670M 1GB GDDR3	372.5 x 243 x 33mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Mobile Intel® HM70 Express Chipset	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS	beépített 0,3Mpixel webkamera, 3 az 1-ben kártyaolvasó (SD,MMC, MS)	2 év					
Sony VAIO SVE1511J1EW Fehér Notebook	158976 Ft	15,5" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-2370M (3M Cache, 2.40 GHz)		640GB SATA 5400rpm	AMD Radeon™ HD 7650M 1GB DDR3	371,9 x 253,5 x 15,3 - 35,1 mm	nincs raktáron	Lithium-ion	DVD író / olvasó (supermulti)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Mobile Intel® HM76 Express Chipset	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS	SD/SDHC kártyahely, beépített 0,3Mpixel webkamera, Memory Stick Duo™ kártyahely	2 év el- és visszaszállításos (Pick Up and Return)					
Acer V3-771G-53216G75MAIIL NX.M1YEU.003 Notebook	160551 Ft	17,3" HD+ LED fényes TFT 16:9 (1600 x 900)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)		750GB SATA 5400rpm	NVIDIA® GeForce® GT 630M 2GB DDR3	3.2 kg		6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM77 Express Chipset	Dolby® Home Theater® v4 hangrendszer	magyar teljes méretű, numerikus billentyűkkel	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 a/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS	Multi az 1-ben kártyaolvasó, beépített HD webkamera	414.8 x 275 x 31 / 34.65 mm	nincs raktáron				
Dell Inspiron 15R 5520 146162 Ezüst Notebook	161339 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i7-3632QM (6M Cache, 2.2 - 3.2 GHz)		1TB SATA 5400rpm	Intel® HD Graphics 4000	2,74 kg	3 év	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar	VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	378 x 252 x 30,03 - 34,1 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Dell Inspiron 15R 5520 146163 Piros Notebook	161339 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i7-3632QM (6M Cache, 2.2 - 3.2 GHz)		1TB SATA 5400rpm	Intel® HD Graphics 4000	2,74 kg	3 év	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	378 x 252 x 30,03 - 34,1 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Dell Inspiron 15R 5520 146164 Kék Notebook	161339 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i7-3632QM (6M Cache, 2.2 - 3.2 GHz)		1TB SATA 5400rpm	Intel® HD Graphics 4000	2,74 kg	3 év	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	378 x 252 x 30,03 - 34,1 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
