TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	LAN	WLAN	BT	HSDPA	TV ki	Audio	VGA ki	HDMI	DP	FP	Kamera	CR	ExpressCard	FW	eSata	USB	Egyéb	Méret
LENOVO IdeaPad Y570A (59-335735)	192834 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Core™ i5-2450M Processor (3M Cache, up to 3.1 GHz)	4GB DDR3/1333 MHz	750GB 5400RPM SATA	NVIDIA® GeForce® GT 555M / 2048MB DDR3 VRAM	2.7kg	24 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	2.0MPixel HD	5in1 Card reader	Nincs	Nincs	Van	3db USB 2.0	Nincs	385 x 255 x 22 ~ 35.7 mm	
DELL Vostro 3460 141997 Bronz	188897 Ft	14.1" WXGA HD-LED AntiGlare (matt kielző) 1366x768 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	500GB 7200RPM SATA	Intel® GMA HD 4000	2.3kg	36 hónap helyszíni garancia	48WHr (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® Mobile HM77 Panther Point Express	Gigabit LAN	Dell Wireless 1704 802.11n	Bluetooth 4.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Van	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Nincs	Nincs	Nincs	3db USB 3.0	Backlit keyboard	345,5 x 244 x 28/30,1 mm	
Sony Vaio VPCSB4L1E/W White	182000 Ft	13.3" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i3-2350M Processor (3M Cache, 2.30 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	AMD Radeon™ HD6470 512MB	1.72kg	24 hónap helyszíni garancia	4400 mAh (Lithium-ion)	8x DVD+-RW SM	Windows 7 Home Premium 64Bit	Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	Belső sztereó hangfalak, Dolby kodek: Dolby® Home Theater® v4	Van	Van	Nincs	Nincs	0.3 megapixeles kamera	2in1 Card reader	Nincs	Nincs	Nincs	2db USB 2.0 - 1db USB 3.0	Backlight keyboard, Ház anyaga: Magnézium; Alumínium kéztámasz	225 x 24 x 331mm	
DELL Inspiron N5720 146171 Moon Silver	184960 Ft	17.3" WXGA HD-LED GlareType 1600x900 pixel	Intel® Core™ i7-3632QM Processor (6M Cache, up to 3.20 GHz)	8GB DDR3/1600 MHz	1000GB 5400RPM SATA	NVIDIA® GeForce® GT 630M 1024MB	3.24kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® 7 Series Express chipkészlet (HM77)	10/100mbps LAN	Dell Wireless 1704 802.11n	Bluetooth 4.0	Nincs	Nem	Sztereó hangszóró Waves MaxxAudio® 3 feldolgozási technológiával	Van	HDMI 1.4	Nincs	Nincs	Natív HD 1,0 megapixel felbontású webkamera digitális mikrofonnal	8in1 Card reader	Nincs	Nincs	Nincs	4db USB 3.0	Cserélhető fedlap	416.8 x 276 x 31,7 / 37,1	
LENOVO ThinkPad Edge E430 NZNCPHV	187322 Ft	14.1" WXGA HD-LED AntiGlare (matt kielző) 1366x768 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	750GB 5400RPM SATA	NVIDIA® GeForce® GT 630M 2048MB	2.15kg	12 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Intel® Mobile HM77 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	HD Audio, Conexant 20671 codec	Van	Van	Nincs	Van	HD720p webkamera	4in1 Card reader	Nincs	Nincs	Nem	1db USB 2.0 - 3db USB 3.0	Nincs	339.4 x 234 x 27.4-32.8mm	
TOSHIBA Satellite L870-147	187322 Ft	17.3" WXGA HD-LED GlareType 1600x900 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	6GB DDR3/1600 MHz	750GB 5400RPM SATA	AMD Radeon™ HD 7670M / 2048MB	2.7 Kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Intel® HM76 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	Realtek (ALC269Q-VB6-GR), SRS Premium Sound HD™	Van	Van	Nincs	Nincs	beépített 1 megapixeles HD webkamera (1280 x 800) beépített mikrofonnal	Univerzális kártyaolvasó (legfeljebb 2 GB-os SD™, 2 GB-os, adapterrel ellátott miniSD™/microSD™, 32 GB-os SDHC™, 64 GB-os SDXC™ és 2 GB-os MultiMedia Card™ kártyákhoz)	Nincs	Nincs	Nincs	1db USB 2.0 - 2db USB 3.0	Nem	413,0 x 268,0 x 33,7 mm	
LENOVO IdeaPad Y580 (59-349166)	188897 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	1000GB 5400RPM SATA	NVIDIA® GeForce® GTX 660M 2048MB GDDR5	2.8kg	24 hónap	6700 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM76 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	JBL® speakers with Dolby HomeTheater V4	Van	Van	Nincs	Nincs	720p HD webcam	6in1 Card reader	Nincs	Nincs	Nem	2db USB 2.0 - 2db USB 3.0	SPDIF kimenet, Háttérvilágítású billentyűzet	385 x 255 x 35,7 mm	
LENOVO ThinkPad L430 N2L35HV	192834 Ft	14.1" WXGA HD-LED AntiGlare (matt kielző) 1366x768 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	500GB 7200RPM SATA	Intel® GMA HD 4000	2.27kg	12 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® Mobile HM76	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	http://www.lenovo.com/products/us/laptop/thinkpad/l-series/l430/	HD Audio, Realtek ALC3202 codec, Dolby® Advanced Audio™ v2	Van	Nincs	Mini DisplayPort	Van	HD720p webkamera	4in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0 - 1db USB 3.0	Nincs	354 x 243 x 29.6-31.4mm	
DELL Vostro 3360 141989 Red	204645 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i7-3517U Processor (4M Cache, up to 3.00 GHz)	4GB DDR3/1600 MHz	320GB 7200RPM SATA	Intel® GMA HD 4000	1.67kg	36 hónap helyszíni garancia	49WHr (Lithium-ion)	USB DVD-RW (vásárolható)	Linux	Intel® Mobile HM77 Panther Point Express	Gigabit LAN	Dell Wireless 1703 (802.11b/g/n+ Bluetooth v4.0)	Bluetooth 4.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Nincs	Nincs	Nem	3db USB 3.0	Nem	332 x 232,5 x 18,6/19,2 mm	
DELL Vostro 3360 141987 Ezüst	204645 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i7-3517U Processor (4M Cache, up to 3.00 GHz)	4GB DDR3/1600 MHz	320GB 7200RPM SATA	Intel® GMA HD 4000	1.67kg	36 hónap helyszíni garancia	49WHr (Lithium-ion)	USB DVD-RW (vásárolható)	Linux	Intel® Mobile HM77 Panther Point Express	Gigabit LAN	Dell Wireless 1703 (802.11b/g/n+ Bluetooth v4.0)	Bluetooth 4.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Nincs	Nincs	Nem	3db USB 3.0	Nem	332 x 232,5 x 18,6/19,2 mm	
LENOVO ThinkPad L530 N2S2SHV	194409 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	500GB 7200RPM SATA	Intel® GMA HD 4000	2.58kg	12 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® Mobile HM76	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	http://www.lenovo.com/products/us/laptop/thinkpad/l-series/l530/	HD Audio, Realtek ALC3202 codec, Dolby® Advanced Audio™ v2	Van	Nincs	Mini DisplayPort	Van	HD720p webkamera	4in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0 - 1db USB 3.0	Nincs	380 x 247 x 31.7-33.4mm	
Dell Latitude E5430 146851	194882 Ft	14.1" WXGA HD+ LED AntiGlare (matt kijelző) 1600x900 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1333 MHz	500GB 7200RPM SATA	Intel® GMA HD 4000	2.04kg	36 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Mobil Intel® HM77 Express	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Van	2.0MPixel HD	4in1 Card reader	Van	Van	Van	1db USB 2.0 - 2db USB 3.0	Backlit keyboard	350 x 240 x 29.9-32.5 cm	
Acer M3-581TG-52464G52Mnkk	209370 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Core™ i5-2467M Processor (3M Cache, 1.60 GHz)	4GB DDR3/1066 MHz	20GB SSD+500GB 5400RPM SATA	NVIDIA® GeForce® GT 640M 1024MB	2.25 kg	36 hónap	3260 mAh (Lithium Polymer)	8x DVD+-RW SM	Windows 7 Home Premium 64Bit	Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	HD Audio	Nincs	Van	Nincs	Nincs	1.3MP HD CrystalEye Webkamera	2in1 Card reader	Nincs	Nincs	Nincs	2db USB 2.0 - 1db USB 3.0	Nem	376.4 x 253 x 19.7 / 20.7 mm	
DELL XPS L502x 138395	209370 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-2450M Processor (3M Cache, up to 3.1 GHz)	4GB DDR3/1333 MHz	750GB 7200RPM SATA	NVIDIA® GeForce® GT 525M / 1024MB DDR3 VRAM	2.5kg	36 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Intel® HM67	Gigabit LAN	Intel® Centrino® Advanced-N 6230 802.11 agn (2x2)	Bluetooth 3.0	Nincs	Nem	Nagy felbontású hang +Waves MaxxAudio® 3	Nincs	HDMI 1.4	Mini DisplayPort	Nincs	2 megapixel felbontású, HD, digitális duál tömbmikrofonnal	9in1 Card reader	Nincs	Nincs	Van	2db USB 3.0 - 1db kombinált eSATA / USB 2.0	Nem	384 x 265.4 x 32.2-38.2 mm	
DELL Vostro 3560 142260 Silver	214881 Ft	15.6" FULL HD LED AntiGlare (matt kijelző) 1980x1080 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	500GB 7200RPM SATA	AMD Radeon™ HD 7670M / 1024MB	2.57kg	36 hónap helyszíni garancia	48WHr (Lithium-ion)	Blu-ray / DVD combo	Linux	Intel® Mobile HM77 Panther Point Express	Gigabit LAN	Dell Wireless 1704 802.11n	Bluetooth 4.0	Van	Nem	HD Audio	Van	Van	Nincs	Van	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Nincs	Nincs	Nincs	4db USB 3.0	Backlit Keyboard	375 x 259 x 28,8/32,5 mm	
ASUS Zenbook UX32A-R3001V	196771 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-2367M Processor (3M Cache, 1.40 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA + 24GB ExpressCache	Intel® GMA HD 3000	1.45kg	24 hónap	6570 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 7 Home Premium 64Bit	Intel® HM76 Express	Nincs	Wireless 802.11b/g/n	Bluetooth 4.0	Nem	Nem	Bang & Olufsen ICEpower®	Van	Van	Nincs	Nincs	0,3MPixel - 640x480 felbontással	2in1 Card reader	Nincs	Nincs	Nem	3db USB 3.0	ASUS notebook védőtok, Backlight keyboard	326 x 223 x 5,5 / 18 mm	
DELL Vostro 3560 142261 Bronz	214881 Ft	15.6" FULL HD LED AntiGlare (matt kijelző) 1980x1080 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	500GB 7200RPM SATA	AMD Radeon™ HD 7670M / 1024MB	2.57kg	36 hónap helyszíni garancia	48WHr (Lithium-ion)	Blu-ray / DVD combo	Linux	Intel® Mobile HM77 Panther Point Express	Gigabit LAN	Dell Wireless 1704 802.11n	Bluetooth 4.0	Van	Nem	HD Audio	Van	Van	Nincs	Van	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Nincs	Nincs	Nincs	4db USB 3.0	Backlit Keyboard	375 x 259 x 28,8/32,5 mm	
ASUS N56VM-S3052V	196771 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	750GB 5400RPM SATA	NVIDIA® GeForce® GT 630M 2048MB	2.7kg	24 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Mobile Intel® HM76 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nem	http://www.youtube.com/watch?v=n9nFY0k25CQ&feature=player_embedded#!	Bang & Olufsen ICEpower® 2.1	Van	Van	Nincs	Nincs	Webkamera 2.0MPixel HD	3in1 Card reader	Nincs	Nincs	Nem	4db USB 3.0	Háttérvilágítású billentyűzet, SonicMaster külső mélysugárzó, SPDIF kimenet	380 x 255 x 27.2-32.4 mm	
ASUS N73SM-TY068V	212519 Ft	17.3" WXGA HD-LED GlareType 1600x900 pixel	Intel® Core™ i5-2450M Processor (3M Cache, up to 3.1 GHz)	4GB DDR3/1066 MHz	750GB 5400RPM SATA	NVIDIA® GeForce® GT 630M 2048MB	3.3kg	24 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nem	Nem	Bang & Olufsen ICEpower®	Van	Van	Nincs	Nincs	2.0MPixel HD	3in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0 - 1db USB 3.0	ASUS notebook hotdtáska; ASUS optikai egér	420 x 287 x 36.7 / 40.5 mm	
LENOVO ThinkPad Edge E430 NZNCNHV	197559 Ft	14.1" WXGA HD-LED AntiGlare (matt kielző) 1366x768 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	750GB 5400RPM SATA	NVIDIA® GeForce® GT 630M 2048MB	2.15kg	12 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® Mobile HM77 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	HD Audio, Conexant 20671 codec	Van	Van	Nincs	Van	HD720p webkamera	4in1 Card reader	Nincs	Nincs	Nem	1db USB 2.0 - 3db USB 3.0	Nincs	339.4 x 234 x 27.4-32.8mm	
Dell Latitude E5530 146882	200393 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1333 MHz	500GB 7200RPM SATA	Intel® GMA HD 4000	2.5kg	36 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Mobil Intel® HM77 Express	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Van	2.0MPixel HD	4in1 Card reader	Van	Van	Van	1db USB 2.0 - 2db USB 3.0	Backlit keyboard	388 x 251 x 30.2-33.2 cm	
ASUS B53E-SO266X	200708 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-2450M Processor (3M Cache, up to 3.1 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® GMA HD 3000	2.69Kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nem	http://www.youtube.com/watch?v=KtTpfs5H5-c&feature=player_embedded	Altec Lansing® hangszórók	Van	Van	Van	Van	2.0MPixel HD	5in1 Card reader	Van	Nincs	Van	2db USB 2.0 - 1db USB 3.0	Ajándék hordtáska	384 x 263 x 33-35 mm	
HP ProBook 6560b LY445EA	201181 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-2450M Processor (3M Cache, up to 3.1 GHz)	4GB DDR3/1333 MHz	320GB 7200RPM SATA	Intel® GMA HD 3000	2.5kg	36 hónap	4600 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	SRS Premium Surround Sound	Van	Nincs	Van	Van	720p HD webkamera	SD/MMC Slot	Van	Van	Van	4db USB 2.0	RS-232 (soros) port,	374 x 251 x 34 mm	
DELL Vostro 3360 144753 Ezüst	201496 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-2367M Processor (3M Cache, 1.40 GHz)	6GB DDR3/1600 MHz	500GB 7200RPM SATA	Intel® GMA HD 3000	1.67kg	36 hónap helyszíni garancia	49WHr (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 7 Home Premium 64Bit	Intel® Mobile HM77 Panther Point Express	Gigabit LAN	Dell Wireless 1703 (802.11b/g/n+ Bluetooth v4.0)	Bluetooth 4.0	Dell Wireless 5560 built-in 3G/HSDPA	Nem	HD Audio	Van	Van	Nincs	Nincs	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Nincs	Nincs	Nem	3db USB 3.0	Nem	332 x 232,5 x 18,6/19,2 mm	
TOSHIBA Satellite P770-12R	201496 Ft	17.3" WXGA HD-LED GlareType 1600x900 pixel	Intel® Core™ i5-2450M Processor (3M Cache, up to 3.1 GHz)	8GB DDR3/1333 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® GT 540M / 2048MB DDR3 VRAM	3 Kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	Beépített Harman Kardon® sztereó hangszórók	Van	Van	Nincs	Nincs	1 megapixeles HD webkamera (1280 x 800) beépített mikrofonnal	Univerzális kártyaolvasó (legfeljebb 2 GB-os SD™, 2 GB-os, adapterrel ellátott miniSD™/microSD™, 32 GB-os SDHC™, 64 GB-os SDXC™ és 2 GB-os MultiMedia Card™ kártyákhoz)	Nincs	Nincs	Nincs	3db USB 2.0 - 1db USB 3.0	Háttérvilágítású billentyűzet	413,6 x 274,0 x 28,0-36,0 mm	
SAMSUNG NP200B5B-A01HU	203543 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i3-2350M Processor (3M Cache, 2.30 GHz)	4GB DDR3/1333 MHz	500GB 7200RPM SATA	Intel® GMA HD 3000	2.5kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	1.3MPixel HD	7in1 Card reader	Nincs	Nincs	Nincs	2db USB 2.0 - 2db USB 3.0	Nem	370.0 x 248.3 x 28.6 ~ 35.3mm	
HP ProBook 6570b B6P79EA	204330 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	500GB 7200RPM SATA	Intel® GMA HD 4000	2.51kg	36 hónap	4800 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® HM76 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	SRS Premium Surround Sound	Van	Nincs	Van	Van	720p HD webkamera	SD/MMC Slot	Van	Van	Van	2db USB 2.0 - 2db USB 3.0	RS-232 (soros) port, Intel® Anti-Theft támogatás	374 x 251 x 34 mm	
ASUS B53E-SO268X	204645 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-2450M Processor (3M Cache, up to 3.1 GHz)	4GB DDR3/1333 MHz	750GB 5400RPM SATA	Intel® GMA HD 3000	2.69Kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nem	http://www.youtube.com/watch?v=KtTpfs5H5-c&feature=player_embedded	Altec Lansing® hangszórók	Van	Van	Van	Van	2.0MPixel HD	5in1 Card reader	Van	Nincs	Van	2db USB 2.0 - 1db USB 3.0	Ajándék hordtáska	384 x 263 x 33-35 mm	
ASUS U32VM-RO006X	204645 Ft	13.3" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	750GB 5400RPM SATA	Intel® GMA HD 4000	1.89kg	24 hónap	4400 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 7 Home Premium 64Bit	Mobile Intel® HM76 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nem	Nem	Bang & Olufsen ICEpower® 2.0	mini VGA	Van	Nincs	Nincs	HD(720p) CMOS	3in1 Card reader	Nincs	Nincs	Nem	1db USB 2.0 - 1db USB 3.0	ASUS notebook hotdtáska; ASUS optikai egér	328 x 238 x 13,4-26,1 mm	
ASUS B33E-RO125X	216456 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-2450M Processor (3M Cache, up to 3.1 GHz)	4GB DDR3/1333 MHz	500GB 7200RPM SATA	Intel® GMA HD 3000	1.96Kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nem	Nem	Altec Lansing® hangszórók	Van	Van	Nem	Van	2.0MPixel HD	5in1 Card reader	Van	Nincs	Van	2db USB 2.0 - 1db USB 3.0	Ajándék táska, egér	326 x 226 x 297 mm	
TOSHIBA Portege R830-194	235354 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-2435M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1333 MHz	500GB 7200RPM SATA	Intel® GMA HD 3000	1.6kg	36 hónap	5600 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	UMTS/3G (HSDPA 14,4 Mb/s, HSPA Evolution 21 Mb/s, illetve HSUPA 5,76 Mb/s átviteli sebességig)	Nem	SRS Premium Surround Sound	Van	Nincs	Van	Van	beépített VGA-felbontású webkamera beépített mikrofonnal	4in1 Card reader	Nincs	Nincs	eSATA/USB 2.0 USB Sleep-and-Charge technológiával	2db USB 2.0 - 1db USB 3.0	Nem	316 x 227 x 18.3-44.1 mm	
SAMSUNG NP400B2B-A01HU	216456 Ft	Nem	Intel® Core™ i5-2450M Processor (3M Cache, up to 3.1 GHz)	4GB DDR3/1333 MHz	500GB 7200RPM SATA	Intel® GMA HD 3000	1.7kg	24 hónap	4400 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 7 Professional 64Bit	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Van	1,3 megapixel HD	4in1 Card reader	Nincs	Nincs	Van	2db USB 3.0 - 1db USB 2.0	Nem	302.1 x 223.7 x 28.3 ~ 32.2 mm	
LENOVO IdeaPad Y580 (59-349171)	212519 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i7-3610QM Processor (6M Cache, up to 3.30 GHz)	6GB DDR3/1600 MHz	1000GB 5400RPM SATA	NVIDIA® GeForce® GTX 660M 2048MB GDDR5	2.8kg	24 hónap	6700 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM76 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	JBL® speakers with Dolby HomeTheater V4	Van	Van	Nincs	Nincs	720p HD webcam	6in1 Card reader	Nincs	Nincs	Nem	2db USB 2.0 - 2db USB 3.0	SPDIF kimenet, Háttérvilágítású billentyűzet	385 x 255 x 35,7 mm	
DELL Vostro 3560 142371 Red	224330 Ft	15.6" FULL HD LED AntiGlare (matt kijelző) 1980x1080 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	500GB 7200RPM SATA	AMD Radeon™ HD 7670M / 1024MB	2.57kg	36 hónap helyszíni garancia	48WHr (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® Mobile HM77 Panther Point Express	Gigabit LAN	Dell Wireless 1704 802.11n	Bluetooth 4.0	Van	Nem	HD Audio	Van	Van	Nincs	Van	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Nincs	Nincs	Nincs	4db USB 3.0	Backlit Keyboard	375 x 259 x 28,8/32,5 mm	
DELL Vostro 3560 142265 Bronz	224330 Ft	15.6" FULL HD LED AntiGlare (matt kijelző) 1980x1080 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	500GB 7200RPM SATA	AMD Radeon™ HD 7670M / 1024MB	2.57kg	36 hónap helyszíni garancia	48WHr (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® Mobile HM77 Panther Point Express	Gigabit LAN	Dell Wireless 1704 802.11n	Bluetooth 4.0	Van	Nem	HD Audio	Van	Van	Nincs	Van	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Nincs	Nincs	Nincs	4db USB 3.0	Backlit Keyboard	375 x 259 x 28,8/32,5 mm	
