TermékNév	Ár	TFT Méret	TFT Felb.	TFT LED	CPU	RAM Méret	RAM Típus	HDD	GPU	Súly	ODD	OS	WLAN	LAN	BT	USB	eSata	FW	Kamera	CR	HDMI	MiniHDMI	MicroHDMI	DP	MiniDP	Nyelv	USB 3	MOBIL NET	MEREVLEMEZ (SSD)	MÁSODLAGOS INTEGRÁLT VGA TÍPUS
ACER E1-531 NX.M51EU.003 Fekete	86807 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B960 2.20GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 610	 2,4 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ACER E1-571 NX.M09EU.006 Fekete	98875 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-3110M 2.40GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 2,4 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
ACER E1-571 NX.M09EU.007 Fekete	117330 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-3110M 2.40GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 2,4 kg	 DVD-RW	 Windows 8	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
ACER E1-571G NX.M0DEU.013 Fekete	107799 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-3110M 2.40GHz	 4GB	 DDR3	 750 GB	 NVIDIA GeForce GT 610	 2,4 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
ACER E1-571G NX.M0DEU.014 Fekete	127675 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-3110M 2.40GHz	 4GB	 DDR3	 750 GB	 NVIDIA GeForce GT 610	 2,4 kg	 DVD-RW	 Windows 8	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
ACER M3-581 NX.RY8EU.001 Fekete	140841 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2367M 1.40GHz	 4GB	 DDR3	 320 GB	 Intel HD Graphics	 2,25 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Igen	 Nem	 Magyar	 1 db		 20 GB	 Nincs	
ACER M3-581 NX.RYKEU.005 Alu	204486 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-2467M 1.67GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics	 2,25 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db		 20 GB	 NVIDIA GeForce GT 640	
ACER M3-581TG NX.RYKEU.001 Fekete	291832 Ft	 15,6"	 1366x768	 Igen	 Intel Core i7-2637M 1.70GHz	 4GB	 DDR3		 Intel HD Graphics	 2,25 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db		 256 GB	 NVIDIA GeForce GT 640	
ACER M3-581TG NX.RYKEU.012 Fekete	159226 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2377M 1.44GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics	 2,25 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db		 20 GB	 NVIDIA GeForce GT 640	
ACER M3-581TG NX.RYKEU.013 Fekete	202588 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3317U 1.70GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics	 2,25 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db		 20 GB	 NVIDIA GeForce GT 640	
ACER M5-481PTG NX.M3XEU.001	281040 Ft	 14"	 1366x768	 Igen	 Intel Core i5-3317U 1.70GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 640	 1,95 kg	 DVD-RW	 Windows 8	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db		 20 GB		
ACER M5-481T NX.M26EU.001	176873 Ft	 14"	 1366x768	 Igen	 Intel Core i3-2377M 1.44GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 1,95 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Nem		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
ACER M5-481T NX.M26EU.002	171126 Ft	 14"	 1366x768	 Igen	 Intel Core i3-3217U 1.80GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 1,95 kg	 DVD-RW	 Windows 8	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db		 20 GB		
ACER M5-481TG NX.M27EU.001	190611 Ft	 14"	 1366x768	 Igen	 Intel Core i3-2377M 1.44GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 640	 1,95 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db		 20 GB		
ACER M5-581TG NX.M2GEU.001 Szürke	204604 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3317U 1.70GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 640	 2,3 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db		 20 GB		
ACER M5-581TG NX.M2HEU.003 Szürke	198059 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3317U 1.70GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2,3 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
ACER S3-391 NX.M10EU.001	233647 Ft	 13,3"	 1366x768	 Igen	 Intel Core i5-3317U 1.70GHz	 4GB	 DDR3		 Intel HD Graphics 4000	 2 kg	 Nincs	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db		 128 GB		
ACER S3-391 NX.M1FEU.001	191633 Ft	 13,3"	 1366x768	 Igen	 Intel Core i5-3317U 1.70GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2 kg	 Nincs	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db		 20 GB		
ACER TravelMate 5760 NX.V56EU.005	110434 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2328M 2.20GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 2,54 kg	 DVD-RW	 Linux	 Igen	 10/100MBps	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER TravelMate 5760G NX.V6KEU.002	132745 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 630	 2,54 kg	 DVD-RW	 Linux	 Igen	 10/100MBps	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER TravelMate 5760G NX.V6LEU.004	126053 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2320 3.30GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 630	 2,54 kg	 DVD-RW	 Linux	 Igen	 10/100MBps	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER TravelMate 5760ZG NX.V6FEU.001	116013 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B960 2.20GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 520	 2,54 kg	 DVD-RW	 Nincs	 Igen	 10/100MBps	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER TravelMate 7750G NX.V5FEU.002	153781 Ft	 17,3"	 1600x900	 Igen	 Intel Core i3-2310M 2.1GHz	 4GB	 DDR3	 750 GB	 ATi Mobil RadeOn HD6470	 2,5 kg	 DVD-RW	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER TravelMate B113M NX.V7QEU.003	109777 Ft	 11,6"	 1366x768	 Igen	 Intel Core i3-2377M 1.44GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 1,38 kg	 Nincs	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ACER TravelMate B113M NX.V7QEU.004	132745 Ft	 11,6"	 1366x768	 Igen	 Intel Core i3-2377M 1.44GHz	 4GB	 DDR3	 320 GB	 Intel HD Graphics 3000	 1,38 kg	 Nincs	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ACER TravelMate P243M NX.V7BEU.008	101005 Ft	 14,1"	 1366x768	 Igen	 Intel Pentium B960 2.20GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 2,2 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ACER TravelMate P453M NX.V6ZEU.002	112464 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B960 2.20GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics	 2,48 kg	 Nincs	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Igen	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db				
ACER TravelMate P453M NX.V6ZEU.003	171126 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics	 2,48 kg	 Nincs	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Igen	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db				
ACER TravelMate P643 NX.V7JEU.006	192382 Ft	 14,1"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 630	 2,48 kg	 DVD-RW	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Igen	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db				
ACER V3-471 NX.RYLEU.015 Fekete	132847 Ft	 14"	 1366x768	 Igen	 Intel Core i3-3110M 2.40GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2,4 kg	 DVD-RW	 Windows 8	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ACER V3-471G NX.RYSEU.002 Fekete	144814 Ft	 14"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 750 GB	 NVIDIA GeForce GT 630	 2,4 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ACER V3-471G NX.RYSEU.006 Fekete	129804 Ft	 14"	 1366x768	 Igen	 Intel Core i3-3110M 2.40GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 630	 2,4 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ACER V3-471G NX.RYZEU.006 Arany	129804 Ft	 14"	 1366x768	 Igen	 Intel Core i3-3110M 2.40GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 630	 2,4 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ACER V3-471G NX.RYZEU.007 Arany	144814 Ft	 14"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 750 GB	 NVIDIA GeForce GT 630	 2,4 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ACER V3-471G NX.RZ3EU.001 Fekete	169713 Ft	 14"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 750 GB	 NVIDIA GeForce GT 630	 2,4 kg	 BLU-RAY/DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ACER V3-471G NX.RZ5EU.002 Arany	164671 Ft	 14"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 640	 2,4 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ACER V3-531 NX.M30EU.001 Szürke	78383 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B970 2.30GHz	 2GB	 DDR3	 320 GB	 Intel HD Graphics 4000	 2,60 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ACER V3-531 NX.M30EU.005 Szürke	98671 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B970 2.30GHz	 4GB	 DDR3	 320 GB	 Intel HD Graphics 4000	 2,60 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ACER V3-531 NX.M35EU.011 Fekete	69471 Ft	 15,6"	 1366x768	 Igen	 Intel Celeron B820 1.70GHz	 2GB	 DDR3	 320 GB	 Intel GMA	 2,40 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ACER V3-531 NX.M35EU.012 Fekete	70686 Ft	 15,6"	 1366x768	 Igen	 Intel Celeron B820 1.70GHz	 4GB	 DDR3	 320 GB	 Intel GMA	 2,40 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ACER V3-531 NX.M35EU.013 Fekete	74937 Ft	 15,6"	 1366x768	 Igen	 Intel Celeron B820 1.70GHz	 4GB	 DDR3	 500 GB	 Intel GMA	 2,40 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ACER V3-531G NX.M0GEU.002 Szürke	114796 Ft	 15,6"	 1366x768	 Igen	 AMD A6-4400M 2.60GHz	 4GB	 DDR3	 750 GB	 ATi Mobil RadeOn HD7670	 2,60 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ACER V3-531G NX.M36EU.002 Szürke	94818 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B970 2.30GHz	 4GB	 DDR3	 750 GB	 NVIDIA GeForce GT 630	 2,60 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ACER V3-531G NX.M37EU.001 Fekete	96137 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B970 2.30GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 630	 2,40 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ACER V3-531G NX.M37EU.002 Fekete	94818 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B970 2.30GHz	 4GB	 DDR3	 750 GB	 NVIDIA GeForce GT 630	 2,40 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ACER V3-551G NX.M0FEU.006 Fekete	137411 Ft	 15,6"	 1366x768	 Igen	 AMD A8-4500M 1.90GHz	 8GB	 DDR3	 750 GB	 ATi Mobil RadeOn HD7670	 2,4 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ACER V3-551G NX.M0GEU.003 Szürke	137411 Ft	 15,6"	 1366x768	 Igen	 AMD A8-4500M 1.90GHz	 8GB	 DDR3	 750 GB	 ATi Mobil RadeOn HD7670	 2,4 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ACER V3-551G NX.M0GEU.008 Szürke	141771 Ft	 15,6"	 1366x768	 Igen	 AMD A10-4600M 2.30GHz	 8GB	 DDR3	 1000 GB	 ATi Mobil RadeOn HD7670	 2,4 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ACER V3-571G NX.RZJEU.013 Szürke	123541 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2370M 2.40GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 630	 2,46 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
ACER V3-571G NX.RZLEU.008 Fekete	136802 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 630	 2,46 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
ACER V3-571G NX.RZLEU.009 Fekete	145828 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 6GB	 DDR3	 750 GB	 NVIDIA GeForce GT 630	 2,46 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
ACER V3-571G NX.RZMEU.007 Szürke	174252 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 8GB	 DDR3	 1000 GB	 NVIDIA GeForce GT 630	 2,46 kg	 DVD-RW	 Windows 8	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
ACER V3-571G NX.RZNEU.009 Fekete	189680 Ft	 15,6"	 1366x768	 Igen	 Intel Core i7-3610QM 2.30GHz	 4GB	 DDR3	 1000 GB	 NVIDIA GeForce GT 640	 2,46 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
ACER V3-571G NX.RZNEU.012 Fekete	195226 Ft	 15,6"	 1366x768	 Igen	 Intel Core i7-3630QM 2.40GHz	 8GB	 DDR3	 1000 GB	 NVIDIA GeForce GT 640	 2,46 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
ACER V3-571G NX.RZNEU.013 Fekete	211562 Ft	 15,6"	 1366x768	 Igen	 Intel Core i7-3630QM 2.40GHz	 8GB	 DDR3	 1000 GB	 NVIDIA GeForce GT 640	 2,46 kg	 DVD-RW	 Windows 8	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
ACER V3-571G NX.RZPEU.004 Szürke	202184 Ft	 15,6"	 1366x768	 Igen	 Intel Core i7-3612 2.10GHz	 4GB	 DDR3	 10000 GB	 NVIDIA GeForce GT 640	 2,46 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
ACER V3-571G NX.RZPEU.006 Szürke	204200 Ft	 15,6"	 1366x768	 Igen	 Intel Core i7-3612 2.10GHz	 4GB	 DDR3	 10000 GB	 NVIDIA GeForce GT 640	 2,46 kg	 DVD-RW	 Windows 8	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
ACER V3-571G NX.RZPEU.011 Szürke	198655 Ft	 15,6"	 1366x768	 Igen	 Intel Core i7-3610QM 2.30GHz	 8GB	 DDR3	 1000 GB	 NVIDIA GeForce GT 640	 2,46 kg	 DVD-RW	 Windows 8	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
ACER V3-731 NX.M34EU.003 Szürke	126458 Ft	 17,3"	 1600x900	 Igen	 Intel Pentium B980 2.40GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 3,2 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
ACER V3-731 NX.M34EU.004 Szürke	109827 Ft	 17,3"	 1600x900	 Igen	 Intel Pentium B980 2.40GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 3,2 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
ACER V3-771G NX.M1WEU.017 Szürke	284570 Ft	 17,3"	 1920x1080	 Igen	 Intel Core i7-3630QM 2.40GHz	 8GB	 DDR3	 1000 GB	 NVIDIA GeForce GT 650	 3,4 kg	 BLU-RAY/DVD-RW	 Windows 8	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db		 120 GB		
ACER V3-771G NX.M1WEU.019 Szürke	285377 Ft	 17,3"	 1920x1080	 Igen	 Intel Core i7-3630QM 2.40GHz	 16GB	 DDR3	 1500 GB	 NVIDIA GeForce GT 650	 3,4 kg	 BLU-RAY/DVD-RW	 Windows 8	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
ACER V3-771G NX.M1WEU.020 Szürke	266822 Ft	 17,3"	 1920x1080	 Igen	 Intel Core i7-3630QM 2.40GHz	 8GB	 DDR3	 750 GB	 NVIDIA GeForce GT 650	 3,4 kg	 BLU-RAY/DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
ACER V3-771G NX.M1WEU.021 Szürke	281343 Ft	 17,3"	 1920x1080	 Igen	 Intel Core i7-3630QM 2.40GHz	 8GB	 DDR3	 750 GB	 NVIDIA GeForce GT 650	 3,4 kg	 BLU-RAY/DVD-RW	 Windows 8	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
